好的	OK
能否	whether or not; can it or can't it; is it possible?
上面	on top of; above-mentioned; also pr. [shang4 mian5]
萌炸	adj. Cute+explode. Explosively cute. Cute overload.
休假	to go on vacation; to have a holiday; to take leave
高涨	to surge up; to rise; (of tensions etc) to run high
跟踪	to follow sb's tracks; to tail; to shadow; tracking
强势	strong; powerful; (linguistics) emphatic; intensive
势力	power; influence; a force (military, political etc)
碧池	bitch (loanword) (Internet slang); clear water pond
涉及	to involve; to relate to; to concern; to touch upon
外交	diplomacy; diplomatic; foreign affairs; CL:個|个[ge4]
遗产	heritage; legacy; inheritance; bequest; CL:筆|笔[bi3]
信仰	to believe in (a religion); firm belief; conviction
预备	to prepare; to make ready; preparation; preparatory
原始	first; original; primitive; original (document etc)
一路上	along the way; the whole way; (fig.) the whole time
主席	chairperson; premier; chairman; CL:個|个[ge4],位[wei4]
中药	traditional Chinese medicine; CL:服[fu4],種|种[zhong3]
主办	to organize; to host (a conference or sports event)
恐怖	terrible; frightful; frightening; terror; terrorist
作废	to become invalid; to cancel; to delete; to nullify
事迹	deed; past achievement; important event of the past
瘫痪	paralysis; be paralyzed (body, transportation, etc)
提拔	to promote to a higher job; to select for promotion
推论	to infer; inference; corollary; reasoned conclusion
威信	prestige; reputation; trust; credit with the people
狭隘	narrow; tight; narrow minded; lacking in experience
有条不紊	regular and thorough (idiom); methodically arranged
与日俱增	to increase steadily; to grow with each passing day
安装	to install; to erect; to fix; to mount; installation
拔苗助长	to spoil things through excessive enthusiasm (idiom)
本质	essence; nature; innate character; intrinsic quality
茶叶	tea; tea leaves; CL:盒[he2],罐[guan4],包[bao1],片[pian4]
部队	army; armed forces; troops; force; unit; CL:個|个[ge4]
查看	to look over; to examine; to check up; to ferret out
度过	to pass; to spend (time); to survive; to get through
高兴	happy; glad; willing (to do sth); in a cheerful mood
承诺	to promise; to undertake to do something; commitment
经过	to pass; to go through; process; course; CL:個|个[ge4]
感觉	feeling; impression; sensation; to feel; to perceive
筷子	chopsticks; CL:對|对[dui4],根[gen1],把[ba3],雙|双[shuang1]
改进	to improve; to make better; improvement; CL:個|个[ge4]
高中	to pass brilliantly (used in congratulatory fashion)
打造	to create; to build; to develop; to forge (of metal)
太阳	sun; CL:個|个[ge4]; abbr. for 太陽穴|太阳穴[tai4 yang2 xue2]
调研	to investigate and research; research; investigation
沉思	to contemplate; to ponder; contemplation; meditation
改革	reform; CL:次[ci4],種|种[zhong3],項|项[xiang4]; to reform
男生	schoolboy; male student; boy; guy (young adult male)
讲话	a speech; to speak; to talk; to address; CL:個|个[ge4]
分裂	to split up; to divide; to break up; fission; schism
照相机	camera; CL:個|个[ge4],架[jia4],部[bu4],台[tai2],隻|只[zhi1]
内容	content; substance; details; CL:個|个[ge4],項|项[xiang4]
平方	square (as in square foot, square mile, square root)
即将	on the eve of; to be about to; to be on the verge of
伤心	to grieve; to be broken-hearted; to feel deeply hurt
当事人	persons involved or implicated; party (to an affair)
当务之急	(idiom) top priority job; matter of vital importance
花费	expense; cost; to spend (time or money); expenditure
农历	the traditional Chinese calendar; the lunar calendar
舍不得	to hate to do sth; to hate to part with; to begrudge
时代	age; era; epoch; period (in one's life); CL:個|个[ge4]
居住	to reside; to dwell; to live in a place; resident in
损失	loss; damage; CL:個|个[ge4]; to lose; to suffer damage
总结	to sum up; to conclude; summary; résumé; CL:個|个[ge4]
实现	to achieve; to implement; to realize; to bring about
轮子	wheel; (derog.) Falun Gong practitioner; CL:個|个[ge4]
膝盖	knee; (Internet slang) to kneel down (in admiration)
留言	to leave a message; to leave one's comments; message
色彩	tint; coloring; coloration; (fig.) flavor; character
生产	to produce; to manufacture; to give birth to a child
自由	freedom; liberty; free; unrestricted; CL:種|种[zhong3]
鸽子	pigeon; dove; various birds of the family Columbidae
称呼	to call; to address as; form of address; appellation
融入	to blend into; to integrate; to assimilate; to merge
上当	taken in (by sb's deceit); to be fooled; to be duped
只能	can only; obliged to do sth; to have no other choice
师父	used for 師傅|师傅 (in Taiwan); master; qualified worker
迷妹	n. Fan+sister. Female fanatics. Fervent female fans.
躲藏	to conceal oneself; to go into hiding; to take cover
呼吁	to call on (sb to do sth); to appeal (to); an appeal
提交	to submit (a report etc); to refer (a problem) to sb
通行	to go through; to pass through; to be in general use
业务	business; professional work; service; CL:項|项[xiang4]
艰巨	arduous; terrible (task); very difficult; formidable
监视	to monitor; to keep a close watch over; surveillance
心灵	bright; smart; quick-witted; heart; thoughts; spirit
注视	to look attentively at; to closely watch; to gaze at
过日子	to live one's life; to pass one's days; to get along
带头	to take the lead; to be the first; to set an example
宽容	lenient; tolerant; indulgent; charitable; to forgive
历来	always; throughout (a period of time); (of) all-time
谅解	to understand; to make allowances for; understanding
要不	otherwise; or else; how about...?; either... (or...)
宁肯	would rather...; it would be better...; would prefer
生疏	unfamiliar; strange; out of practice; not accustomed
安身立命	(idiom) to settle down and pursue one's path in life
推测	speculation; to conjecture; to surmise; to speculate
无耻	without any sense of shame; unembarrassed; shameless
意向	intention; purpose; intent; inclination; disposition
源泉	fountainhead; well-spring; water source; fig. origin
蕴藏	to hold in store; to contain (untapped reserves etc)
展望	outlook; prospect; to look ahead; to look forward to
资深	veteran (journalist etc); senior; highly experienced
班长	class monitor; squad leader; team leader; CL:個|个[ge4]
暴露	to expose; to reveal; to lay bare; also pr. [pu4 lu4]
暴雨	torrential rain; rainstorm; CL:場|场[chang2],陣|阵[zhen4]
技術宅	n. Technology+otaku. An introverted or indoorsy geek.
波动	to undulate; to fluctuate; wave motion; rise and fall
成立	to establish; to set up; to be tenable; to hold water
打开	to open; to show (a ticket); to turn on; to switch on
报复	to make reprisals; to retaliate; revenge; retaliation
充分	ample; sufficient; adequate; full; fully; to the full
结束	termination; to finish; to end; to conclude; to close
观众	spectators; audience; visitors (to an exhibition etc)
大胆	brazen; audacious; outrageous; bold; daring; fearless
激动	to move emotionally; to stir up (emotions); to excite
积累	to accumulate; accumulation; cumulative; cumulatively
及格	to pass an exam or a test; to meet a minimum standard
端午节	Dragon Boat Festival (5th day of the 5th lunar month)
嘲笑	to jeer at; to deride; to ridicule; mockery; derision
结合	to combine; to link; to integrate; binding; CL:次[ci4]
看法	way of looking at a thing; view; opinion; CL:個|个[ge4]
交朋友	to make friends; (dialect) to start an affair with sb
咖位	n. A celebrity’s status in the entertainment industry
快要	nearly at the point of (doing sth); about to (do sth)
从容	to go easy; unhurried; calm; Taiwan pr. [cong1 rong2]
实际	reality; practice; practical; realistic; real; actual
摄影	to take a photograph; photography; to shoot (a movie)
试卷	examination paper; test paper; CL:份[fen4],張|张[zhang1]
特点	characteristic (feature); trait; feature; CL:個|个[ge4]
袜子	socks; stockings; CL:隻|只[zhi1],對|对[dui4],雙|双[shuang1]
预约	booking; reservation; to book; to make an appointment
退休	to retire (from the workforce); to go into retirement
开夜车	to burn the midnight oil; to work late into the night
迷信	superstition; to have a superstitious belief (in sth)
养成	to cultivate; to raise; to form (a habit); to acquire
太太	married woman; Mrs.; Madam; wife; CL:個|个[ge4],位[wei4]
录音机	(tape) recording machine; tape recorder; CL:臺|台[tai2]
封建	system of enfeoffment; feudalism; feudal; feudalistic
问路	to ask for directions; to ask the way (to some place)
感慨	to sigh with sorrow, regret etc; rueful; deeply moved
行动	operation; action; CL:個|个[ge4]; to move about; mobile
总理	premier; prime minister; CL:個|个[ge4],位[wei4],名[ming2]
杀毒	to disinfect; (computing) to destroy a computer virus
实际上	in fact; in reality; as a matter of fact; in practice
帅哥	handsome guy; lady-killer; handsome (form of address)
勾结	to collude with; to collaborate with; to gang up with
水产品	aquatic products (including fish, crabs, seaweed etc)
意义	sense; meaning; significance; importance; CL:個|个[ge4]
审查	to examine; to investigate; to censor out; censorship
孔雀女	(Internet slang) spoiled city girl from a rich family
偷偷	stealthily; secretly; covertly; furtively; on the sly
送行	to see someone off; to throw someone a send-off party
下降	to decline; to drop; to fall; to go down; to decrease
形式	outer appearance; form; shape; formality; CL:個|个[ge4]
尖锐	sharp; intense; penetrating; pointed; acute (illness)
只是	merely; only; just; nothing but; simply; but; however
解雇	to fire; to sack; to dismiss; to terminate employment
主管	in charge; responsible for; person in charge; manager
障碍	barrier; obstruction; hindrance; impediment; obstacle
整顿	to tidy up; to reorganize; to consolidate; to rectify
纪录片	newsreel; documentary (film or TV program); CL:部[bu4]
蒙古族	Mongol ethnic group of north China and Inner Mongolia
气魄	spirit; boldness; positive outlook; imposing attitude
土豪	local tyrant; local strong man; (slang) nouveau riche
俏皮	smart; charming; attractive; witty; facetious; ironic
生机	opportunity to live; hope of success; vigor; vitality
识别	to distinguish; to discern; to identify; to recognize
一举两得	one move, two gains (idiom); two birds with one stone
鞭炮	firecrackers; string of small firecrackers; CL:枚[mei2]
辩论	debate; argument; to argue over; CL:場|场[chang3],次[ci4]
不然	not so; no; or else; otherwise; if not; How about ...?
时间	(concept of) time; (duration of) time; (point in) time
不便	inconvenient; inappropriate; unsuitable; short of cash
根据	according to; based on; basis; foundation; CL:個|个[ge4]
场合	situation; occasion; context; setting; location; venue
残疾	disabled; handicapped; deformity on a person or animal
耽误	to delay; to hold up; to waste time; to interfere with
难过	to feel sad; to feel unwell; (of life) to be difficult
重建	to rebuild; to reestablish; reconstruction; rebuilding
传递	to transmit; to pass on to sb else; (math.) transitive
概括	to summarize; to generalize; briefly; in broad outline
传出	to transmit outwards; to disseminate; efferent (nerve)
打架	to fight; to scuffle; to come to blows; CL:場|场[chang2]
明白	clear; obvious; unequivocal; to understand; to realize
活泼	lively; vivacious; brisk; active; (chemistry) reactive
参照	to consult a reference; to refer to (another document)
残留	to remain; to be left over; residual; remnant; residue
节约	to economize; to conserve (resources); economy; frugal
没有	haven't; hasn't; doesn't exist; to not have; to not be
专注	to focus; to concentrate; to give one's full attention
防范	to be on guard; wariness; to guard against; preventive
海关	customs (i.e. border crossing inspection); CL:個|个[ge4]
满足	to satisfy; to meet (the needs of); satisfied; content
好转	to improve; to take a turn for the better; improvement
轻视	contempt; contemptuous; to despise; to scorn; scornful
竞赛	to compete; to race; contest; competition; match; race
老太太	elderly lady (respectful); esteemed mother; CL:位[wei4]
叮嘱	to warn repeatedly; to urge; to exhort again and again
拉开	to pull open; to pull apart; to space out; to increase
督促	to supervise and urge completion of a task; to urge on
流通	to circulate; to distribute; circulation; distribution
恩怨	gratitude and grudges; resentment; grudges; grievances
陆续	in turn; successively; one after the other; bit by bit
发呆	to stare blankly; to be stunned; to be lost in thought
法人	legal person; corporation; see also 自然人[zi4 ran2 ren2]
理财	to manage wealth; to manage finances; money management
期间	period of time; time; time period; period; CL:個|个[ge4]
西医	Western medicine; a doctor trained in Western medicine
隔阂	misunderstanding; estrangement; (language etc) barrier
侵犯	to infringe on; to encroach on; to violate; to assault
共鸣	(physics) to resonate; resonance; sympathetic response
退出	to withdraw; to abort; to quit; to log out (computing)
网络	network (computing, telecommunications, transport etc)
无所谓	to be indifferent; not to matter; cannot be said to be
形象	image; form; figure; CL:個|个[ge4]; visualization; vivid
通红	very red; red through and through; to blush (deep red)
退票	to bounce (a check); to return a ticket; ticket refund
混淆	to obscure; to confuse; to mix up; to blur; to mislead
外部	the outside; (attributive) external; exterior; surface
偶像包袱	burden of having to maintain one's image as a pop idol
渣男	(coll.) jerk; scumbag (esp. in romantic relationships)
兼职	to hold concurrent posts; concurrent job; moonlighting
業界良心	adj./n. Industry+conscience. Of the industry standard.
剪彩	to cut the ribbon (at a launching or opening ceremony)
足球	soccer ball; a football; CL:個|个[ge4]; soccer; football
迎来	to welcome (a visitor or newcomer); (fig.) to usher in
应对	to answer; to reply; to handle; to deal with; response
嘴巴	mouth (CL:張|张[zhang1]); slap in the face (CL:個|个[ge4])
警惕	to be on the alert; vigilant; alert; on guard; to warn
救济	emergency relief; to help the needy with cash or goods
自杀	to kill oneself; to commit suicide; to attempt suicide
遵守	to comply with; to abide by; to respect (an agreement)
埋怨	to complain; to grumble (about); to reproach; to blame
盘旋	to spiral; to circle; to go around; to hover; to orbit
荣誉	honor; credit; glory; (honorable) reputation; honorary
声势	fame and power; prestige; influence; impetus; momentum
私自	private; personal; secretly; without explicit approval
文物	cultural relic; historical relic; CL:件[jian4],個|个[ge4]
新陈代谢	metabolism (biology); the new replaces the old (idiom)
迎面	directly; head-on (collision); in one's face (of wind)
振奋	to stir oneself up; to raise one's spirits; to inspire
震撼	to shake; to shock; to stun; shocking; stunning; shock
制止	to curb; to put a stop to; to stop; to check; to limit
摆动	to sway; to swing; to move back and forth; to oscillate
笔记本	notebook (stationery); CL:本[ben3]; notebook (computing)
不客气	you're welcome; don't mention it; impolite; rude; blunt
不得了	desperately serious; disastrous; extremely; exceedingly
耳朵	ear; CL:隻|只[zhi1],個|个[ge4],對|对[dui4]; handle (on a cup)
本钱	capital; (fig.) asset; advantage; the means (to do sth)
动作	movement; motion; action (CL:個|个[ge4]); to act; to move
对于	regarding; as far as (sth) is concerned; with regard to
反正	anyway; in any case; to come over from the enemy's side
感谢	(express) thanks; gratitude; grateful; thankful; thanks
大多	for the most part; many; most; the greater part; mostly
关键	crucial point; crux; CL:個|个[ge4]; key; crucial; pivotal
发动	to start; to launch; to unleash; to mobilize; to arouse
典型	model; typical case; archetype; typical; representative
动态	movement; motion; development; trend; dynamic (science)
结账	to pay the bill; to settle accounts; also written 結帳|结帐
构造	structure; composition; tectonic (geology); CL:個|个[ge4]
光盘	compact disc (CD); DVD; CD-ROM; CL:片[pian4],張|张[zhang1]
难受	to feel unwell; to suffer pain; to be difficult to bear
上课	to go to class; to attend class; to go to teach a class
摩托车	(loanword) motorbike; motorcycle; CL:輛|辆[liang4],部[bu4]
乒乓球	table tennis; ping-pong; table tennis ball; CL:個|个[ge4]
交警	traffic police (abbr. for 交通警察[jiao1 tong1 jing3 cha2])
缺少	lack; shortage of; shortfall; to be short (of); to lack
难听	unpleasant to hear; coarse; vulgar; offensive; shameful
机械	machine; machinery; mechanical; (old) cunning; scheming
剧本	script for play, opera, movie etc; screenplay; scenario
绝望	to despair; to give up all hope; desperate; desperation
通知	to notify; to inform; notice; notification; CL:個|个[ge4]
脸盆	washbowl; basin for washing hands and face; CL:個|个[ge4]
哆嗦	to tremble; to shiver; uncontrolled shaking of the body
委屈	to feel wronged; to cause sb to feel wronged; grievance
物质	matter; substance; material; materialistic; CL:個|个[ge4]
想念	to miss; to remember with longing; to long to see again
义务	duty; obligation (CL:項|项[xiang4]); volunteer (work etc)
晚报	evening newspaper; (in a newspaper's name) Evening News
专心	to focus one's attention; to concentrate on (doing sth)
以下	that level or lower; that amount or less; the following
中餐	lunch; Chinese meal; Chinese food; CL:份[fen4],頓|顿[dun4]
研制	to research and manufacture; to research and to develop
华裔	ethnic Chinese; non-Chinese citizen of Chinese ancestry
鑄鐵	cast iron (just including bc the traditional is insane)
用心	motive; intention; to be diligent or attentive; careful
摆着	zhe refers to the existence of things. "bai" is like???
低调	low pitch; quiet (voice); subdued; low-key; low-profile
声调	tone; note; a tone (on a Chinese syllable); CL:個|个[ge4]
唠叨	to prattle; to chatter away; to nag; garrulous; nagging
拳头	fist; clenched fist; CL:個|个[ge4]; competitive (product)
猜想	to guess; to conjecture; to suppose; (math.) hypothesis
申报	to report (to the authorities); to declare (to customs)
诬陷	to entrap; to frame; to plant false evidence against sb
泄露	to leak (information); to divulge; also pr. [xie4 lou4]
行政	administration; (attributive) administrative; executive
须知	key information; instructions; it must be borne in mind
悬念	suspense in a movie, play etc; concern for sb's welfare
振兴	to revive; to revitalize; to invigorate; to re-energize
逐年	year after year; with each passing year; over the years
挨打	to take a beating; to get thrashed; to come under attack
办公	to handle official business; to work (esp. in an office)
巴不得	(coll.) to be eager for; to long for; to look forward to
一起	in the same place; together; with; altogether (in total)
北极	the North Pole; the Arctic Pole; the north magnetic pole
工具	tool; instrument; utensil; means (to achieve a goal etc)
打印	to affix a seal; to stamp; to print out (with a printer)
装修	to decorate; interior decoration; to fit up; to renovate
创造	to create; to bring about; to produce; to set (a record)
街道	street; CL:條|条[tiao2]; subdistrict; residential district
感想	impressions; reflections; thoughts; CL:通[tong4],個|个[ge4]
布局	arrangement; composition; layout; opening (chess jargon)
热情	cordial; enthusiastic; passion; passionate; passionately
健身	to exercise; to keep fit; to work out; physical exercise
文化	culture; civilization; cultural; CL:個|个[ge4],種|种[zhong3]
新鲜	fresh (experience, food etc); freshness; novel; uncommon
舅舅	mother's brother; maternal uncle (informal); CL:個|个[ge4]
赶不上	can't keep up with; can't catch up with; cannot overtake
川流不息	the stream flows without stopping (idiom); unending flow
床单	bed sheet; CL:條|条[tiao2],件[jian4],張|张[zhang1],床[chuang2]
吹牛	to talk big; to shoot off one's mouth; to chat (dialect)
供给	to furnish; to provide; supply (as in supply and demand)
难免	hard to avoid; difficult to escape from; will inevitably
关联	to be related; to be connected; relationship; connection
淡季	off season; slow business season; see also 旺季[wang4 ji4]
淡水	potable water (water with low salt content); fresh water
点缀	to decorate; to adorn; sprinkled; studded; only for show
老百姓	ordinary people; the "person in the street"; CL:個|个[ge4]
白毛女	The White Haired Girl (1950), one of the first PRC films
性格	nature; disposition; temperament; character; CL:個|个[ge4]
开设	to offer (goods or services); to open (for business etc)
一致	consistent; unanimous; in agreement; together; in unison
仔细	careful; attentive; cautious; to be careful; to look out
影片	a copy of a film; film; motion picture; movie; CL:部[bu4]
拖鞋	slippers; sandals; flip-flops; CL:雙|双[shuang1],隻|只[zhi1]
鲜明	(of colors) bright; fresh and clear; clear-cut; distinct
箱子	suitcase; chest; box; case; trunk; CL:隻|只[zhi1],個|个[ge4]
研究生	graduate student; postgraduate student; research student
药物	medicaments; pharmaceuticals; medication; medicine; drug
学科	subject; branch of learning; course; academic discipline
见闻	what one has seen and heard; knowledge; one's experience
顏值爆表	Maxing out the cute-o-meter. Off-the-charts cute/pretty.
自觉	conscious; aware; on one's own initiative; conscientious
难怪	(it's) no wonder (that...); (it's) not surprising (that)
追求	to pursue (a goal etc) stubbornly; to seek after; to woo
中断	to cut short; to break off; to discontinue; to interrupt
阻碍	to obstruct; to hinder; to block; obstruction; hindrance
澳洲	Australia (abbr. for 澳大利亞洲|澳大利亚洲[Ao4 da4 li4 ya4 Zhou1])
力争	to work hard for; to do all one can; to contend strongly
唯独	only; just (i.e. it is only that...); all except; unique
排斥	to reject; to exclude; to eliminate; to remove; to repel
迫不及待	impatient (idiom); in a hurry; itching to get on with it
潜水	to dive; to go under water; (in an online forum) to lurk
磨砂	to scrub with an abrasive; to sand; frosted (e.g. glass)
仁慈	benevolent; charitable; kind; kindly; kindness; merciful
高管	executive; senior management; (contraction of 高級管理|高级管理)
斯文	refined; educate; cultured; intellectual; polite; gentle
滔滔不绝	(idiom) to produce a torrent of words; to talk on and on
调剂	to adjust; to balance; to make up a medical prescription
通缉	to order the arrest of sb as criminal; to list as wanted
斟酌	to consider; to deliberate; to fill up a cup to the brim
办法	means; method; way (of doing sth); CL:條|条[tiao2],個|个[ge4]
帮忙	to help; to lend a hand; to do a favor; to do a good turn
玻璃	glass; CL:張|张[zhang1],塊|块[kuai4]; (slang) male homosexual
逛街	to take a walk; to window-shop; to stroll down the street
聪明	intelligent; clever; bright; acute (of sight and hearing)
前面	ahead; in front; preceding; above; also pr. [qian2 mian5]
不时	from time to time; now and then; occasionally; frequently
现在	now; at present; at the moment; modern; current; nowadays
附近	nearby; neighboring; (in the) vicinity (of); neighborhood
定檔	v. [Of a movie or TV show] is set to be released or aired
事情	affair; matter; thing; business; CL:件[jian4],樁|桩[zhuang1]
小姐	young lady; miss; (slang) prostitute; CL:個|个[ge4],位[wei4]
创新	to bring forth new ideas; to blaze new trails; innovation
广告	to advertise; a commercial; advertisement; CL:項|项[xiang4]
习惯	habit; custom; usual practice; to be used to; CL:個|个[ge4]
巨大	huge; immense; very large; tremendous; gigantic; enormous
来得及	to have enough time; can do it in time; can still make it
跟前	(of children, parents etc) at one's side; living with one
官方	government; official (approved or issued by an authority)
答辩	to reply (to an accusation); to defend one's dissertation
缺点	weak point; fault; shortcoming; disadvantage; CL:個|个[ge4]
课程	course; academic program; CL:堂[tang2],節|节[jie2],門|门[men2]
降价	to cut the price; to drive down the price; to get cheaper
受伤	to sustain injuries; wounded (in an accident etc); harmed
摔倒	to fall down; to slip and fall; to throw sb to the ground
主意	plan; idea; decision; CL:個|个[ge4]; Beijing pr. [zhu2 yi5]
吸取	to absorb; to draw (a lesson, insight etc); to assimilate
反感	to be disgusted with; to dislike; bad reaction; antipathy
冷水	cold water; unboiled water; fig. not yet ready (of plans)
前后	around; from beginning to end; all around; front and rear
上下	up and down; top and bottom; old and young; length; about
谈判	to negotiate; negotiation; talks; conference; CL:個|个[ge4]
所在	place; location; (after a noun) place where it is located
销售	to sell; to market; sales (representative, agreement etc)
经商	to trade; to carry out commercial activities; in business
造型	to model; to shape; appearance; style; design; form; pose
一次性	one-off (offer); one-time; single-use; disposable (goods)
装置	to install; installation; equipment; system; unit; device
精益求精	(idiom) to constantly seek to improve; to keep perfecting
中央	central; middle; center; central authorities (of a state)
刊登	to carry a story; to publish (in a newspaper or magazine)
朴素	plain and simple; unadorned; simple living; not frivolous
迁就	to yield to; to adapt to; to accommodate oneself to (sth)
特长	personal strength; one's special ability or strong points
熏陶	to seep in; to influence; to nurture; influence; training
淹没	to submerge; to drown; to flood; to drown out (also fig.)
栽培	to grow; to cultivate; to train; to educate; to patronize
宝贵	valuable; precious; to value; to treasure; to set store by
保健	health protection; health care; to maintain in good health
大概	roughly; probably; rough; approximate; about; general idea
从来	always; at all times; never (if used in negative sentence)
不安	unpeaceful; unstable; uneasy; disturbed; restless; worried
发烧	to have a high temperature (from illness); to have a fever
脫飯	v.  To extract [from]+fandom. To stop being someone’s fan.
标本	specimen; sample; the root cause and symptoms of a disease
传达	to pass on; to convey; to relay; to transmit; transmission
不择手段	by fair means or foul; by hook or by crook; unscrupulously
布告	posting on a bulletin board; notice; bulletin; to announce
积极	active; energetic; vigorous; positive (outlook); proactive
否定	to negate; to deny; to reject; negative (answer); negation
教授	professor; to instruct; to lecture on; CL:個|个[ge4],位[wei4]
脫粉	v. Break away from+fan. To stop being [a celebrity’s] fan.
爷爷	(coll.) father's father; paternal grandfather; CL:個|个[ge4]
迟钝	slow in one's reactions; sluggish (in movement or thought)
富有	rich; wealthy; affluent; to be rich in; to be replete with
规划	to draw up a plan; to map out a program; a plan; a program
脾气	character; temperament; disposition; bad temper; CL:股[gu3]
缓解	to bring relief; to alleviate (a crisis); to dull (a pain)
白左	naive, self-righteous Western liberals (neologism c. 2015)
惦记	to think of; to keep thinking about; to be concerned about
讨厌	to dislike; to loathe; disagreeable; troublesome; annoying
东道主	host; official host (e.g. venue for games or a conference)
数码	number; numerals; figures; digital; amount; numerical code
动荡	unrest (social or political); turmoil; upheaval; commotion
真的	really; truly; indeed; real; true; genuine; (math.) proper
落实	practical; workable; to implement; to carry out; to decide
应聘	to accept a job offer; to apply for an advertised position
期望	to have expectations; to earnestly hope; expectation; hope
种类	kind; genus; type; category; variety; species; sort; class
盖章	to affix a seal; to stamp (a document); to sign off on sth
收回	to regain; to retake; to take back; to withdraw; to revoke
切实	feasible; realistic; practical; earnestly; conscientiously
标点	punctuation; a punctuation mark; to punctuate; CL:個|个[ge4]
院子	courtyard; garden; yard; patio; CL:個|个[ge4]; (old) servant
吸管	(drinking) straw; pipette; eyedropper; snorkel; CL:支[zhi1]
为期	(to be done) by (a certain date); lasting (a certain time)
眼光	gaze; insight; foresight; vision; way of looking at things
往返	to go back and forth; to go to and fro; to do a round trip
上火	to get angry; to suffer from excessive internal heat (TCM)
华尔街	Wall Street, New York; by extension, American big business
收缩	to pull back; to shrink; to contract; (physiology) systole
外向	extroverted (personality); (economics etc) export-oriented
凶恶	variant of 兇惡|凶恶, fierce; ferocious; fiendish; frightening
正经	decent; honorable; proper; serious; according to standards
本土	one's native country; native; local; metropolitan territory
餐厅	dining hall; dining room; restaurant; CL:間|间[jian1],家[jia1]
边缘	edge; fringe; verge; brink; periphery; marginal; borderline
不见	not to see; not to meet; to have disappeared; to be missing
持续	to continue; to persist; to last; sustainable; preservation
电话	telephone; CL:部[bu4]; phone call; CL:通[tong1]; phone number
节目	program; item (on a program); CL:臺|台[tai2],個|个[ge4],套[tao4]
还有	there still remain(s); there is (or are) still; in addition
辞典	dictionary (variant of 詞典|词典[ci2 dian3]); CL:本[ben3],部[bu4]
出面	to appear personally; to step in; to step forth; to show up
改正	to correct; to amend; to put right; correction; CL:個|个[ge4]
而且	(not only ...) but also; moreover; in addition; furthermore
对象	target; object; partner; boyfriend; girlfriend; CL:個|个[ge4]
爬山	to climb a mountain; to mountaineer; hiking; mountaineering
光明	light; radiance; (fig.) bright (prospects etc); openhearted
高速	high speed; expressway (abbr. for 高速公路[gao1 su4 gong1 lu4])
恩人	a benefactor; a person who has significantly helped sb else
进步	progress; improvement; to improve; to progress; CL:個|个[ge4]
惊讶	amazed; astonished; to surprise; amazing; astonishment; awe
基地	base (of operations); industrial or military base; al-Qaeda
外边	outside; outer surface; abroad; place other than one's home
开业	to open a business; to open a practice; open (for business)
学院	college; educational institute; school; faculty; CL:所[suo3]
島國	n. Island nation. This Internet slang term refers to Japan.
考察	to inspect; to observe and study; on-the-spot investigation
误会	to misunderstand; to mistake; misunderstanding; CL:個|个[ge4]
礼拜	to attend a religious service; (coll.) week; (coll.) Sunday
效果	result; effect; efficacy; (theater) sound or visual effects
由于	due to; as a result of; thanks to; owing to; since; because
老乡	fellow townsman; fellow villager; sb from the same hometown
偶然	incidentally; occasional; occasionally; by chance; randomly
配套	to form a complete set; compatible; matching; complementary
录像	to videotape; to videorecord; video recording; CL:盤|盘[pan2]
评论	to comment on; to discuss; comment; commentary; CL:篇[pian1]
其余	the rest; the others; remaining; remainder; apart from them
认得	to recognize; to remember sth (or sb) on seeing it; to know
作文	to write an essay; composition (student essay); CL:篇[pian1]
时事	current trends; the present situation; how things are going
一家人	the whole family; members of the same family (lit. or fig.)
维护	to defend; to safeguard; to protect; to uphold; to maintain
未来	future; tomorrow; CL:個|个[ge4]; approaching; coming; pending
辅导	to give guidance; to mentor; to counsel; to coach; to tutor
显著	outstanding; notable; remarkable; statistically significant
挂号	to register (at a hospital etc); to send by registered mail
拐弯	to go round a curve; to turn a corner; fig. a new direction
弯曲	to bend; to curve around; curved; crooked; to wind; to warp
转变	to change; to transform; shift; transformation; CL:個|个[ge4]
著作	to write; literary work; book; article; writings; CL:部[bu4]
只不过	only; merely; nothing but; no more than; it's just that ...
局限	to limit; to confine; to restrict sth within set boundaries
治理	to govern; to administer; to manage; to control; governance
留恋	reluctant to leave; to hate to have to go; to recall fondly
朴实	plain; simple; guileless; down-to-earth; sincere and honest
雪上加霜	(idiom) to make matters even worse; to add insult to injury
压岁钱	money given to children as a gift on Chinese New Year's Eve
装卸	to load or unload; to transfer; to assemble and disassemble
着手	to put one's hand to it; to start out on a task; to set out
作弊	to practice fraud; to cheat; to engage in corrupt practices
显眼包	Class Clown; Literally meaning “eye-catching,”. xiǎn yǎn bāo
凹凸	concave or convex; bumps and holes; uneven (surface); rugged
包裹	to wrap up; to bind up; bundle; parcel; package; CL:個|个[ge4]
标志	sign; mark; symbol; logo; to symbolize; to indicate; to mark
词典	dictionary; also written 辭典|辞典[ci2 dian3]; CL:部[bu4],本[ben3]
伴随	to accompany; to follow; to occur together with; concomitant
成熟	mature; ripe; to mature; to ripen; Taiwan pr. [cheng2 shou2]
创作	to create; to produce; to write; a creative work; a creation
对手	opponent; rival; competitor; (well-matched) adversary; match
出访	to go and visit in an official capacity or for investigation
便宜	cheap; inexpensive; a petty advantage; to let sb off lightly
存款	to deposit money (in a bank etc); bank savings; bank deposit
清楚	clear; distinct; to understand thoroughly; to be clear about
关机	to turn off (a machine or device); to finish shooting a film
