癌症	/cancer/
招标	/to invite bids/
招收	/to hire/to recruit/
朝气蓬勃	/full of youthful energy (idiom); vigorous/energetic/a bright spark/
着迷	/to be fascinated/to be captivated/
沼泽	/marsh/swamp/wetlands/glade/
照样	/as before/(same) as usual/in the same manner/still/nevertheless/
照耀	/to shine/to illuminate/
遮挡	/to shelter/to shelter from/
折腾	/to toss from side to side (e.g. sleeplessly)/to repeat sth over and over again/to torment sb/to play crazy/to squander (time, money)/
折磨	/to torment; to torture/
真理	/truth/CL:個|个[ge4]/
真相	/the truth about sth; the actual facts/
真挚	/sincere/sincerity/
珍贵	/precious/
珍稀	/rare/precious and uncommon/
珍珠	/pearl/CL:顆|颗[ke1]/
侦探	/detective/to do detective work/
斟酌	/to consider/to deliberate/to fill up a cup to the brim/
枕头	/pillow/
阵地	/(military) position/front/
阵容	/troop arrangement/battle formation/lineup (of a sports team etc)/
镇定	/calm/unperturbed/cool/
镇静	/calm/cool/
振奋	/to stir oneself up/to raise one's spirits/to inspire/
振兴	/to revive; to revitalize; to invigorate; to re-energize/
震撼	/to shake/to shock/to stun/shocking/stunning/shock/
震惊	/to shock/to astonish/
争端	/dispute/controversy/conflict/
争夺	/to fight over/to contest/to vie over/
争气	/to work hard for sth/to resolve on improvement/determined not to fall short/
争先恐后	/striving to be first and fearing to be last (idiom); outdoing one another/
争议	/controversy/dispute/to dispute/
蒸发	/to evaporate/evaporation/
征服	/to conquer/to subdue/to vanquish/
征收	/to levy (a tax)/to expropriate/
正月	/first month of the lunar year/
挣扎	/to struggle/
整顿	/to tidy up/to reorganize/to consolidate/to rectify/
正当	/honest/reasonable/fair/sensible/
正负	/positive and negative/
正规	/regular/according to standards/
正经	/decent/honorable/proper/serious/according to standards/
正气	/healthy atmosphere; moral spirit/unyielding integrity; probity/(TCM) vital energy (resistance to diseases)/
正义	/justice/righteousness/just/righteous/
正宗	/orthodox school/fig. traditional/old school/authentic/genuine/
政策	/policy/CL:個|个[ge4]/
政权	/regime/political power/
证实	/to confirm (sth to be true)/to verify/
证书	/credentials/certificate/
郑重	/serious/solemn/earnest/conscientious/
症状	/symptom (of an illness)/
之际	/during/at the time of/
支撑	/to prop up/to support/strut/brace/
支出	/to spend; to pay out/expenses; expenditure/
支流	/tributary (river)/
支配	/to control/to dominate/to allocate/
支援	/to provide assistance/to support/to back/
支柱	/mainstay/pillar/prop/backbone/
知觉	/perception/consciousness/
知足常乐	/satisfied with what one has (idiom)/
脂肪	/fat (in the body, in a plant, or in food)/
直播	/(TV, radio) to broadcast live/live broadcast/(Internet) to livestream/(agriculture) direct seeding/
直径	/diameter/
值班	/to work a shift/on duty/
殖民地	/colony/
职能	/function/role/
职位	/position; post; job/
职务	/post/position/job/duties/
执行	/to implement/to carry out/to execute/to run/
执着	/to be strongly attached to/to be dedicated/to cling to/(Buddhism) attachment/
侄子	/brother's son; nephew/
指标	/(production) target; quota/index; indicator/sign; signpost/(computing) pointer/
指定	/to appoint/to assign/to indicate clearly and with certainty/designated/
指甲	/fingernail/
指令	/order/command/instruction/
指南针	/compass/
指示	/to point out/to indicate/to instruct/directives/instructions/CL:個|个[ge4]/
指望	/to count on; to hope for/prospect; hope/
指责	/to criticize/to find fault with/to denounce/
治安	/law and order/public security/
治理	/to govern/to administer/to manage/to control/governance/
制裁	/to punish/punishment/sanctions (incl. economic)/
制服	/to subdue/to check/to bring under control/(in former times) what one is allowed to wear depending on social status/uniform (army, party, school etc)/livery (for company employees)/CL:套[tao4]/
制约	/to restrict/condition/
制止	/to curb/to put a stop to/to stop/to check/to limit/
致辞	/to express in words or writing/to make a speech (esp. short introduction, vote of thanks, afterword, funeral homily etc)/to address (an audience)/same as 致詞|致词/
致力	/to work for/to devote one's efforts to/
致使	/to cause/to result in/
智力	/intelligence/intellect/
智能	/intelligent/able/smart (phone, system, bomb etc)/
智商	/IQ (intelligence quotient)/
滞留	/(of a person) to remain in (a place) (due to circumstances that prevent one leaving); to be stranded/(of sth that would typically dissipate, e.g. floodwater, pollutants) to remain; to linger/
志气	/ambition/resolve/backbone/drive/spirit/
忠诚	/devoted/loyal/fidelity/loyalty/
忠实	/faithful/
终点	/the end/end point/finishing line (in a race)/destination/terminus/CL:個|个[ge4]/
终究	/in the end/after all is said and done/
终身	/lifelong/all one's life/marriage/
终止	/to stop; to terminate/
中断	/to cut short/to break off/to discontinue/to interrupt/
中立	/neutral/neutrality/
中央	/central/middle/center/central authorities (of a state)/
衷心	/heartfelt/wholehearted/cordial/
种子	/seed/CL:顆|颗[ke1],粒[li4]/
种族	/race/ethnicity/
种植	/to plant; to grow (a crop); to cultivate/
肿瘤	/tumor/
重心	/center of gravity/central core/main part/
众所周知	/see 眾所周知|众所周知[zhong4 suo3 zhou1 zhi1]/
周边	/periphery/rim/surroundings/all around/perimeter/peripheral (computing)/spin-offs/
周密	/careful/thorough/meticulous/dense/impenetrable/
周年	/anniversary/annual/
周期	/period/cycle/
周折	/twists and turns/vicissitude/complication/difficulty/effort/CL:番[fan1]/
周转	/to rotate/to circulate (cash, stock etc)/turnover/circulation/cash flow/
皱纹	/wrinkle/CL:道[dao4]/
昼夜	/day and night/period of 24 hours/continuously, without stop/
诸位	/(pron) everyone/Ladies and Gentlemen/Sirs/
逐年	/year after year/with each passing year/over the years/
主办	/to organize/to host (a conference or sports event)/
主导	/leading/dominant/prevailing/to lead/to direct/to dominate/
主管	/in charge/responsible for/person in charge/manager/
主流	/main stream (of a river)/fig. the essential point/main viewpoint of a matter/mainstream (culture etc)/
主权	/sovereignty/
主义	/-ism/ideology/
嘱咐	/to urge; to exhort/
住宅	/residence; dwelling; abode/
注射	/injection/to inject/
注视	/to look attentively at; to closely watch; to gaze at/
注释	/variant of 注釋|注释[zhu4 shi4]/
注重	/to pay attention to/to emphasize/
助理	/assistant/
助手	/assistant; helper/
著作	/to write/literary work/book/article/writings/CL:部[bu4]/
驻扎	/to station/to garrison (troops)/
铸造	/to cast (pour metal into a mold)/
专长	/specialty/special knowledge or ability/
专程	/specifically/specially (for that purpose)/
专利	/patent/sth uniquely enjoyed (or possessed etc) by a certain group of people/monopoly/
专题	/specific topic (addressed by a book, lecture, TV program etc)/article, report or program etc on a specific topic/
转达	/to pass on/to convey/to communicate/
转让	/to transfer (ownership, rights etc)/
转移	/to shift; to relocate; to transfer/(fig.) to shift (attention); to change (the subject etc)/(medicine) to metastasize/
转折	/shift in the trend of events/turnaround/plot shift in a book/turn in the conversation/
传记	/biography/CL:篇[pian1],部[bu4]/
装备	/equipment/to equip/to outfit/
装卸	/to load or unload/to transfer/to assemble and disassemble/
庄严	/solemn; dignified; stately/
庄重	/grave/solemn/dignified/
庄稼	/farm crop/
壮观	/spectacular/magnificent sight/
壮丽	/magnificence/magnificent/majestic/glorious/
壮烈	/brave/heroic/
追悼	/to mourn; to pay last respects/
追究	/to investigate/to look into/
准则	/norm/standard/criterion/
琢磨	/to ponder/to mull over/to think through/Taiwan pr. [zhuo2 mo2]/
着手	/to put one's hand to it/to start out on a task/to set out/
着想	/to give thought (to others)/to consider (other people's needs)/also pr. [zhao2 xiang3]/
着重	/to put emphasis on; to stress/
卓越	/outstanding/surpassing/distinguished/splendid/
资本	/capital (economics)/
资产	/property/assets/
资深	/veteran (journalist etc)/senior/highly experienced/
资助	/to subsidize/to provide financial aid/subsidy/
姿态	/attitude/posture/stance/
滋味	/taste/flavor/feeling/
滋润	/moist/humid/to moisten/to provide moisture/comfortably off/
子弹	/bullet/CL:粒[li4],顆|颗[ke1],發|发[fa1]/
自卑	/to have low self-esteem/to abase oneself/
自发	/spontaneous/
自力更生	/regeneration through one's own effort (idiom)/self-reliance/
自满	/complacent/self-satisfied/
自主	/independent/to act for oneself/autonomous/
踪迹	/tracks/trail/footprint/trace/vestige/
宗教	/religion/
宗旨	/objective/aim/goal/
棕色	/brown/
总而言之	/in short/in a word/in brief/
总和	/sum/
纵横	/lit. warp and weft in weaving; vertically and horizontal/length and breadth/criss-crossed/able to move unhindered/abbr. for 合縱連橫|合纵连横[He2 zong4 Lian2 heng2], School of Diplomacy during the Warring States Period (475-221 BC)/
走廊	/corridor/aisle/hallway/passageway/veranda/
走漏	/to leak (information, secrets etc)/to smuggle and evade tax/to suffer shrinkage (partial loss of goods due to theft etc)/
走私	/to smuggle/to have an illicit affair/
租赁	/to rent; to lease; to hire/
足以	/sufficient to.../so much so that/so that/
阻碍	/to obstruct/to hinder/to block/obstruction/hindrance/
阻拦	/to stop/to obstruct/
阻挠	/to thwart/to obstruct (sth)/
祖父	/father's father/paternal grandfather/
祖国	/motherland/
祖先	/ancestors; forebears/(biology) ancestral species; ancient species from which present-day species evolved/
钻研	/to study meticulously/to delve into/
钻石	/diamond/CL:顆|颗[ke1]/
嘴唇	/lip/CL:片[pian4]/
罪犯	/criminal/
尊严	/dignity/sanctity/honor/majesty/
遵循	/to follow; to abide by; to comply with/
做主	/see 作主[zuo4 zhu3]/
座右铭	/motto/maxim/
作弊	/to practice fraud/to cheat/to engage in corrupt practices/
作废	/to become invalid/to cancel/to delete/to nullify/
作风	/style/style of work/way/
作息	/to work and rest/
爱心	/compassion/kindness/care for others/love/CL:片[pian4]/charity (bazaar, golf day etc)/heart (the symbol ♥)/
熬夜	/to stay up late or all night/
安慰	/to comfort/to console/CL:個|个[ge4]/
包含	/to contain/to embody/to include/
宝贵	/valuable/precious/to value/to treasure/to set store by/
保存	/to conserve/to preserve/to keep/to save (a file etc) (computing)/
保留	/to keep/to retain/to have reservations (about sth)/to hold back (from saying sth)/to put aside for later/
报到	/to report for duty/to check in/to register/
报告	/to inform/to report/to make known/report/speech/talk/lecture/CL:篇[pian1],份[fen4],個|个[ge4],通[tong4]/
悲观	/pessimistic/
背景	/background; backdrop; context/(fig.) powerful backer/CL:種|种[zhong3]/
被子	/quilt/CL:床[chuang2]/
本科	/undergraduate course/undergraduate (attributive)/
本领	/skill/ability/capability/CL:項|项[xiang4],個|个[ge4]/
比例	/proportion/scale/
必然	/inevitable/certain/necessity/
必要	/necessary/essential/indispensable/required/
鞭炮	/firecrackers/string of small firecrackers/CL:枚[mei2]/
辩论	/debate/argument/to argue over/CL:場|场[chang3],次[ci4]/
标志	/sign; mark; symbol; logo/to symbolize; to indicate; to mark/
表达	/to express; to convey/
表面	/surface/face/outside/appearance/
表情	/(facial) expression/to express one's feelings/
表现	/to show/to show off/to display/to manifest/expression/manifestation/show/display/performance (at work etc)/behavior/
冰激凌	/ice cream/
玻璃	/glass/CL:張|张[zhang1],塊|块[kuai4]/(slang) male homosexual/
博物馆	/museum/
不断	/unceasing/uninterrupted/continuous/constant/
不见得	/not necessarily/not likely/
不耐烦	/impatient/to lose patience/
补充	/to replenish/to supplement/to complement/additional/supplementary/CL:個|个[ge4]/
不然	/not so/no/or else/otherwise/if not/How about ...?/
不足	/insufficient/lacking/deficiency/not enough/inadequate/not worth/cannot/should not/
部门	/department/branch/section/division/CL:個|个[ge4]/
财产	/property/assets/estate/CL:筆|笔[bi3]/
采取	/to adopt or carry out (measures, policies, course of action)/to take/
参考	/consultation/reference/to consult/to refer/
操场	/playground/sports field/drill ground/CL:個|个[ge4]/
叉子	/fork/CL:把[ba3]/
产生	/to arise; to come into being; to come about/to give rise to; to bring into being; to bring about; to produce; to engender; to generate/
常识	/common sense/general knowledge/CL:門|门[men2]/
潮湿	/damp/moist/
车库	/garage/
彻底	/thorough/thoroughly/complete/
称赞	/to praise/to acclaim/to commend/to compliment/
承担	/to undertake/to assume (responsibility etc)/
承受	/to bear/to support/to inherit/
程序	/procedures/sequence/order/computer program/
成立	/to establish/to set up/to be tenable/to hold water/
成人	/to reach adulthood/an adult/
成语	/Chinese set expression, typically of 4 characters, often alluding to a story or historical quotation; idiom; proverb; saying; adage/CL:條|条[tiao2],本[ben3],句[ju4]/
诚恳	/sincere/honest/cordial/
持续	/to continue/to persist/to last/sustainable/preservation/
尺子	/ruler (measuring instrument)/CL:把[ba3]/
充分	/ample/sufficient/adequate/full/fully/to the full/
重复	/variant of 重複|重复[chong2 fu4]/
宠物	/house pet/
抽象	/abstract/abstraction/CL:種|种[zhong3]/
出口	/an exit/CL:個|个[ge4]/to speak/to export/(of a ship) to leave port/
出示	/to show/to take out and show to others/to display/
出席	/to attend/to participate/present/
除非	/only if (..., or otherwise, ...)/only when/only in the case that/unless/
除夕	/lunar New Year's Eve/
处理	/to handle; to deal with/to punish/to treat sth by a special process; to process/to sell at reduced prices/
传染	/to infect/contagious/
传统	/tradition/traditional/convention/conventional/CL:個|个[ge4]/
此外	/besides/in addition/moreover/furthermore/
次要	/secondary/
匆忙	/hasty/hurried/
从而	/thus/thereby/
从前	/previously/formerly/once upon a time/
粗糙	/crude/gruff/rough/coarse/
促使	/to prompt; to induce; to spur/
措施	/measure/step/CL:個|个[ge4]/
打工	/to work a temporary or casual job/(of students) to have a job outside of class time, or during vacation/
大厦	/(used in the names of grand buildings such as 百老匯大廈|百老汇大厦 Broadway Mansions (in Shanghai) or 帝國大廈|帝国大厦 Empire State Building etc)/
大象	/elephant/CL:隻|只[zhi1]/
代表	/representative/delegate/CL:位[wei4],個|个[ge4],名[ming2]/to represent/to stand for/on behalf of/in the name of/
待遇	/treatment/pay/salary/status/rank/
单调	/monotonous/
单位	/unit (of measure)/unit (group of people as a whole)/work unit (place of employment, esp. in the PRC prior to economic reform)/CL:個|个[ge4]/
担任	/to hold a governmental office or post/to assume office of/to take charge of/to serve as/
耽误	/to delay/to hold up/to waste time/to interfere with/
倒霉	/to have bad luck/to be out of luck/
道理	/reason/argument/sense/principle/basis/justification/CL:個|个[ge4]/
登记	/to register (one's name)/
等于	/to equal/to be tantamount to/
敌人	/enemy/CL:個|个[ge4]/
地毯	/carpet/rug/
地震	/earthquake/
电池	/battery/CL:節|节[jie2],組|组[zu3]/
动画片	/animated film/
独特	/unique; distinctive/
度过	/to pass/to spend (time)/to survive/to get through/
对比	/to contrast/contrast/ratio/CL:個|个[ge4]/
对待	/to treat/treatment/
对手	/opponent/rival/competitor/(well-matched) adversary/match/
多亏	/thanks to/luckily/
发表	/to issue/to publish/
发达	/well-developed; flourishing/to develop; to promote; to expand/(literary) to achieve fame and fortune; to prosper/
发挥	/to display/to exhibit/to bring out implicit or innate qualities/to express (a thought or moral)/to develop (an idea)/to elaborate (on a theme)/
发票	/invoice; receipt; bill/uniform invoice (abbr. for 統一發票|统一发票[tong3 yi1 fa1 piao4])/
发言	/to make a speech/statement/utterance/CL:個|个[ge4]/
罚款	/to fine/penalty/fine (monetary)/
法院	/court of law/court/
繁荣	/prosperous; booming (economy)/
反而	/on the contrary; instead/
反应	/to react/to respond/reaction/response/reply/chemical reaction/CL:個|个[ge4]/
反正	/anyway/in any case/to come over from the enemy's side/
范围	/range/scope/limit/extent/CL:個|个[ge4]/
方案	/plan/program (for action etc)/proposal/proposed bill/CL:個|个[ge4],套[tao4]/
方式	/way; manner; style; mode; pattern/CL:個|个[ge4]/
妨碍	/to hinder/to obstruct/
肥皂	/soap/CL:塊|块[kuai4],條|条[tiao2]/
分布	/to scatter/to distribute/to be distributed (over an area etc)/(statistical, geographic) distribution/
分手	/to part company/to split up/to break up/
风景	/scenery; landscape/CL:個|个[ge4]/
风险	/risk; hazard/
讽刺	/to satirize/to mock/irony/satire/sarcasm/
否认	/to declare to be untrue/to deny/
复制	/to duplicate/to make a copy of/to copy/to reproduce/to clone/
改进	/to improve; to make better/improvement/CL:個|个[ge4]/
改正	/to correct/to amend/to put right/correction/CL:個|个[ge4]/
概括	/to summarize; to generalize/briefly; in broad outline/
感想	/impressions/reflections/thoughts/CL:通[tong4],個|个[ge4]/
赶快	/quickly; at once/
干活儿	/erhua variant of 幹活|干活[gan4 huo2]/
高级	/high level/high grade/advanced/high-ranking/
告别	/to leave; to part from/to bid farewell to; to say goodbye to/
隔壁	/next door/neighbor/
个人	/individual/personal/oneself/
各自	/each/respective/apiece/
根本	/fundamental/basic/root/simply/absolutely (not)/(not) at all/CL:個|个[ge4]/
公开	/open; overt; public/to make public; to release/
公平	/fair/impartial/
公寓	/apartment building; block of flats (may be a public housing block or a condominium etc) (CL:套[tao4])/
工厂	/factory/CL:家[jia1],座[zuo4]/
工具	/tool/instrument/utensil/means (to achieve a goal etc)/
工业	/industry/
功能	/function; capability/
沟通	/to join; to connect; to link up/to communicate/
姑娘	/girl/young woman/young lady/daughter/paternal aunt (old)/CL:個|个[ge4]/
古代	/ancient times/
鼓掌	/to applaud/to clap/
骨头	/bone/CL:根[gen1],塊|块[kuai4]/moral character/bitterness/Taiwan pr. [gu2 tou5]/
怪不得	/no wonder!/so that's why!/
观察	/to observe; to watch; to survey/
观念	/notion/thought/concept/sense/views/ideology/general impressions/
冠军	/champion/CL:個|个[ge4]/
光滑	/glossy; sleek; smooth/
光明	/light/radiance/(fig.) bright (prospects etc)/openhearted/
广大	/(of an area) vast or extensive/large-scale/widespread/(of people) numerous/
规律	/rule (e.g. of science)/law of behavior/regular pattern/rhythm/discipline/
规则	/rule/regulation/rules and regulations/
国庆节	/PRC National Day (October 1st)/
果实	/fruit (produced by a plant)/(fig.) fruits (of success etc)/results/gains/
过敏	/oversensitive/allergic/allergy/
海鲜	/seafood/
豪华	/luxurious/
好奇	/inquisitive/curious/inquisitiveness/curiosity/
何必	/there is no need/why should/
合法	/lawful/legitimate/legal/
合理	/rational; reasonable; sensible; fair/
合同	/(business) contract/CL:個|个[ge4]/
合作	/to cooperate; to collaborate; to work together/
猴子	/monkey/CL:隻|只[zhi1]/
后背	/the back (human anatomy)/the back part of sth/
忽视	/to neglect; to overlook; to disregard; to ignore/
胡说	/to talk nonsense/drivel/
糊涂	/muddled/silly/confused/
花生	/peanut/groundnut/CL:粒[li4]/
话题	/subject (of a talk or conversation)/topic/
怀念	/to cherish the memory of/to think of/to reminisce/
怀孕	/pregnant/to have conceived/gestation/pregnancy/
慌张	/flustered/agitated/
黄金	/gold/golden (opportunity)/prime (time)/
灰心	/to lose heart/to be discouraged/
婚礼	/wedding ceremony/wedding/CL:場|场[chang3]/
活跃	/active/lively/excited/to enliven/to brighten up/
伙伴	/partner/companion/comrade/
或许	/perhaps; maybe/
基本	/basic/fundamental/main/elementary/
机器	/machine/CL:臺|台[tai2],部[bu4],個|个[ge4]/
及格	/to pass an exam or a test/to meet a minimum standard/
集合	/to gather; to assemble/(math.) set/
集中	/to concentrate/to centralize/to focus/centralized/concentrated/to put together/
急诊	/to give or receive urgent medical treatment/emergency treatment (at a hospital emergency department, or from a doctor on a house call)/
记忆	/to remember/to recall/memory/CL:個|个[ge4]/
纪录	/variant of 記錄|记录[ji4 lu4] (but in Taiwan, not for the verb sense "to record")/
纪念	/to commemorate; to honor the memory of/memento; keepsake; souvenir/
家务	/household duties/housework/
嘉宾	/esteemed guest/honored guest/guest (on a show)/
假如	/if/
假装	/to feign/to pretend/
驾驶	/to pilot (ship, airplane etc)/to drive/
坚强	/staunch/strong/
艰苦	/difficult/hard/arduous/
简直	/simply; really/
健身	/to exercise/to keep fit/to work out/physical exercise/
建设	/to build; to construct; to establish; to develop; to institute/
建筑	/to construct/building/CL:個|个[ge4]/
键盘	/keyboard/
讲座	/a course of lectures/CL:個|个[ge4]/
酱油	/soy sauce/
交换	/to exchange/to swap/to switch (telecom)/commutative (math)/to commute/
交往	/to associate (with)/to have contact (with)/to hang out (with)/to date/(interpersonal) relationship/association/contact/
角度	/angle/point of view/
教材	/teaching material/CL:本[ben3]/
教训	/to provide guidance; to lecture sb; to upbraid/a talking-to; a bitter lesson/CL:番[fan1],頓|顿[dun4]/
接待	/to receive; to entertain; to host (guests, visitors or clients)/
结实	/rugged/sturdy/strong/durable/buff (physique)/
节省	/saving/to save/to use sparingly/to cut down on/
结构	/structure/composition/makeup/architecture/CL:座[zuo4],個|个[ge4]/
结合	/to combine/to link/to integrate/binding/CL:次[ci4]/
结论	/conclusion/verdict/CL:個|个[ge4]/to conclude/to reach a verdict/
结账	/to pay the bill/to settle accounts/also written 結帳|结帐/
借口	/to use as an excuse/excuse; pretext/
紧急	/urgent/emergency/
尽快	/see 儘快|尽快[jin3 kuai4]/
谨慎	/cautious/prudent/
进步	/progress; improvement/to improve; to progress/CL:個|个[ge4]/
近代	/the not-very-distant past/modern times, excluding recent decades/(in the context of Chinese history) the period from the Opium Wars until the May 4th Movement (mid-19th century to 1919)/capitalist times (pre-1949)/
尽量	/as much as possible/to the greatest extent/
精神	/vigor; vitality/spirited/good-looking/
经典	/the classics/scriptures/classical/classic (example, case etc)/typical/
舅舅	/mother's brother/maternal uncle (informal)/CL:個|个[ge4]/
桔子	/tangerine/also written 橘子/CL:個|个[ge4],瓣[ban4]/
具备	/to possess/to have/equipped with/able to fulfill (conditions or requirements)/
巨大	/huge/immense/very large/tremendous/gigantic/enormous/
决赛	/finals (of a competition)/
绝对	/absolute; unconditional/
军事	/military affairs/(attributive) military/
开放	/to bloom/to open/to be open (to the public)/to open up (to the outside)/to be open-minded/unrestrained by convention/unconstrained in one's sexuality/
开水	/boiled water/boiling water/
看不起	/to look down upon/to despise/
可见	/it can clearly be seen (that this is the case)/it is (thus) clear/clear/visible/
可怕	/awful/dreadful/fearful/formidable/frightful/scary/hideous/horrible/terrible/terribly/
客观	/objective/impartial/
控制	/to control/
口味	/a person's preferences/tastes (in food)/flavor/
扩大	/to expand/to enlarge/to broaden one's scope/
辣椒	/hot pepper/chili/
劳动	/work/toil/physical labor/CL:次[ci4]/
老板	/boss/business proprietor/CL:個|个[ge4]/
老鼠	/rat; mouse (CL:隻|只[zhi1])/
姥姥	/(coll.) mother's mother/maternal grandmother/
理论	/theory/CL:個|个[ge4]/to argue/to take notice of/
理由	/reason/grounds/justification/CL:個|个[ge4]/
立刻	/forthwith/immediate/prompt/promptly/straightway/thereupon/at once/
力量	/power; force; strength/
利息	/interest (on a loan)/CL:筆|笔[bi3]/
利用	/to exploit/to make use of/to use/to take advantage of/to utilize/
连忙	/promptly/at once/
联合	/to combine/to join/unite/alliance/
了不起	/amazing/terrific/extraordinary/
列车	/(railway) train/
临时	/as the time draws near/at the last moment/temporary/interim/ad hoc/
灵活	/flexible/nimble/agile/
领域	/domain; sphere; field; territory; area/
流传	/to spread/to circulate/to hand down/
浏览	/to skim over/to browse/
陆地	/dry land (as opposed to the sea)/
录取	/to accept an applicant (prospective student, employee etc) who passes an entrance exam/to admit (a student)/to hire (a job candidate)/
论文	/paper/treatise/thesis/CL:篇[pian1]/to discuss a paper or thesis (old)/
落后	/to fall behind/to lag (in technology etc)/backward/to retrogress/
麦克风	/microphone (loanword)/
满足	/to satisfy/to meet (the needs of)/satisfied/content/
冒险	/to take risks/to take chances/foray/adventure/
眉毛	/eyebrow/CL:根[gen1]/
美术	/art/fine arts/painting/CL:種|种[zhong3]/
秘密	/secret; private; confidential; clandestine/a secret (CL:個|个[ge4])/
面对	/to face; to confront/
面临	/to face sth; to be confronted with/
苗条	/(of a woman) slim/slender/graceful/
明确	/clear-cut; definite; explicit/to clarify; to specify; to make definite/
明显	/clear/distinct/obvious/
名牌	/famous brand/nameplate/name tag/
名胜古迹	/historical sites and scenic spots/
命令	/order/command/CL:道[dao4],個|个[ge4]/
模糊	/vague/indistinct/fuzzy/
摩托车	/(loanword) motorbike; motorcycle/CL:輛|辆[liang4],部[bu4]/
目标	/target/goal/objective/CL:個|个[ge4]/
目录	/catalog/table of contents/directory (on computer hard drive)/list/contents/
木头	/slow-witted/blockhead/log (of wood, timber etc)/CL:塊|块[kuai4],根[gen1]/
哪怕	/even/even if/even though/no matter how/
难免	/hard to avoid/difficult to escape from/will inevitably/
脑袋	/head/skull/brains/mental capability/CL:顆|颗[ke1],個|个[ge4]/
内科	/internal medicine; general medicine/
能干	/capable/competent/
能源	/energy/power source/CL:個|个[ge4]/
年代	/a decade of a century (e.g. the Sixties)/age/era/period/CL:個|个[ge4]/
年纪	/age/CL:把[ba3],個|个[ge4]/
宁可	/preferably/one would prefer to...(or not to...)/would rather/(would) be better to/(to pick) the lesser of two evils/
牛仔裤	/jeans/CL:條|条[tiao2]/
农村	/rural area/village/CL:個|个[ge4]/
农业	/agriculture/farming/
女士	/lady/madam/CL:個|个[ge4],位[wei4]/Miss/Ms/
赔偿	/to compensate/
培养	/to cultivate/to breed/to foster/to nurture/to educate/to groom (for a position)/education/fostering/culture (biology)/
配合	/matching/fitting in with/compatible with/to correspond/to fit/to conform to/rapport/to coordinate with/to act in concert with/to cooperate/to become man and wife/to combine parts of machine/
片面	/unilateral/one-sided/
拼音	/phonetic writing/pinyin (Chinese romanization)/
平常	/ordinary/common/usually/ordinarily/
平方	/square (as in square foot, square mile, square root)/
平静	/tranquil/undisturbed/serene/
评价	/to evaluate/to assess/
破坏	/destruction/damage/to wreck/to break/to destroy/
期待	/to look forward to/to await/expectation/
奇迹	/miracle/miraculous/wonder/marvel/
启发	/to enlighten/to explain (a text etc)/to stimulate (a mental attitude)/enlightenment/revelation/motivation/
气氛	/atmosphere; mood/
汽油	/gasoline/
谦虚	/modest/self-effacing/to make modest remarks/
强调	/to emphasize (a statement)/to stress/
悄悄	/quiet; making little or no noise/surreptitious; stealthy/anxious; worried/Taiwan pr. [qiao3 qiao3]/
巧妙	/ingenious; clever/ingenuity; artifice/
亲爱	/dear/beloved/darling/
亲切	/amiable/cordial/close and dear/familiar/
勤奋	/hardworking/diligent/
青春	/youth/youthfulness/
轻视	/contempt/contemptuous/to despise/to scorn/scornful/
请求	/to request; to ask/request (CL:個|个[ge4])/
球迷	/fan (ball sports)/CL:個|个[ge4]/
趋势	/trend; tendency/
去世	/to pass away/to die/
权力	/power/authority/
缺乏	/to lack; to be short of/
确认	/to confirm/to verify/confirmation/
燃烧	/to ignite/to combust/to burn/combustion/flaming/
热爱	/to love ardently/to adore/
热心	/enthusiastic; ardent; zealous/
人才	/talent/talented person/looks/attractive looks/
人类	/humanity/human race/mankind/
人生	/life (one's time on earth)/
人物	/person; personage; figure (esp. sb of importance)/character (in a play, novel etc)/figure painting (as a genre of traditional Chinese painting)/
忍不住	/cannot help/unable to bear/
日程	/schedule/itinerary/CL:個|个[ge4]/
日历	/calendar/CL:張|张[zhang1],本[ben3]/
日用品	/articles for daily use/CL:件[jian4],個|个[ge4]/
如何	/how/what way/what/
软件	/(computer) software/
嗓子	/throat/voice/CL:把[ba3]/
沙滩	/beach/sandy shore/CL:片[pian4]/
闪电	/lightning/CL:道[dao4]/
善于	/to be good at; to be adept at/
商品	/commodity; goods; merchandise/CL:件|件[jian4]/
商务	/commercial affairs/commercial/commerce/business/
伤害	/to injure; to harm/
舍不得	/to hate to do sth/to hate to part with/to begrudge/
设计	/to design; to plan/design; plan/
摄影	/to take a photograph/photography/to shoot (a movie)/
深刻	/profound/deep/deep-going/
身份	/identity/aspect of one's identity (i.e. sth that one is – mayor, father, permanent resident etc)/role/capacity (as in "in his capacity as a ..." 以…的身份[yi3 xx5 de5 shen1 fen4])/status (social, legal etc)/position/rank/
神秘	/mysterious/mystery/
生动	/vivid/lively/
生长	/to grow/to grow up/to be brought up/
失眠	/to suffer from insomnia/
狮子	/lion/CL:隻|只[zhi1],頭|头[tou2]/
时代	/age/era/epoch/period (in one's life)/CL:個|个[ge4]/
时髦	/in vogue/fashionable/
时尚	/fashion/fad/fashionable/
实习	/to practice/field work/to intern/internship/
实验	/experiment/test/CL:個|个[ge4],次[ci4]/experimental/to experiment/
石头	/stone/CL:塊|块[kuai4]/
使劲儿	/erhua variant of 使勁|使劲[shi3 jin4]/
始终	/from beginning to end/all along/
试卷	/examination paper/test paper/CL:份[fen4],張|张[zhang1]/
市场	/marketplace/market (also in abstract)/
事物	/thing; object/CL:個|个[ge4]/
收据	/receipt/CL:張|张[zhang1]/
手工	/handwork/manual/
