几	少
揉	摩擦;捏;按摩
柔和	软;轻;轻松;斯文;温柔
弱点	缺点
散文	文章
散布	扩散;延伸;流传;摊;铺;蔓延;传播
散发	发布;颁布;分散;发表;分布;排放;课题;发射;发行;分配;颁发
丧失	失去;丢;输;罚款;遗失
骚扰	打扰;捣乱;扰乱;惊动
刹车	拦;截止;将军;报到;阻拦;堵塞;终止;遏制;清理;闭塞;停;支票;制服;制止;挫折;对照
啥	什么;咋
筛选	掩护;屏幕;过滤
擅长	善于
伤脑筋	麻烦;啰唆
上级	优越;高明
上进	进展
上任	就职
尚且	仍旧;平坦;还;迄今为止;仍然;而;倒;却;依旧;依然;不过;连;还是
梢	端;结束;终点;完毕
哨	呼啸
奢侈	豪华;过度;挥霍
设立	着手;衬托;镶嵌;确立;成立;创立;树立;奠定;设置;出发;建立;开辟
设想	想象
设置	着手;衬托;镶嵌;成立;装;树立;出发;设立;安装;开辟
涉及	包括;牵扯
深奥	深刻
深沉	深;单调;浓厚;深刻;极端;厚
申报	宣布;报告;陈述;汇报;报道
绅士	君子
呻吟	哼
神气	神态;充沛;词语;空气;表情;朝气蓬勃;风度;表达
神态	寻觅;表情;瞧;目光;表达;模样;方位;神气;当心;操劳;气色;照顾;寻找;关照;风度;面貌;东张西望;样子;词语;看
审查	考核;辩证;探讨;检验;考察;追究
审理	尝;尝试;试;试图
审美	口味;趣味;味道;滋味;尝
渗透	弥漫
慎重	小心翼翼;谨慎;仔细;细致;周密;注意
生存	存在
生机	活力
生疏	陌生;奇怪
生锈	腐蚀
生育	承受;忍受;栽培;饲养;长（动词）;成长;种植;吃苦;生长;发展;承担
声明	发言
声势	冲动;气势
声誉	荣誉;名誉;信誉;面子
失踪	遗失;消失
师范	正常
施展	展示;显示;展览;陈列;运用
拾	摘;捡;十;收;拣;接;采集;掐;收藏
十足	充分;完整;完毕;完备;完成;齐全
识别	分辨;区分;鉴别;辨认
时常	不时;经常;往往;频繁
时而	偶尔
时机	场面;机会;场合;机遇
时事	现状
实惠	充实;有利
实力	力气;优点
实施	扛;戴;贯彻;实行;执行;履行;提;端;携带;开展;挎;落实
实行	扛;戴;贯彻;执行;履行;提;端;实施;携带;开展;挎;落实
实质	精华;本质
是非	吵架;纠纷;争端;争议;打官司
试图	试;企图;尝试;审理;尝
试验	实验;考验;检验;测验
势力	影响;动力;感染;熏陶;权力;力量
示范	示威;呈现;论证
示威	呈现;论证;示范
示意	指示;暗示;表示;含义;提示;表明
释放	发布;解放;版本;放;排放;发射;发行
事故	变故;案件;意外;战斗
事件	活动
事态	场合;局势;格局;形势;状况;情况;局面;地步;情形;情景
事务	干;打工;作品;劳动;操作;致力;工作
事项	端;物质;事情
事业	举动;计划;缘故;使;职业;原因;造成;引起;项目;导致;活动;致使
适宜	妥当;妥善;恰当;相应;合适
视力	眼光;眼神;目光
逝世	去世;熄灭;灭亡;淘汰;死亡;死
收藏	收;采集;征收;拾;攒
收缩	合同;承包
收益	盈利;收入;利润
手法	骗;圈套;玩意儿;技术;本事;窍门;技巧
手势	符号;标志;签;登录;迹象;标记;签署;信号
手艺	商业;贸易;手工;经商
首要	校长
守护	保守;维护;保护;防止;防守;捍卫
受罪	遭受;受到;挨;熬;忍受;吃苦
授予	磋商;颁发
书籍	作品;著作;预订;书
书记	秘书
舒畅	幸福;快活;痛快;愉快;开心;欢乐;快乐;高兴;喜悦;美满
疏忽	忽视;俯视;怠慢;忽略
疏远	隔阂
束	克制;系;丛;约束;捆绑;束缚;扎
束缚	束;节制;系;制约;拘束;牵制;约束;捆绑;扎
树立	着手;衬托;镶嵌;确立;成立;创立;奠定;设置;建立;出发;设立;开辟
数额	数量;折
耍	表演;戏剧;玩弄;玩;敷衍;播放
衰老	年龄;年纪;时代
衰退	推辞;滴;掉;跌;坠
率领	指令;带领;首;领先;引导;婴儿;指挥;主导;吩咐;引起;命令;导致;脑袋
瞬间	片刻;时刻;刻
司法	公道;正义
思念	长;渴望;觉得;久;以为;盼望;怀念;惦记;认为;小姐;想念;悠久;巴不得
思索	琢磨;思维;沉思;思考;思想
思维	思想;思索
私自	本人;私人;悄悄;个人
斯文	轻;轻松;柔和;教养;和气;礼貌;精致;温柔;精密;文雅
死亡	逝世
肆无忌惮	大肆
饲养	抬;抚养;生育;举;提;翘;耸
耸	激发;抬;抚养;举;饲养;提;翘;高尚;崇高
苏醒	醒
塑造	模型;榜样;模特;典型;机动;模范;描绘;灵活
素食	蔬菜
算数	抱;数;把;举行;容纳;占领;憋;举办;统计;盛;占据;扶
随即	立即;立刻;顿时;即便
随意	自觉;称心如意;任意;随便;零星;胡乱
岁月	年代
隧道	地道
索性	恰巧;公正;正;刚才;简直;正当;干脆;刚;唯独
索取	请求;问;征求;需求;过问;反问
塌	倒闭;解体;崩溃;瓦解
踏实	实用;现实;朴实;认真;恳切;诚挚;切实;扎实;坚定;落实
瘫痪	麻痹
贪婪	馋
贪污	腐蚀;腐败
摊	扩散;延伸;流传;铺;蔓延;散布;传播
坦白	老实;正当;交代;廉洁;诚实;坦率
探测	探讨;勘探;探索
探索	探讨;探测
探讨	洽谈;探测;审查;辩证;探索;评论;讨论;考察;追究
探望	访问;参观;游览;看望
倘若	要是;假如;如果
掏	挖掘;扒
淘汰	去世;熄灭;消灭;消除;灭亡;层次;步骤;排除;逝世;除;排斥;洗;清除;死;局面
讨好	巴结
特长	专长
特定	个别;具体;特殊;指定
提炼	抽象;开采;办理;过程;加工;纯洁;摘要;处理
提示	指示;暗示;含义;交代;呈现;指;陈述;送;示意;当前
提议	建议;倡导;暗示;倡议
题材	主题
体裁	模样;模式;款式;风格;样式;造型
体积	册;卷
体谅	许可;欣赏;允许;感激
体面	尊严;正经;脸;颇;面貌;面对;面子;人格
体系	制度;系统
天才	礼物;天赋;才干
天生	内在;自然
天赋	礼物;才干;天才
田野	平原;领域
条理	指令;布局;整理;次序;顺序;布置;安排
条约	协议
调和	和解;和睦;和谐;调节;融洽
调剂	权衡;节制;平衡;调节
调节	规范;调和;和解;调剂;协调
挑拨	鼓动;刺激;挑衅
挑衅	刺激;挑拨
跳跃	蹦;踊跃;飞跃
通俗	平均;通用;民间;普遍;火;热门
通讯	交际;交流;联络
通用	货币;普遍;通俗
统计	增加;算数;增添;补充;数;搭
统统	所有;完全;都;凡是
统治	治理;规律;管辖;规定;政权;规章;规则
投机	推测
投诉	打官司
投降	屈服
透露	泄露;走漏;漏;揭露
秃	麻痹;挫折
突破	缺口
图案	模型;格局;款式;形态;华丽;构思;样式;设计
途径	频道;方式;作风;办法
涂抹	油漆;应用;申请;使用
团结	联合
团体	团;机构;组;群;组织;派别;集团
推测	投机
推理	推论
推论	演绎;推理
推销	贩卖;市场;卖
脱离	摆脱
拖延	推迟;挨;延期;耽误;服从
妥当	适宜;正经;妥善;恰当;相应;正当;合适;端正
妥善	妥当;适宜;正经;恰当;相应;正当;合适;端正
妥协	和解
唾弃	撇;鄙视
挖掘	掏;扒
娃娃	宝贝;婴儿
瓦解	倒闭;解体;崩溃;塌
外表	外界;外;面子
外行	业余
外界	外表
完备	完整;完毕;十足;完美;完成;美满;齐全
完毕	完整;终点;梢;完;完备;十足;端;结束;交代;完成;齐全
玩弄	表演;戏剧;耍;玩;敷衍;播放;从事
玩意儿	举动;演习;东西;骗;手法;圈套;玩具;窍门;事物;扮演
顽固	执着;固执;倔强
顽强	坚韧
挽回	储蓄;救;回收;保存;节省;存;挽救;节约;攒
挽救	储蓄;救;抢救;保存;节省;存;弥补;补救;挽回;节约;攒
万分	十分;贼;极其;要命;极;不堪;无比
往常	平常
微不足道	渺小
威风	威力;威望;风光;信誉;厉害;面子
威力	威风
威望	信誉;威风;面子
威信	权威
违背	违反;触犯;侵犯
维持	保养;保留;认定;保守;维护;遮挡;保持
维护	辩护;保养;保障;认定;辩解;保护;维持;守护;防守;保持;保卫;保管;捍卫
唯独	恰巧;公正;索性;空前绝后;正;刚才;正当;刚;别致
为期	持久;凭;截至
委托	信誉;赋予;信赖;信任
伪造	假
喂（叹词）	嘿
未免	不免;颇;挺;难免;过分
畏惧	害怕;恐惧;胆怯
温和	节制;缓和
文献	文件;文学
文雅	精密;精致;斯文
问世	展现;出;当选;来
窝	巢穴;所;位置;场所;屈服;折;搁;寄托;部位
乌黑	暗;黑
污蔑	糟蹋;诽谤
诬陷	陷害;框架
无比	十分;贼;极其;要命;极;不堪;万分
无非	光;只（副词）;唯一
无赖	流氓;歹徒
无辜	天真
无微不至	一丝不苟;细致;精心
舞蹈	跳舞
武器	武装
武装	胳膊;装备;臂;器材;武器;设备;配备
侮辱	糟蹋
务必	不得已;需要;确定;必须;确信
误差	故障;差距;区别;分歧;偏差;错误;差别
误解	误会
熄灭	去世;灭亡;淘汰;逝世;死
昔日	原来;以往;从前
媳妇	太太;老婆;姑娘;妻子
习俗	惯例
袭击	冲击;进攻;攻击;打击
喜悦	幸福;舒畅;快活;痛快;愉快;开心;欢乐;快乐;高兴;美满;乐趣
细致	无微不至;嫩;娇气;慎重;刻苦;精心;罚款;一丝不苟;仔细;精致;优美;周密;晴;注意
狭隘	严密
狭窄	窄
下属	附属
先进	进行
先前	以前;从前
鲜明	心灵;高明;清晰;明确;亮
掀起	抬;解除;高潮;举;高涨;开始
嫌	嫌疑;讨厌;恩怨;反感
嫌疑	嫌
闲话	牢骚;抱怨
贤惠	善良
衔接	共同;融化;组合
显著	优秀;高超;杰出;出色;突出;卓越
现场	场面;风光;情景;镜头
现状	时事
宪法	章程
陷害	框架;诬陷
陷阱	圈套
线索	踪迹
相等	平等;一样
相应	妥当;适宜;妥善;恰当;合适;同意;答应;对应
镶嵌	着手;衬托;成立;树立;设置;出发;设立;开辟
响应	回答;反应;答辩;答案;答复
巷	胡同
向导	带领;引导;导向
向来	一直;总是;一贯;一向;历来;从来
向往	渴望;盼望;展望;期待;巴不得
消除	解除;拆;消灭;淘汰;排除;除;排斥;清除
消耗	耗费;利用;用途;用;使用
消灭	杜绝;消除;淘汰;排除;除;排斥;清除
销毁	灭亡;毁灭;破坏
小心翼翼	慎重
效益	收获;利益;好处
潇洒	挥霍
携带	赞助;扛;戴;贯彻;实行;执行;支撑;搀;提;拥护;端;实施;支援;做主;开展;挎;支持;落实
协会	社会;党
协商	磋商;赞成;一致;咨询;请教;协议
协调	谈判;调节
协议	协商;条约;一致;赞成
协助	辅助;支援
屑	合算
泄露	走漏;漏;透露
泄气	忧郁;沮丧
新颖	小说
心得	经验;遭遇
心灵	鲜明;智能;机灵;气概;灵敏;灵魂;气魄;高明;亮;机智;心眼儿;志气;精神;心脏
心态	态度;心理;姿态
心疼	疼爱
心血	经费;开支
心眼儿	在乎;意图;心灵;在意;动机;内涵;意向;心脏
心甘情愿	痛快
辛勤	勤奋;刻苦;勤劳;用功
欣欣向荣	兴旺;繁荣;繁华
信赖	委托;依赖;信任;信誉;依托
信念	信仰
信仰	信念
信誉	名誉;威望;威风;委托;声誉;信任;荣誉;卓越;信赖;差别;面子
兴隆	兴旺;隆重;昌盛;繁荣
兴旺	兴隆;昌盛;隆重;欣欣向荣;繁荣
行政	管理
形态	形式;模型;表格;格局;格式;构成;款式;图案;组成;样式;形状
刑事	罪犯
性命	生命;生活;人生;日子
性能	表演;功能;演出;表现;职能
兴高采烈	兴致勃勃
兴致勃勃	兴高采烈
胸怀	爱惜;珍惜
胸膛	胸
凶恶	恐怖;激烈;剧烈;要命;厉害;猛烈
雄厚	富;丰富;充沛;丰满;油腻;充实;富裕;充足;丰盛
雄伟	庄重;风光;隆重;壮观;壮丽;光辉;宏伟;伟大;崇高
修复	修理;维修
修建	建设;搭;开辟
修养	培训;成就;训练
虚伪	假;人工;人为
需求	要求;索取
须知	启事;通知;布告;公告
许可	体谅;执照;允许
喧哗	哄
宣扬	颁布
悬挂	挂;搭;吊
旋律	节奏
旋转	转;绕;围绕
炫耀	展现;给予;表演;展示;表示;演出;出示
削	砍;切
学说	理论;主义;原理
熏陶	影响;感染;势力
循环	圈;盘旋;流通
寻觅	模样;神态;操劳;气色;照顾;样子;东张西望;看;瞧;寻找;关照;目光;当心
压迫	着重;压抑;忍耐
压抑	沉闷;压迫
压制	抹杀;憋;取缔
鸦雀无声	寂静;沉默
淹没	洪水
延期	推迟;挨;延伸;拖延;耽误;延长;铺;蔓延;服从;扩充
延伸	扩散;流传;延期;摊;延长;铺;蔓延;散布;扩充;传播
延续	持续;继续;最后
严峻	严重;大不了;正经;剧烈;严肃;沉重;郑重;严厉;不得了;冷酷
严厉	剧烈;严格;严密;严峻
严密	狭隘;严格;严厉
言论	舆论;演讲
岩石	摇
演变	开拓;发达;发挥;发育;进展;进化;开展;生长;发展;发扬
演习	举动;实践;操练;运动;玩意儿;练习;扮演
演绎	推论
掩盖	隐蔽;隐瞒;扣;覆盖;包庇;掩护;盖;被
掩护	屏幕;扣;覆盖;包庇;筛选;掩盖;盖;被
眼光	眼睛;视力;目光
眼色	眼神;眨
眼神	视力;眨;眼色
厌恶	恨;讨厌;嫉妒
样品	品尝;标本
遥远	偏僻
要点	挥;经纬
要命	凶恶;恐怖;十分;贼;杀;极其;极;不堪;恼火;无比;非常;不得了;万分
野心	抱负;志气
依旧	仍旧;尚且;还;迄今为止;一如既往;仍然;照样;依然;还是
依据	基础;按照;根据
依靠	依托;依赖;靠
依赖	依托;信赖;依靠;靠
依托	信赖;依靠;依赖;靠
一度	一旦;曾经
一贯	向来;一致;执着;固执;持久;一向
一向	向来;近来;最近;一直;总是;一贯;不断;历来;从来
遗产	遗留;遗传
遗传	传达;遗产;转告
遗留	残留;遗产
遗失	失去;丢;丧失;输;亏损;失踪;损失
疑惑	疑问;怀疑;顾虑
仪器	器官
仪式	典礼
以便	以致;以至;为了
以免	一旦;假设;免得
以往	原来;从前;昔日
以至	以致;上;以便;截至;下
以致	上;以至;以便;截至;下
亦	也;并且
翼	翅膀
一如既往	依旧;照样
一丝不苟	无微不至;细致;精心
异常	优异;反常
意料	预期;预料;期望;期待;指望
意识	觉悟;知觉
意图	心眼儿;动机;内涵;意向
意味着	残忍;卑鄙;吝啬;小气
意向	意图;心眼儿;动机;内涵
意志	决心;毅力;认定
毅力	意志
毅然	坚固
阴谋	策划;情节
隐蔽	掩盖;隐瞒
隐瞒	隐蔽;掩盖
隐约	含糊;模糊;晕;暧昧
引导	带领;领先;婴儿;进行;指挥;向导;主导;引起;举办;导向;行为;导致;率领
引用	表彰;推荐;指定
婴儿	带领;领先;引导;宝贝;娃娃;主导;引起;导致;率领
英明	辉煌;机灵;高明;灿烂;光辉;明智
英勇	豪迈;壮烈
迎面	直接
盈利	收获;收益;利润
应酬	娱乐
拥护	赞助;支撑;搀;支援;携带;做主;支持
拥有	不得不;有;不得已;只好;得（助动词）;具备
庸俗	荤;丑恶
勇于	魄力;敢;勇气
永恒	永远
涌现	春
踊跃	跳跃;蹦;飞跃
用户	客户;顾客
优先	原始;最初;第一;先
优异	优秀;高超;异常;出色;卓越
优越	上级;高明
忧郁	泄气;沉闷;沮丧
油腻	富;丰富;丰满;充实;雄厚;丰盛
油漆	涂抹
犹如	类似;相似;好像;仿佛
幼稚	老实;年轻;青;天真
诱惑	归纳;促使;吸引
愚蠢	傻;笨;笨拙
愚昧	傻;茫然
舆论	言论
愈	宁愿;回收
预料	期望;预期;意料;展望;期待;预报;指望
预期	期望;预料;意料;期待;指望
预先	事先
欲望	胃口;愿望
冤枉	非;错
原理	理论;学说;原则
原始	原先;最初;优先;第一;原来;先;当初
原先	原始;原来;当初
缘故	道理;理由;使;原因;情理;造成;事业;引起;理智;导致;致使
园林	公园
约束	局限;束;克制;极限;节制;限制;遏制;拘束;牵制;制约;憋;界限;捆绑;束缚;制止
熨	光滑;平坦;顺利
蕴藏	盛;容纳;包含;遏制
运算	手术;操作
运行	举动;执行;搬;挪;跟踪;移动;加工;绕;迁徙;跑步;追
孕育	培育;繁殖;教养;品种
砸	输;殴打;粉碎;扣;失败;撞;打击
咋	什么;啥;如何;怎么;为什么;何必
灾难	灾害
栽培	生育;养成;长（动词）;成长;种植;生长;发展
在意	在乎;心眼儿
再接再厉	持续;坚持
攒	储蓄;救;保存;节省;存;挽救;挽回;收藏;节约;积累
赞助	支撑;搀;拥护;支援;携带;做主;辅助;支持
暂且	姑且;暂时
糟蹋	诽谤;摧残;污蔑;耗费;弊端;侮辱;毁灭;败坏;浪费;虐待
遭受	受罪;搀;熬;受到
遭遇	碰;经验;心得;见面;会晤;接触;遇到;符合;迎接
造型	模样;体裁;模式;款式;风格;样式
责怪	责备
贼	弊病;十分;极其;要命;极;不堪;无比;万分
增添	增加;补充;统计;搭;提高
扎	束;束缚;刺;系
扎实	霸道;坚实;重;切实;坚定;实用;结实;强烈;固体;立体;牢固;坚固;健全;坚决;浓;坚强;踏实;果断;硬;坚硬;落实
眨	眼神;眼色
诈骗	坑
摘要	抽象;总结;提炼
瞻仰	崇敬;钦佩;折;佩服
斩钉截铁	明明
展示	展现;暴露;给予;表演;显示;展览;陈列;表示;演出;施展;出示;炫耀;流露
展望	期望;预料;勘探;盼望;期待;巴不得;向往
展现	出;给予;表演;展示;表示;演出;出示;炫耀;问世;呈现;当选;来
战斗	打架;斗争;战役;搏斗;事故;争取;掐;争夺
战术	策略
战役	战斗;斗争
占据	算数;抱;占;把;举行;容纳;占领;憋;举办;盛;扶
占领	算数;抱;占;把;举行;容纳;憋;举办;占据;盛;扶
章程	规矩;宪法;规定;规章;规则
障碍	屏障;故障;干扰
帐篷	别墅
招收	租赁;雇佣;录取;招聘
朝气蓬勃	充沛;神气
照样	依旧;照常;一如既往
照耀	光芒
遮挡	保守;维持;保持
折	数额;磨合;数量;断绝;中断;爆发;粉碎;分裂;破;断;佩服;窝;瞻仰;拐弯;转;屈服;钦佩;违反;岔
折磨	迫害
真理	道理;实话
真挚	恳切;诚恳;诚挚
珍贵	宝贵
珍稀	难得
斟酌	权衡;着想;成心;考虑
阵地	姿势;立场;前面;位置;方位;位;阵;职务;部位;职位
镇定	冷却;平静;凉快;安宁;镇静;冷酷
镇静	冷却;平静;凉快;安宁;镇定;冷酷
振奋	鼓舞;激发;启发
振兴	复活;复兴
震撼	冲击;摇;振动;晃;不像话;震惊;颠簸;颤抖
震惊	冲击;震撼
争端	纠纷;冲突;是非;摩擦;争议;打官司
争夺	打架;斗争;战斗;搏斗;争取;掐
争议	纠纷;是非;争端;打官司
征服	攻克;制服;挫折
征收	收藏
挣扎	斗争;拼搏;搏斗;奋斗;挣
整顿	整齐;整理;收拾;综合;巩固
正当	妥善;明智;公道;端正;公正;正经;公平;及时;廉洁;妥当;索性;正;老实;刚;唯独;坦白;诚实;恰巧;刚才;理智;合理
正规	端;端正;正经
正经	严重;妥当;大不了;妥善;严肃;正当;沉重;郑重;端正;正规;不得了;严峻;体面
正气	正义
正义	公道;正气;司法
正宗	地道
政策	方针;策略
政权	统治
证实	确认
证书	认可
郑重	严重;大不了;正经;严肃;沉重;不得了;严峻
之际	当
枝	岔;支
支撑	赞助;支柱;搀;拥护;支援;携带;做主;支持
支出	耗费;工资;付款;花（动词）;度过;开支;缴纳;待遇
支配	治理;操纵;克制;控制;节制;配备;管辖;牵制;拨;监督
支援	赞助;支撑;搀;后背;拥护;协助;携带;做主;背;支持
支柱	支撑;志气
知觉	觉悟;意识
值班	上班
职能	角色;功能;性能
职位	姿势;立场;位置;方位;办公室;位;职务;阵地;部位;公告;岗位
职务	姿势;立场;位置;方位;位;阵地;部位;公告;岗位;职位
执行	追;扛;戴;贯彻;实行;履行;运行;跟踪;提;端;实施;携带;开展;挎;跑步;落实
执着	附件;倔强;固执;附属;一贯;持久;顽固
指标	规范;准则;规格;目录;目标
指定	赋予;特定;引用
指甲	甲
指令	指示;指挥;吩咐;顺序;命令;次序;条理;率领
指示	指令;表示;吩咐;提示;指;表明;示意
指望	期望;预料;预期;意料;期待
指责	谴责;批判;攻击
治理	操纵;官方;克制;控制;节制;主导;统治;管辖;支配;牵制;政府;监督
制裁	处置;惩罚;处分
制服	将军;征服;遏制;清理;刹车;支票;制止;报到;挫折;对照
制约	状态;节制;状况;拘束;牵制;约束;束缚;地步;条件
制止	局限;终止;牵制;停;报到;将军;阻拦;清理;刹车;闭塞;支票;挫折;拦;限制;堵塞;遏制;制服;截止;极限;约束;界限;对照
致辞	摩擦;地址;称呼
致力	干;打工;作品;劳动;操作;工作;事务
致使	使;原因;结晶;成果;造成;事业;引起;缘故;导致;成效
智力	情报;理智;智慧;智能
智能	得力;心灵;伶俐;灵敏;智慧;情报;智力
滞留	拘留
志气	心灵;干劲;支柱;气概;抱负;精神;灵魂;气魄;分辨;驾驶;魄力;野心;驱逐;分解
终点	端;结束;完毕;梢
终究	结果
终身	婚姻
终止	拦;截止;阻拦;堵塞;刹车;闭塞;停;制止
中断	爆发;违反;粉碎;分裂;磨合;岔;破;折;断;断绝
中央	中心;中间;中旬
衷心	诚挚
种子	冰雹
种族	竞赛
种植	生育;植物;栽培;长（动词）;成长;株;生长;发展
重心	焦点;集中
州	境界;状态;局势;状况;陈述;省;地步
周边	边缘
周密	周到;慎重;彻底;仔细;细致;注意
周折	疙瘩;课题;转折;打击;挫折
昼夜	络绎不绝
株	种植;植物
诸位	大家;大伙儿
主办	整理;做主;主人;主持
主导	治理;带领;领先;引导;婴儿;引起;导致;率领
主管	负责
主义	学说
嘱咐	关照;吩咐;转告;告诉
注视	凝视;盯;目光
注重	讲究;着重;强调;理睬
助理	助手;副
助手	助理;副
著作	书;文章;预订;创作;书籍;抹杀;写
驻扎	站
铸造	撇;丢
拽	撤退
专长	特长
转达	传达;沟通;交流;传授
转让	转移;装卸;调动
转移	改变;换;调动;挪;零钱;变化;转让;装卸;转变
转折	周折;过渡
装备	器材;武装;配备;设备
装卸	转移;转让;调动
庄严	隆重;庄重
庄重	高超;坟墓;风光;隆重;壮观;雄伟;宏伟;庄严;伟大
幢	栋;建筑
壮观	庄重;风光;隆重;雄伟;宏伟;精彩;伟大;崇高
壮丽	辉煌;光辉;雄伟;崇高;宏伟
壮烈	豪迈;英勇;勇敢
追究	探讨;辩证;审查;考察
坠	衰退;滴;掉;跌
准则	标准;指标;规范;规格
琢磨	沉思;思索;思考
着手	衬托;镶嵌;成立;树立;设置;出发;设立;开辟
着想	权衡;斟酌;考虑
着重	强调;注重;压迫
卓越	优秀;辉煌;高超;优异;显著;杰出;出色;信誉;灿烂;突出;差别;美妙
资本	资产;首都;本钱;资金
资产	首都;资本;资金;产业;财产;本钱
资深	高级
资助	补贴
姿态	态度;心态;姿势
滋味	口味;趣味;味道;感慨;感觉;审美;尝;感受;感情
滋润	潮湿
自满	得意
踪迹	线索;跟踪;尾巴;痕迹
宗旨	瞄准;客观;用途;目的;针对
总而言之	简要;总之
总和	归纳;共计
走漏	泄露;漏;透露
揍	节奏;拍;殴打
租赁	雇佣;招收;租
阻碍	拦;阻拦;阻挠;妨碍;堵塞;挡;阻止
阻拦	拦;截止;妨碍;阻挠;堵塞;终止;挡;阻碍;刹车;闭塞;阻止;停;制止
阻挠	阻拦;挡;阻碍;妨碍
祖国	故乡
罪犯	刑事
尊严	表彰;名誉;体面;面子;人格
遵循	伴随;跟随;服从;盯;遵守
做主	赞助;支撑;搀;后背;拥护;支援;携带;主持;主办;主人;背;支持;落实
作弊	欺骗;骗
作废	取消;茫然;删除
作风	方式;途径;办法
