"保持⠀";"bǎochí";"/to keep/to maintain/to hold/to preserve//to keep/to maintain/to hold/to preserve";"保 (to protect)";"Other words using this character: 保护 (protect); 保证 (guarantee); 保存 (to conserve); 保留 (retain); 保险 (insurance)";"持 (to hold)";"Other words using this character: 坚持 (persist); 支持 (support); 持续 (continue); 主持 (host)";"❈ 保持冷静。";"<i>bǎochí lěngjìng.</i><br></br>Maintain composure.";"❈ 保持健康的生活方式。";"<i>bǎochí jiànkāng de shēnghuó fāngshì.</i><br></br>Maintain a healthy lifestyle.";"❈ 保持微笑。";"<i>bǎochí wēixiào.</i><br></br>Keep smiling.";"🐇 魏无羡努力保持自己的微笑，不让别人看出内心的痛苦。";"<i>wèiwúxiàn nǔlì bǎochí zìjǐ de wēixiào, bùràng biéren kànchū nèixīn de tòngkǔ.</i><br></br>Wei Wuxian tries to maintain his smile and not let others see his inner pain.";"♻❈ 危险来临时，我们要保持冷静。";"<i>wēixiǎn lái línshí, wǒmen yào bǎochí lěngjìng.</i><br></br>When danger comes, we need to stay calm."
"捐⠀";"juān";"/to relinquish; to abandon/to contribute; to donate/(bound form) tax; levy//to relinquish; to abandon/to contribute; to donate/(bound form) tax; levy";"捐 (donate)";"There are no other HSK words in this level (or before) using this character.";"❈ 他捐了一些旧衣服给慈善机构。";"<i>tā juān le yīxiē jiùyīfú gěi císhànjīgòu.</i><br></br>He donated some old clothes to a charitable organization.";"❈ 他决定捐出一部分收入。";"<i>tā juédìng juānchū yībùfen shōurù.</i><br></br>He decided to contribute a portion of his income.";"❈ 他经常捐钱给慈善机构。";"<i>tā jīngcháng juānqián gěi císhànjīgòu.</i><br></br>He often donates money to charitable organizations.";"🐇 魏无羡决定捐出一部分财产来帮助穷人。";"<i>wèiwúxiàn juédìng juānchū yībùfen cáichǎn lái bāngzhù qióngrén.</i><br></br>Wei Wuxian decided to donate a portion of his wealth to help the poor.";"♻❈ 这个组织号召人们捐款。";"<i>zhège zǔzhī hàozhào rénmen juānkuǎn.</i><br></br>This organization appeals for donations."
"决心⠀";"juéxīn";"/determination/resolution/determined/firm and resolute/to make up one's mind/CL:個|个[ge4]//determination/resolution/determined/firm and resolute/to make up one's mind/CL:个[gè]";"决 (decide)";"Other words using this character: 解决 (solve); 决定 (decide); 决赛 (finals); 坚决 (resolute)";"心 (heart)";"Other words using this character: 担心 (worried); 放心 (reassured); 关心 (concerned); 小心 (careful); 粗心 (careless); 开心 (happy); 耐心 (patience); 伤心 (grieve); 心情 (mood); 信心 (confidence)";"❈ 他下定决心要学好中文。";"<i>tā xiàdìngjuéxīn yào xuéhǎo zhōngwén.</i><br></br>He is determined to learn Chinese well.";"❈ 我已经下定决心了，不会改变主意。";"<i>wǒ yǐjīng xiàdìngjuéxīn le, bùhuì gǎibiàn zhǔyi.</i><br></br>I have made up my mind and won't change it.";"❈ 她决心要改变自己的生活。";"<i>tā juéxīn yào gǎibiàn zìjǐ de shēnghuó.</i><br></br>She is determined to change her life.";"♻🐇 金凌在路透社的报道中发现了一些问题，决心揭露真相。";"<i>jīnlíng zài lùtòushè de bàodào zhōng fāxiàn le yīxiē wèntí, juéxīn jiēlù zhēnxiàng.</i><br></br>Jin Ling found some issues in the reports from Reuters and was determined to expose the truth.";"♻❈ 他们决心保卫自己的权利。";"<i>tāmen juéxīn bǎowèi zìjǐ de quánlì.</i><br></br>They are determined to safeguard their rights."
"角色⠀";"juésè";"/role; part (in a play or movie etc)//role; part (in a play or movie etc)";"角 (angle)";"Other words using this character: 角 (angle); 角度 (angle)";"色 (color)";"Other words using this character: 颜色 (color); 景色 (scenery); 特色 (characteristic); 出色 (remarkable); 色彩 (coloring)";"❈ 他在这部电影中扮演了一个重要的角色。";"<i>tā zài zhèbù diànyǐng zhōng bànyǎn le yīgè zhòngyào de juésè.</i><br></br>He played an important role in this movie.";"❈ 她在这个话剧中扮演了女主角的角色。";"<i>tā zài zhège huàjù zhōng bànyǎn le n3zhǔjué de juésè.</i><br></br>She played the role of the leading lady in this play.";"❈ 在公司中，每个人都扮演着不同的角色。";"<i>zài gōngsī zhōng, měige rén dōu bànyǎnzhe bùtóng de juésè.</i><br></br>In the company, everyone plays different roles.";"❈ 她在电影中扮演了一个重要角色。";"<i>tā zài diànyǐng zhōng bànyǎn le yīgè zhòngyào juésè.</i><br></br>She played an important role in the movie.";"❈ 每个人都扮演着不同的角色。";"<i>měige rén dōu bànyǎnzhe bùtóng de juésè.</i><br></br>Everyone plays different roles."
"均匀⠀";"jūnyún";"/even/well-distributed/homogeneous/well-proportioned (figure, body etc)//even/well-distributed/homogeneous/well-proportioned (figure, body etc)";"均 (equal)";"Other words using this character: 平均 (average)";"匀 (even)";"There are no other HSK words in this level (or before) using this character.";"❈ 这块布的颜色均匀地分布在整块布料上。";"<i>zhèkuài bù de yánsè jūnyún dì fēnbù zài zhěngkuài bùliào shàng.</i><br></br>The color of this fabric is evenly distributed throughout.";"❈ 她的声音均匀而柔和。";"<i>tā de shēngyīn jūnyún ér róuhé.</i><br></br>Her voice is even and gentle.";"❈ 把面团搅拌均匀。";"<i>bǎ miàntuán jiǎobàn jūnyún.</i><br></br>Mix the dough evenly.";"🐇 蓝曦臣的性格均匀温和，深受众人喜爱。";"<i>lánxīchén de xìnggé jūnyún wēnhé, shēnshòu zhòngrén xǐài.</i><br></br>Lan Xichen's character is even-tempered and gentle, deeply loved by everyone.";"♻❈ 把材料放在盆里搅拌均匀。";"<i>bǎ cáiliào fàngzài pénlǐ jiǎobàn jūnyún.</i><br></br>Put the ingredients in the basin and stir them evenly."
"卡车⠀";"kǎchē";"/truck/CL:輛|辆[liang4]//truck/CL:辆[liàng]";"卡 (block)";"Other words using this character: 信用卡 (credit card)";"车 (car)";"Other words using this character: 出租车 (taxi); 公共汽车 (bus); 火车站 (train station); 自行车 (bicycle); 堵车 (traffic jam); 车库 (garage); 列车 (train); 摩托车 (motorcycle); 车厢 (carriage); 救护车 (ambulance)";"❈ 这辆卡车装满了货物。";"<i>zhèliàng kǎchē zhuāngmǎn le huòwù.</i><br></br>This truck is loaded with goods.";"❈ 他开着卡车穿过了整个国家。";"<i>tākāi zhe kǎchē chuānguò le zhěnggè guójiā.</i><br></br>He drove a truck across the entire country.";"❈ 这家公司生产卡车和客车。";"<i>zhèjiā gōngsī shēngchǎn kǎchē hé kèchē.</i><br></br>This company manufactures trucks and buses.";"❈ 卡车司机需要特别注意安全。";"<i>kǎchēsījī xūyào tèbié zhùyìānquán.</i><br></br>Truck drivers need to pay special attention to safety."
"开发⠀";"kāifā";"/to exploit (a resource); to open up (for development); to develop//to exploit (a resource); to open up (for development); to develop";"开 (to open)";"Other words using this character: 开 (to open); 开始 (begin); 离开 (depart); 开玩笑 (joke); 开心 (happy); 公开 (open); 开放 (open-minded); 开水 (boiled water); 展开 (unfold); 开幕式 (opening ceremony)";"发 (send)";"Other words using this character: 发 (send); 发烧 (have a fever); 发现 (discover); 头发 (hair); 出发 (set off); 发生 (occur); 发展 (development); 理发 (haircut); 沙发 (sofa); 发表 (publish)";"❈ 这片土地将会被开发成一个度假胜地。";"<i>zhèpiàn tǔdì jiānghuì bèi kāifā chéng yīgè dùjiǎshèngdì.</i><br></br>This piece of land will be developed into a resort.";"❈ 这个公司正在开发新的产品。";"<i>zhège gōngsī zhèngzài kāifāxīn de chǎnpǐn.</i><br></br>This company is developing a new product.";"❈ 我们需要开发更多的可再生能源。";"<i>wǒmen xūyào kāifā gēng duō de kě zàishēngnéngyuán.</i><br></br>We need to exploit more renewable energy.";"🐇 蓝曦臣致力于开发新的修真技术，造福人间。";"<i>lánxīchén zhìlìyú kāifāxīn de xiūzhēn jìshù, zàofú rénjiān.</i><br></br>Lan Xichen is dedicated to developing new cultivation techniques for the benefit of the mortal world.";"♻❈ 他开发了一个新的手机应用。";"<i>tā kāifā le yīgè xīn de shǒujī yìngyòng.</i><br></br>He developed a new mobile application."
"开幕式⠀";"kāimùshì";"/opening ceremony//opening ceremony";"开 (to open)";"Other words using this character: 开 (to open); 开始 (begin); 离开 (depart); 开玩笑 (joke); 开心 (happy); 公开 (open); 开放 (open-minded); 开水 (boiled water); 展开 (unfold); 开发 (develop)";"幕 (curtain)";"Other words using this character: 字幕 (subtitle)";"式 (type)";"Other words using this character: 正式 (formal); 方式 (way); 样式 (style); 形式 (outer appearance)";"❈ 开幕式上有很多重要的嘉宾。";"<i>kāimùshì shàng yǒu hěnduō zhòngyào de jiābīn.</i><br></br>There are many important guests at the opening ceremony.";"❈ 开幕式将在下个月举行。";"<i>kāimùshì jiàng zài xiàgèyuè jǔxíng.</i><br></br>The opening ceremony will be held next month.";"❈ 开幕式上有很多表演。";"<i>kāimùshì shàng yǒu hěnduō biǎoyǎn.</i><br></br>There are many performances at the opening ceremony.";"🐇 金凌在开幕式上表现出色，为家族争得了荣誉。";"<i>jīnlíng zài kāimùshì shàng biǎoxiànchūsè, wéi jiāzú zhēngdé le róngyù.</i><br></br>Jin Ling performed exceptionally well at the opening ceremony, bringing honor to the family.";"♻❈ 明天将举行音乐会的开幕式。";"<i>míngtiān jiàng jǔxíng yīnyuèhuì de kāimùshì.</i><br></br>The opening ceremony of the concert will be held tomorrow."
"看望⠀";"kànwàng";"/to pay a visit to; to see (sb)//to pay a visit to; to see (sb)";"看 (look)";"Other words using this character: 看 (look); 看见 (see); 看法 (opinion); 看不起 (look down upon)";"望 (hope)";"Other words using this character: 希望 (hope); 失望 (disappointed); 愿望 (desire); 盼望 (hope for)";"🐇 蓝湛去看望魏无羡，递给他一枚忘忧果。";"<i>lánzhànqù kànwàng wèiwúxiàn, dìgěi tā yīméi wàngyōu guǒ.</i><br></br>Lan Zhan went to see Wei Wuxian, handing him a Forget-Me-Not fruit.";"♻❈ 我上午要去医院看望奶奶。";"<i>wǒ shàngwǔ yào qù yīyuàn kànwàng nǎinai.</i><br></br>I will go to the hospital to visit my grandmother in the morning.";"♻🐇 江澄打算坐出租车去医院看望伤员。";"<i>jiāngchéng dǎsuàn zuò chūzūchē qù yīyuàn kànwàng shāngyuán.</i><br></br>Jiang Cheng planned to take a taxi to the hospital to visit the wounded.";"♻🐇 蓝忘机每年都会去看望墓碑前的亲人。";"<i>lánwàngjī měinián dōu huì qù kànwàng mùbēi qián de qīnrén.</i><br></br>Lan Wangji visits the relatives in front of the tombstone every year.";"♻❈ 我去医院看望奶奶。";"<i>wǒ qù yīyuàn kànwàng nǎinai.</i><br></br>I went to the hospital to visit my grandma."
"靠⠀";"kào";"/to lean against or on/to stand by the side of/to come near to/to depend on/to trust/to fuck (vulgar)/traditional military costume drama where the performers wear armor (old)//to lean against or on/to stand by the side of/to come near to/to depend on/to trust/to fuck (vulgar)/traditional military costume drama where the performers wear armor (old)";"靠 (depend on)";"Other words using this character: 可靠 (reliable)";"❈ 他靠在墙上休息。";"<i>tā kào zài qiángshàng xiūxi.</i><br></br>He leans against the wall to rest.";"❈ 我靠着你，你可以相信我。";"<i>wǒ kàozhe nǐ, nǐ kěyǐ xiāngxìn wǒ.</i><br></br>You can trust me, I'm by your side.";"❈ 我靠近窗户看外面的风景。";"<i>wǒ kàojìn chuānghù kàn wàimiàn de fēngjǐng.</i><br></br>I come near the window to look at the view outside.";"🐇 江澄靠着蓝曦臣，一起面对敌人。";"<i>jiāngchéng kàozhe lánxīchén, yīqǐ miànduì dírén.</i><br></br>Jiang Cheng stands by Lan Xichen, facing the enemy together.";"♻❈ 这是一个危险的地方，我们不要靠近。";"<i>zhèshì yīgè wēixiǎn de dìfāng, wǒmen bùyào kàojìn.</i><br></br>This is a dangerous place, let's not get close."
"颗⠀";"kē";"/classifier for small spheres, pearls, corn grains, teeth, hearts, satellites etc//classifier for small spheres, pearls, corn grains, teeth, hearts, satellites etc";"颗 (small)";"There are no other HSK words in this level (or before) using this character.";"❈ 这颗星球被称为地球。";"<i>zhèkē xīngqiú bèi chēngwéi dìqiú.</i><br></br>This celestial body is called Earth.";"❈ 她戴着一颗漂亮的项链。";"<i>tā dài zhe yīkē piàoliang de xiàngliàn.</i><br></br>She is wearing a beautiful necklace.";"❈ 他拥有一颗善良的心。";"<i>tā yōngyǒu yīkē shànliáng de xīn.</i><br></br>He has a kind heart.";"🐇 温情的医术，是江湖人心中的一颗希望之星。";"<i>wēnqíng de yīshù, shì jiānghú rén xīnzhōng de yīkē xīwàng zhīxīng.</i><br></br>Wen Qing's medical skills are a beacon of hope in the hearts of the jianghu people.";"♻❈ 他磕了一颗瓜子。";"<i>tā kē le yīkē guāzǐ.</i><br></br>He cracked a sunflower seed."
"可靠⠀";"kěkào";"/reliable//reliable";"可 (can)";"Other words using this character: 可以 (can); 可能 (possible); 可爱 (adorable); 可怜 (pitiful); 可是 (but); 可惜 (unfortunately); 可见 (it is clear); 可怕 (frightful); 宁可 (preferably)";"靠 (depend on)";"Other words using this character: 靠 (depend on)";"❈ 这个产品很可靠，质量有保障。";"<i>zhège chǎnpǐn hěn kěkào, zhìliàng yǒu bǎozhàng.</i><br></br>This product is very reliable, with guaranteed quality.";"❈ 这个消息来源不够可靠。";"<i>zhège xiāoxiláiyuán bùgòu kěkào.</i><br></br>This source of information is not reliable enough.";"❈ 他是一个很可靠的朋友。";"<i>tā shì yīgè hěn kěkào de péngyou.</i><br></br>He is a very reliable friend.";"🐇 魏无羡是个可靠的朋友，无论何时都会支持蓝忘机。";"<i>wèiwúxiàn shì gè kěkào de péngyou, wúlùn héshí dōu huì zhīchí lánwàngjī.</i><br></br>Wei Wuxian is a reliable friend who always supports Lan Wangji.";"♻🐇 蓝曦臣发誓不欺骗他人，他的话语总是真诚可靠。";"<i>lánxīchén fāshì bù qīpiàn tārén, tā de huàyǔ zǒngshì zhēnchéng kěkào.</i><br></br>Lan Xichen swears not to deceive others; his words are always sincere and reliable."
"课程⠀";"kèchéng";"/course/academic program/CL:堂[tang2],節|节[jie2],門|门[men2]//course/academic program/CL:堂[táng],节[jié],门[mén]";"课 (subject)";"Other words using this character: 课 (subject)";"程 (rule)";"Other words using this character: 过程 (process); 程序 (procedures); 日程 (schedule); 程度 (degree); 工程师 (engineer)";"❈ 这个学校的课程很有趣。";"<i>zhège xuéxiào de kèchéng hěn yǒuqù.</i><br></br>The academic programs in this school are very interesting.";"❈ 我正在考虑报名这个课程。";"<i>wǒ zhèngzài kǎolǜ bàomíng zhège kèchéng.</i><br></br>I am considering enrolling in this course.";"❈ 我今天有三节课程。";"<i>wǒ jīntiān yǒu sānjié kèchéng.</i><br></br>I have three courses today.";"🐇 温情的医学课程吸引了许多学生的关注。";"<i>wēnqíng de yīxué kèchéng xīyǐn le xǔduō xuésheng de guānzhù.</i><br></br>Wen Qing's medical course has attracted the attention of many students.";"♻❈ 我每天晚上都会预习明天的课程。";"<i>wǒ měitiānwǎnshàng dōu huì yùxí míngtiān de kèchéng.</i><br></br>I preview the lessons for tomorrow every night."
"克服⠀";"kèfú";"/(try to) overcome (hardships etc)/to conquer/to put up with/to endure//(try to) overcome (hardships etc)/to conquer/to put up with/to endure";"克 (overcome)";"Other words using this character: 巧克力 (chocolate); 克 (overcome); 麦克风 (microphone)";"服 (clothes)";"Other words using this character: 衣服 (clothes); 服务员 (waiter); 舒服 (comfortable); 说服 (persuade); 服装 (clothing); 佩服 (admire)";"❈ 他克服了很多困难，终于成功了。";"<i>tā kèfú le hěnduō kùnnán, zhōngyú chénggōng le.</i><br></br>He overcame many difficulties and finally succeeded.";"❈ 她克服了自己的恐惧，勇敢地面对了一切。";"<i>tā kèfú le zìjǐ de kǒngjù, yǒnggǎn dìmiàn duì le yīqiè.</i><br></br>She overcame her fears and bravely faced everything.";"❈ 我们必须克服这个问题，不能被它打败。";"<i>wǒmen bìxū kèfú zhège wèntí, bùnéng bèi tā dǎbài.</i><br></br>We must overcome this problem and not be defeated by it.";"🐇 魏无羡努力克服着过去的阴影。";"<i>wèiwúxiàn nǔlì kèfú zhe guòqu de yīnyǐng.</i><br></br>Wei Wuxian is trying to overcome his past shadows.";"♻❈ 他每天都会克服困难。";"<i>tā měitiān dōu huì kèfúkùnnán.</i><br></br>He overcomes difficulties every day."
"刻苦⠀";"kèkǔ";"/hardworking/assiduous//hardworking/assiduous";"刻 (carve)";"Other words using this character: 刻 (carve); 立刻 (immediate); 深刻 (profound); 时刻 (moment)";"苦 (bitter)";"Other words using this character: 苦 (bitter); 辛苦 (hard); 艰苦 (difficult); 痛苦 (suffering)";"❈ 他是一个刻苦的学生。";"<i>tā shì yīgè kèkǔ de xuésheng.</i><br></br>He is a hardworking student.";"❈ 她的成功离不开她的刻苦努力。";"<i>tā de chénggōng líbukāi tā de kèkǔ nǔlì.</i><br></br>Her success is inseparable from her hard work.";"❈ 刻苦耐劳是我们民族的传统美德。";"<i>kèkǔnàiláo shì wǒmen mínzú de chuántǒngměidé.</i><br></br>Hard work is a traditional virtue of our nation.";"❈ 她的刻苦努力得到了回报。";"<i>tā de kèkǔ nǔlì dédào le huíbào.</i><br></br>Her assiduous efforts have paid off.";"❈ 刻苦是成功的关键。";"<i>kèkǔ shì chénggōng de guānjiàn.</i><br></br>Hard work is the key to success."
"空间⠀";"kōngjiān";"/space; room/(fig.) scope; leeway/(astronomy) outer space/(physics, math.) space//space; room/(fig.) scope; leeway/(astronomy) outer space/(physics, math.) space";"空 (empty)";"Other words using this character: 空调 (air conditioning); 空 (empty); 空气 (air); 填空 (fill in); 天空 (sky); 空闲 (leisure)";"间 (between)";"Other words using this character: 房间 (room); 时间 (time); 洗手间 (toilet); 中间 (the middle); 卫生间 (bathroom); 期间 (period)";"❈ 在城市中找到私人空间很难。";"<i>zài chéngshì zhōng zhǎodào sīrén kōngjiān hěnnán.</i><br></br>It's hard to find personal space in the city.";"❈ 这个房间的空间很大。";"<i>zhège fángjiān de kōngjiān hěndà.</i><br></br>The space in this room is very large.";"❈ 这个项目有很大的发展空间。";"<i>zhège xiàngmù yǒu hěndà de fāzhǎn kōngjiān.</i><br></br>This project has a lot of room for development.";"🐇 蓝曦臣的气场占据了整个空间，让人无法忽视。";"<i>lánxīchén de qìcháng zhànjù le zhěnggè kōngjiān, ràng rén wúfǎ hūshì.</i><br></br>Lan Xichen's aura occupied the entire space, making it impossible to ignore.";"♻❈ 压缩文件可以节省存储空间。";"<i>yāsuōwénjiàn kěyǐ jiéshěng cúnchǔkōngjiān.</i><br></br>Compressed files can save storage space."
"空闲⠀";"kòngxián";"/leisure; spare time/(of a person) free; unoccupied/(of equipment, rooms etc) unoccupied; unused; idle; vacant; spare//leisure; spare time/(of a person) free; unoccupied/(of equipment, rooms etc) unoccupied; unused; idle; vacant; spare";"空 (empty)";"Other words using this character: 空调 (air conditioning); 空 (empty); 空气 (air); 填空 (fill in); 天空 (sky); 空间 (space)";"闲 (leisure)";"Other words using this character: 休闲 (leisure)";"❈ 她喜欢利用空闲时间读书。";"<i>tā xǐhuan lìyòng kòngxián shíjiān dúshū.</i><br></br>She likes to read books in her spare time.";"❈ 这个房间一直处于空闲状态。";"<i>zhège fángjiān yīzhí chǔyú kòngxián zhuàngtài.</i><br></br>This room has been unoccupied all the time.";"❈ 他在空闲时喜欢做一些手工。";"<i>tā zài kòngxián shí xǐhuan zuò yīxiē shǒugōng.</i><br></br>He likes to do some handicrafts in his free time.";"🐇 蓝湛在空闲时间喜欢弹琴，陶冶情操。";"<i>lánzhàn zài kòngxián shíjiān xǐhuan tánqín, táoyěqíngcāo.</i><br></br>Lan Zhan likes to play the qin in his spare time to cultivate his mind.";"♻❈ 她有一些空闲时间。";"<i>tā yǒu yīxiē kòngxián shíjiān.</i><br></br>She has some free time."
"夸张⠀";"kuāzhāng";"/to exaggerate/overstated; exaggerated/hyperbole/(coll.) excessive; ridiculous; outrageous//to exaggerate/overstated; exaggerated/hyperbole/(coll.) excessive; ridiculous; outrageous";"夸 (boast)";"Other words using this character: 夸 (boast)";"张 (spread)";"Other words using this character: 张 (spread); 紧张 (tense); 慌张 (flustered); 主张 (advocate)";"❈ 这个故事夸张得让人难以置信。";"<i>zhège gùshi kuāzhāng dé ràng rén nányǐzhìxìn.</i><br></br>The story is so exaggerated that it's hard to believe.";"❈ 他总是夸张地描述事情。";"<i>tā zǒngshì kuāzhāng dì miáoshù shìqing.</i><br></br>He always exaggerates when describing things.";"❈ 她的反应有点夸张。";"<i>tā de fǎnyìng yǒudiǎn kuāzhāng.</i><br></br>Her reaction is a bit excessive.";"🐇 金光瑶的谎言夸张地夺走了许多人的生命。";"<i>jīnguāng yáo de huǎngyán kuāzhāng dì duózǒu le xǔduō rén de shēngmìng.</i><br></br>Jin Guangyao's lies exaggeratedly took away many lives.";"♻❈ 她的手势很夸张。";"<i>tā de shǒushì hěn kuāzhāng.</i><br></br>Her gestures are very exaggerated."
"会计⠀";"kuàijì";"/accountant/accountancy/accounting//accountant/accountancy/accounting";"会 (can)";"Other words using this character: 会 (can); 会议 (meeting); 机会 (opportunity); 一会儿 (moment); 聚会 (gathering); 社会 (society); 误会 (misunderstand); 约会 (appointment); 宴会 (banquet); 体会 (realize)";"计 (calculate)";"Other words using this character: 估计 (estimate); 计划 (plan); 设计 (design); 计算 (calculate)";"❈ 这家公司需要一名有经验的会计来管理账目。";"<i>zhèjiā gōngsī xūyào yīmíng yǒu jīngyàn de kuàijì lái guǎnlǐ zhàngmù.</i><br></br>This company needs an experienced accountant to manage the accounts.";"❈ 我对会计工作很感兴趣，想学习更多相关知识。";"<i>wǒ duì huìjìgōngzuò hěngǎnxīngqù, xiǎng xuéxí gēng duō xiāngguān zhīshi.</i><br></br>I am very interested in accounting work and want to learn more related knowledge.";"❈ 他是一名专业的会计，负责公司的财务工作。";"<i>tā shì yīmíng zhuānyè de kuàijì, fùzé gōngsī de cáiwù gōngzuò.</i><br></br>He is a professional accountant responsible for the company's financial work.";"❈ 他们需要一名会计来管理财务。";"<i>tāmen xūyào yīmíng kuàijì lái guǎnlǐ cáiwù.</i><br></br>They need an accountant to manage the finances.";"❈ 会计需要精确和耐心。";"<i>kuàijì xūyào jīngquè hé nàixīn.</i><br></br>Accounting requires precision and patience."
"宽⠀";"kuān";"/wide/broad/loose/relaxed/lenient//wide; broad; loose; relaxed; lenient; surname Kuan";"宽 (wide)";"There are no other HSK words in this level (or before) using this character.";"❈ 这条裙子很宽。";"<i>zhè tiáo qúnzi hěn kuān.</i><br></br>This skirt is very wide.";"❈ 他对学生们很宽容。";"<i>tā duì xuésheng men hěn kuānróng.</i><br></br>He is very lenient with the students.";"❈ 她的笑容很宽松。";"<i>tā de xiàoróng hěn kuānsōng.</i><br></br>Her smile is very relaxed.";"❈ 他的心胸很宽广。";"<i>tā de xīnxiōng hěn kuānguǎng.</i><br></br>He has a broad mind.";"❈ 这个房间很宽敞。";"<i>zhège fángjiān hěn kuānchang.</i><br></br>This room is very spacious."
"昆虫⠀";"kūnchóng";"/insect/CL:隻|只[zhi1],群[qun2],堆[dui1]//insect/CL:只[zhī],群[qún],堆[duī]";"昆 (descendant)";"There are no other HSK words in this level (or before) using this character.";"虫 (insect)";"There are no other HSK words in this level (or before) using this character.";"❈ 昆虫是生态系统中的重要组成部分。";"<i>kūnchóng shì shēngtàixìtǒng zhōng de zhòngyào zǔchéngbùfèn.</i><br></br>Insects are an important part of the ecosystem.";"❈ 昆虫的种类非常多。";"<i>kūnchóng de zhǒnglèi fēicháng duō.</i><br></br>There are many different types of insects.";"❈ 孩子们在草地上捉昆虫。";"<i>háizi men zài cǎodì shàng zhuō kūnchóng.</i><br></br>The children catch insects on the grass.";"❈ 昆虫的种类非常丰富。";"<i>kūnchóng de zhǒnglèi fēicháng fēngfù.</i><br></br>There is a wide variety of insects.";"❈ 昆虫学是生物学的一个分支。";"<i>kūnchóngxué shì shēngwùxué de yīgè fēnzhī.</i><br></br>Entomology is a branch of biology."
"拦⠀";"lán";"/to block sb's path/to obstruct/to flag down (a taxi)//to block sb's path/to obstruct/to flag down (a taxi)";"拦 (block)";"There are no other HSK words in this level (or before) using this character.";"❈ 他试图拦住她，但她已经走远了。";"<i>tā shìtú lánzhù tā, dàn tā yǐjīng zǒuyuǎn le.</i><br></br>He tried to stop her, but she had already walked far away.";"❈ 我在马路边拦了一辆出租车。";"<i>wǒ zài mǎlùbiān lán le yīliàng chūzūchē.</i><br></br>I flagged down a taxi by the side of the road.";"❈ 他拦住了那个闯红灯的人。";"<i>tā lánzhù le nàgè chuǎnghóngdēng de rén.</i><br></br>He stopped the person who ran the red light.";"🐇 魏无羡拦住了蓝忘机的出租车，要和他一起走。";"<i>wèiwúxiàn lánzhù le lánwàngjī de chūzūchē, yào hé tā yīqǐ zǒu.</i><br></br>Wei Wuxian flagged down Lan Wangji's taxi, wanting to leave with him.";"♻❈ 警察阻拦了他的逃跑。";"<i>jǐngchá zǔlán le tā de táopǎo.</i><br></br>The police stopped his escape."
"朗读⠀";"lǎngdú";"/to read aloud//to read aloud";"朗 (clear)";"There are no other HSK words in this level (or before) using this character.";"读 (read)";"Other words using this character: 读 (read); 阅读 (read)";"❈ 请你朗读这篇文章。";"<i>qǐng nǐ lǎngdú zhè piānwénzhāng.</i><br></br>Please read this article aloud.";"❈ 她喜欢朗读诗歌。";"<i>tā xǐhuan lǎngdú shīgē.</i><br></br>She likes to read poetry aloud.";"❈ 他的朗读声音很动听。";"<i>tā de lǎngdú shēngyīn hěn dòngtīng.</i><br></br>His reading aloud voice is very pleasant.";"🐇 蓝忘机听着魏无羡朗读，心中充满了宁静。";"<i>lánwàngjī tīng zhe wèiwúxiàn lǎngdú, xīnzhōng chōngmǎn le níngjìng.</i><br></br>Lan Wangji listened to Wei Wuxian reading aloud, feeling peaceful in his heart."
"劳驾⠀";"láojià";"/excuse me//excuse me";"劳 (to toil)";"Other words using this character: 劳动 (work); 疲劳 (fatigue)";"驾 (drive)";"Other words using this character: 驾驶 (pilot)";"❈ 劳驾，请问这里怎么走？";"<i>láojià, qǐngwèn zhèlǐ zěnme zǒu?</i><br></br>Excuse me, how do I get there?";"❈ 劳驾，请问这附近有没有银行？";"<i>láojià, qǐngwèn zhè fùjìn yǒuméiyǒu yínháng?</i><br></br>Excuse me, is there a bank nearby?";"❈ 劳驾，你能帮我拿一下这个包吗？";"<i>láojià, nǐ néng bāng wǒ ná yīxià zhège bāo ma?</i><br></br>Excuse me, can you help me with this bag?";"🐇 劳驾，能不能让一让？";"<i>láojià, néng bùnéng ràng yī ràng?</i><br></br>Excuse me, could you please move aside?"
"老百姓⠀";"lǎobǎixìng";"/ordinary people/the ""person in the street""/CL:個|个[ge4]//ordinary people/the ""person in the street""/CL:个[gè]";"老 (old)";"Other words using this character: 老师 (teacher); 老 (old); 老虎 (tiger); 老板 (boss); 老鼠 (rat); 老实 (honest); 老婆 (wife)";"百 (hundred)";"Other words using this character: 百 (hundred); 百分之 (percent)";"姓 (surname)";"Other words using this character: 姓 (surname)";"❈ 这个政策对老百姓有利。";"<i>zhège zhèngcè duì lǎobǎixìng yǒulì.</i><br></br>This policy is beneficial to the ordinary people.";"❈ 政府应该为老百姓着想。";"<i>zhèngfǔ yīnggāi wéi lǎobǎixìng zhuóxiǎng.</i><br></br>The government should consider the ordinary people.";"❈ 老百姓的生活水平在提高。";"<i>lǎobǎixìng de shēnghuó shuǐpíng zài tígāo.</i><br></br>The living standards of the ordinary people are improving.";"🐇 魏无羡一直视自己为老百姓。";"<i>wèiwúxiàn yīzhí shì zìjǐ wéi lǎobǎixìng.</i><br></br>Wei Wuxian has always seen himself as an ordinary person."
