"唉⠀";"āi||ài";"/alas/oh dear//interjection or grunt of agreement or recognition (e.g. yes, it's me!); to sigh||alas; oh dear";"唉 (sigh)";"There are no other HSK words in this level (or before) using this character.";"❈ 唉，我真的不知道该怎么办。";"<i>āi, wǒ zhēnde bù zhīdào gāi zěnmebàn.</i><br></br>Oh dear, I really don't know what to do.";"❈ 唉，这个消息真让人难过。";"<i>āi, zhège xiāoxi zhēnràngrén nánguò.</i><br></br>Alas, this news is really sad.";"❈ 唉，这件事真让人伤心。";"<i>āi, zhèjiàn shì zhēnràngrén shāngxīn.</i><br></br>Alas, this is really heartbreaking.";"🐇 唉，这世上怎么会有如此狡诈的人。";"<i>āi, zhè shìshàng zěnme huì yǒu rúcǐ jiǎozhà de rén.</i><br></br>Oh dear, how can there be such cunning people in this world."
"爱心⠀";"àixīn";"/compassion/kindness/care for others/love/CL:片[pian4]/charity (bazaar, golf day etc)/heart (the symbol ♥)//compassion/kindness/care for others/love/CL:片[piàn]/charity (bazaar, golf day etc)/heart (the symbol ♥)";"爱 (love)";"Other words using this character: 爱 (love); 爱好 (hobby); 可爱 (adorable); 爱情 (romance); 亲爱 (dear); 热爱 (love ardently); 爱护 (cherish); 爱惜 (cherish); 恋爱 (love); 疼爱 (love dearly)";"心 (heart)";"Other words using this character: 担心 (worried); 放心 (reassured); 关心 (concerned); 小心 (careful); 粗心 (careless); 开心 (happy); 耐心 (patience); 伤心 (grieve); 心情 (mood); 信心 (confidence)";"❈ 她的爱心感动了很多人。";"<i>tā de àixīn gǎndòng le hěnduō rén.</i><br></br>Her compassion touched many people.";"❈ 这个慈善机构一直在倡导爱心。";"<i>zhège císhànjīgòu yīzhí zài chàngdǎo àixīn.</i><br></br>This charity has been advocating love and compassion.";"❈ 送一颗爱心给需要帮助的人。";"<i>sòng yīkē àixīn gěi xūyào bāngzhù de rén.</i><br></br>Send a heart to those in need of help.";"🐇 温情在慈善晚宴上展现了她的爱心。";"<i>wēnqíng zài císhàn wǎnyàn shàng zhǎnxiàn le tā de àixīn.</i><br></br>Wen Qing showed her compassion at the charity gala.";"♻🐇 魏无羡对待小狗总是充满爱心，他特别喜欢犬。";"<i>wèiwúxiàn duìdài xiǎogǒu zǒngshì chōngmǎn àixīn, tā tèbié xǐhuan quǎn.</i><br></br>Wei Wuxian is always loving towards puppies; he especially likes dogs."
"节省⠀";"jiéshěng";"/saving/to save/to use sparingly/to cut down on//saving/to save/to use sparingly/to cut down on";"节 (holiday)";"Other words using this character: 季节 (season); 节目 (program); 节日 (holiday); 节 (holiday); 节约 (economize); 国庆节 (National Day); 细节 (details)";"省 (save)";"Other words using this character: 省 (save); 省略 (omit)";"❈ 她很会节省。";"<i>tā hěnhuì jiéshěng.</i><br></br>She is very good at saving.";"❈ 他们节省了很多钱。";"<i>tāmen jiéshěng le hěnduō qián.</i><br></br>They saved a lot of money.";"❈ 我们应该节省用水。";"<i>wǒmen yīnggāi jiéshěng yòngshuǐ.</i><br></br>We should save water.";"🐇 金凌知道家里的财政状况不好，所以他学会了节省开支。";"<i>jīnlíng zhīdào jiālǐ de cáizhèngzhuàngkuàng bùhǎo, suǒyǐ tā xuéhuì le jiéshěngkāizhī.</i><br></br>Jin Ling knows that the family's financial situation is not good, so he learned to cut down on expenses.";"♻❈ 压缩文件可以节省存储空间。";"<i>yāsuōwénjiàn kěyǐ jiéshěng cúnchǔkōngjiān.</i><br></br>Compressed files can save storage space."
"结构⠀";"jiégòu";"/structure/composition/makeup/architecture/CL:座[zuo4],個|个[ge4]//structure/composition/makeup/architecture/CL:座[zuò],个[gè]";"结 (knot)";"Other words using this character: 结婚 (marry); 结束 (termination); 结果 (outcome); 总结 (sum up); 结实 (sturdy); 结合 (combine); 结论 (conclusion); 结账 (pay the bill)";"构 (construct)";"Other words using this character: 构成 (constitute)";"❈ 这个组织的结构非常严密。";"<i>zhège zǔzhī de jiégòu fēicháng yánmì.</i><br></br>The composition of this organization is very tight.";"❈ 这座建筑的结构非常复杂。";"<i>zhèzuò jiànzhù de jiégòu fēichángfùzá.</i><br></br>The structure of this building is very complex.";"❈ 这个句子的结构很简单。";"<i>zhège jùzi de jiégòu hěn jiǎndān.</i><br></br>The structure of this sentence is very simple.";"🐇 魏无羡的陷阱结构巧妙，总是能出人意料。";"<i>wèiwúxiàn de xiànjǐng jiégòu qiǎomiào, zǒngshì néng chūrényìliào.</i><br></br>Wei Wuxian's trap has a clever structure and always surprises people.";"♻❈ 这个机器的结构很复杂。";"<i>zhège jīqì de jiégòu hěn fùzá.</i><br></br>The structure of this machine is very complex."
"结合⠀";"jiéhé";"/to combine/to link/to integrate/binding/CL:次[ci4]//to combine/to link/to integrate/binding/CL:次[cì]";"结 (knot)";"Other words using this character: 结婚 (marry); 结束 (termination); 结果 (outcome); 总结 (sum up); 结实 (sturdy); 结构 (structure); 结论 (conclusion); 结账 (pay the bill)";"合 (join)";"Other words using this character: 符合 (agree); 合格 (meet the standard); 合适 (suitable); 适合 (suit); 合法 (legal); 合理 (reasonable); 合同 (contract); 合作 (cooperate); 集合 (gather); 联合 (combine)";"❈ 这个项目结合了艺术和科技。";"<i>zhège xiàngmù jiéhé le yìshù hé kējì.</i><br></br>This project combines art and technology.";"❈ 结合理论和实践是很重要的。";"<i>jiéhé lǐlùn hé shíjiàn shì hěn zhòngyào de.</i><br></br>Combining theory and practice is very important.";"❈ 他们结合了两种不同的风格。";"<i>tāmen jiéhé le liǎngzhǒng bùtóng de fēnggé.</i><br></br>They combined two different styles.";"🐇 蓝曦臣结合了家族的责任和自己的理想，成为了一位出色的领袖。";"<i>lánxīchén jiéhé le jiāzú de zérèn hé zìjǐ de lǐxiǎng, chéngwéi le yīwèi chūsè de lǐngxiù.</i><br></br>Lan Xichen combined the responsibilities of the family with his own ideals, becoming an outstanding leader.";"♻❈ 理论和实践相结合是很重要的。";"<i>lǐlùn hé shíjiàn xiāngjiéhé shì hěn zhòngyào de.</i><br></br>Combining theory and practice is very important."
"结论⠀";"jiélùn";"/conclusion/verdict/CL:個|个[ge4]/to conclude/to reach a verdict//conclusion/verdict/CL:个[gè]/to conclude/to reach a verdict";"结 (knot)";"Other words using this character: 结婚 (marry); 结束 (termination); 结果 (outcome); 总结 (sum up); 结实 (sturdy); 结构 (structure); 结合 (combine); 结账 (pay the bill)";"论 (opinion)";"Other words using this character: 讨论 (discuss); 无论 (regardless); 辩论 (debate); 理论 (theory); 论文 (paper); 议论 (comment); 争论 (argue)";"❈ 我还没有得出结论。";"<i>wǒ hái méiyǒu déchūjiélùn.</i><br></br>I haven't reached a conclusion yet.";"❈ 法官宣布了最终的结论。";"<i>fǎguān xuānbù le zuìzhōng de jiélùn.</i><br></br>The judge announced the final verdict.";"❈ 经过讨论，我们得出了一个结论。";"<i>jīngguò tǎolùn, wǒmen déchū le yīgè jiélùn.</i><br></br>After the discussion, we reached a conclusion.";"🐇 江澄的结论是错误的，他没有听取蓝忘机的建议。";"<i>jiāngchéng de jiélùn shì cuòwù de, tā méiyǒu tīngqǔ lánwàngjī de jiànyì.</i><br></br>Jiang Cheng's conclusion was wrong; he did not listen to Lan Wangji's advice.";"♻❈ 由此可知，这个结论是正确的。";"<i>yóucǐkězhī, zhège jiélùn shì zhèngquè de.</i><br></br>It can be known from this that the conclusion is correct."
"结账⠀";"jiézhàng";"/to pay the bill/to settle accounts/also written 結帳|结帐//to pay the bill/to settle accounts/also written 結帳|结帐";"结 (knot)";"Other words using this character: 结婚 (marry); 结束 (termination); 结果 (outcome); 总结 (sum up); 结实 (sturdy); 结构 (structure); 结合 (combine); 结论 (conclusion)";"账 (account)";"Other words using this character: 账户 (account)";"❈ 我们可以结账了吗？";"<i>wǒmen kěyǐ jiézhàng le ma?</i><br></br>Can we pay the bill now?";"❈ 结账的时候请给我一张发票。";"<i>jiézhàng de shíhou qǐng gěi wǒ yīzhāng fāpiào.</i><br></br>Please give me a receipt when paying the bill.";"❈ 他们结账后就离开了餐厅。";"<i>tāmen jiézhàng hòu jiù líkāi le cāntīng.</i><br></br>They left the restaurant after settling the bill.";"🐇 蓝曦臣经常偷偷地结账。";"<i>lánxīchén jīngcháng tōutōudì jiézhàng.</i><br></br>Lan Xichen often secretly settles the bill.";"♻❈ 我要结账，可以给我单吗？";"<i>wǒyào jiézhàng, kěyǐ gěi wǒ dān ma?</i><br></br>I'd like to pay the bill, can you give me the check?"
"届⠀";"jiè";"/to arrive at (place or time)/period/to become due/classifier for events, meetings, elections, sporting fixtures, years (of graduation)//to arrive at (place or time)/period/to become due/classifier for events, meetings, elections, sporting fixtures, years (of graduation)";"届 (arrive at)";"There are no other HSK words in this level (or before) using this character.";"❈ 毕业届的学生们都很兴奋。";"<i>bìyè jiè de xuésheng men dōu hěn xīngfèn.</i><br></br>The students of the graduating class are all very excited.";"❈ 这是我第一届参加的比赛。";"<i>zhè shì wǒ dìyījiè cānjiā de bǐsài.</i><br></br>This is the first competition I have participated in.";"❈ 下届奥运会将在巴黎举行。";"<i>xiàjiè àoyùnhuì jiàng zài bālí jǔxíng.</i><br></br>The next Olympic Games will be held in Paris.";"🐇 这届比赛将在下个月举行。";"<i>zhèjiè bǐsài jiàng zài xiàgèyuè jǔxíng.</i><br></br>The event will take place next month.";"♻❈ 这家公司录取了很多应届毕业生。";"<i>zhèjiā gōngsī lùqǔ le hěnduō yīngjiè bìyèshēng.</i><br></br>This company has hired many fresh graduates."
"借口⠀";"jièkǒu";"/to use as an excuse/excuse; pretext//to use as an excuse/excuse; pretext";"借 (borrow)";"Other words using this character: 借 (borrow)";"口 (mouth)";"Other words using this character: 口 (mouth); 入口 (entrance); 出口 (export); 口味 (taste); 进口 (import); 人口 (population); 胃口 (appetite)";"❈ 他找了一个借口不去参加聚会。";"<i>tā zhǎo le yīgè jièkǒu bùqù cānjiā jùhuì.</i><br></br>He found an excuse not to attend the gathering.";"❈ 她总是能找到借口迟到。";"<i>tā zǒngshì néng zhǎodào jièkǒu chídào.</i><br></br>She always manages to find an excuse for being late.";"❈ 不要再找借口逃避责任了。";"<i>bùyào zài zhǎo jièkǒu táobìzérèn le.</i><br></br>Stop making excuses to avoid responsibility.";"❈ 不要再找借口了，你错了就是错了。";"<i>bùyào zài zhǎo jièkǒu le, nǐ cuò le jiùshì cuò le.</i><br></br>Stop making excuses, you were wrong.";"❈ 他总是找借口迟到。";"<i>tā zǒngshì zhǎo jièkǒu chídào.</i><br></br>He always finds excuses for being late."
"戒⠀";"jiè";"/to guard against/to exhort/to admonish or warn/to give up or stop doing sth/Buddhist monastic discipline/ring (for a finger)//to guard against/to exhort/to admonish or warn/to give up or stop doing sth/Buddhist monastic discipline/ring (for a finger)";"戒 (to guard)";"Other words using this character: 戒指 (ring)";"❈ 戒指是她的婚戒。";"<i>jièzhi shì tā de hūnjiè.</i><br></br>The ring is her wedding ring.";"❈ 她正在戒掉咖啡因。";"<i>tā zhèngzài jièdiào kāfēiyīn.</i><br></br>She is trying to give up caffeine.";"❈ 他戒烟已经两年了。";"<i>tā jièyān yǐjīng liǎngnián le.</i><br></br>He has quit smoking for two years.";"🐇 魏无羡已经戒烟两年了。";"<i>wèiwúxiàn yǐjīng jièyān liǎngnián le.</i><br></br>Wei Wuxian has quit smoking for two years.";"♻❈ 她的戒指上镶嵌了一颗钻石。";"<i>tā de jièzhi shàng xiāngqiàn le yīkē zuànshí.</i><br></br>There is a diamond set in her ring."
"紧急⠀";"jǐnjí";"/urgent/emergency//urgent/emergency";"紧 (tight)";"Other words using this character: 紧张 (tense); 不要紧 (unimportant); 赶紧 (hurriedly); 抓紧 (pay close attention)";"急 (urgent)";"Other words using this character: 着急 (worry); 急诊 (urgent treatment); 急忙 (hastily)";"❈ 他的病情很紧急。";"<i>tā de bìngqíng hěn jǐnjí.</i><br></br>His condition is very urgent.";"❈ 请立即通知医生，这是紧急情况。";"<i>qǐng lìjí tōngzhī yīshēng, zhèshì jǐnjíqíngkuàng.</i><br></br>Please inform the doctor immediately, this is an emergency.";"❈ 这是一个紧急情况。";"<i>zhèshì yīgè jǐnjíqíngkuàng.</i><br></br>This is an urgent situation.";"❈ 公司有一个紧急会议需要召开。";"<i>gōngsī yǒu yīgè jǐnjíhuìyì xūyào zhàokāi.</i><br></br>The company has an urgent meeting that needs to be held.";"❈ 他的病情很紧急，需要立刻送医院。";"<i>tā de bìngqíng hěn jǐnjí, xūyào lìkè sòng yīyuàn.</i><br></br>His condition is very urgent and needs to be taken to the hospital immediately."
"尽快⠀";"jǐnkuài||jìnkuài";"/see 儘快|尽快[jin3 kuai4]//as quickly as possible; as soon as possible||see 儘快|尽快[jǐn kuài]";"尽 (exhaust)";"Other words using this character: 尽管 (despite); 尽量 (as much as possible); 尽力 (strive)";"快 (quick)";"Other words using this character: 快 (quick); 快乐 (happy); 凉快 (cool); 愉快 (cheerful); 赶快 (quickly); 痛快 (delighted)";"❈ 我们会尽快处理这个问题。";"<i>wǒmen huì jìnkuài chǔlǐ zhège wèntí.</i><br></br>We will deal with this issue as soon as possible.";"❈ 请尽快完成这项工作。";"<i>qǐng jìnkuài wánchéng zhèxiàng gōngzuò.</i><br></br>Please finish this task as soon as possible.";"❈ 他们需要尽快做出决定。";"<i>tāmen xūyào jìnkuài zuòchū juédìng.</i><br></br>They need to make a decision as soon as possible.";"❈ 他们承诺会尽快解决这个问题。";"<i>tāmen chéngnuò huì jìnkuài jiějué zhège wèntí.</i><br></br>They promised to solve the problem as soon as possible."
"谨慎⠀";"jǐnshèn";"/cautious/prudent//cautious/prudent";"谨 (cautious)";"There are no other HSK words in this level (or before) using this character.";"慎 (careful)";"There are no other HSK words in this level (or before) using this character.";"❈ 在这个问题上，我们必须谨慎行事。";"<i>zài zhège wèntí shàng, wǒmen bìxū jǐnshèn xíngshì.</i><br></br>We must act prudently on this issue.";"❈ 他是一个非常谨慎的人。";"<i>tā shì yīgè fēicháng jǐnshèn de rén.</i><br></br>He is a very cautious person.";"❈ 在做决定之前，我们要谨慎考虑。";"<i>zài zuò juédìng zhīqián, wǒmen yào jǐnshèn kǎolǜ.</i><br></br>We need to consider carefully before making a decision.";"❈ 他是一个非常谨慎的人，不轻易做决定。";"<i>tā shì yīgè fēicháng jǐnshèn de rén, bù qīngyì zuò juédìng.</i><br></br>He is a very cautious person and doesn't make decisions lightly.";"❈ 在处理这个问题时，我们需要更加谨慎。";"<i>zài chǔlǐ zhège wèntí shí, wǒmen xūyào gèngjiā jǐnshèn.</i><br></br>We need to be more cautious in dealing with this issue."
"进步⠀";"jìnbù";"/progress; improvement/to improve; to progress/CL:個|个[ge4]//progress; improvement/to improve; to progress/CL:个[gè]";"进 (advance)";"Other words using this character: 进 (advance); 进行 (conduct); 改进 (improve); 促进 (promote); 进口 (import)";"步 (step)";"Other words using this character: 跑步 (run); 散步 (walk); 逐步 (progressively); 步骤 (procedure); 退步 (setback)";"❈ 这个项目需要不断进步。";"<i>zhège xiàngmù xūyào bùduànjìnbù.</i><br></br>This project needs continuous improvement.";"❈ 她的进步让人印象深刻。";"<i>tā de jìnbù ràng rén yìnxiàng shēnkè.</i><br></br>Her progress is very impressive.";"❈ 他在学习上取得了很大的进步。";"<i>tā zài xuéxí shàng qǔdé le hěndà de jìnbù.</i><br></br>He has made great progress in his studies.";"🐇 江澄的性格虽然倔强，但在修行上却有了长足的进步。";"<i>jiāngchéng de xìnggé suīrán juéjiàng, dàn zài xiūxíng shàng què yǒu le chángzú de jìnbù.</i><br></br>Jiang Cheng's character is stubborn, but he has made great progress in cultivation.";"♻❈ 他们之间相互帮助，共同进步。";"<i>tāmen zhījiān xiānghù bāngzhù, gòngtóngjìnbù.</i><br></br>They help each other and make progress together."
"近代⠀";"jìndài";"/the not-very-distant past/modern times, excluding recent decades/(in the context of Chinese history) the period from the Opium Wars until the May 4th Movement (mid-19th century to 1919)/capitalist times (pre-1949)//the not-very-distant past/modern times, excluding recent decades/(in the context of Chinese history) the period from the Opium Wars until the May 4th Movement (mid-19th century to 1919)/capitalist times (pre-1949)";"近 (near)";"Other words using this character: 近 (near); 附近 (nearby); 最近 (recently); 接近 (approach)";"代 (generation)";"Other words using this character: 代表 (representative); 古代 (ancient); 年代 (era); 时代 (era); 代替 (replace); 现代 (modern era)";"❈ 近代的历史很有意思。";"<i>jìndài de lìshǐ hěn yǒuyìsi.</i><br></br>The history of the not-very-distant past is very interesting.";"❈ 近代的社会发展迅速。";"<i>jìndài de shèhuì fāzhǎn xùnsù.</i><br></br>The development of society in the not-very-distant past was rapid.";"❈ 近代的中国发生了很多变化。";"<i>jìndài de zhōngguó fāshēng le hěnduō biànhuà.</i><br></br>Modern China has undergone many changes.";"🐇 魏无羡在近代创造了许多奇迹。";"<i>wèiwúxiàn zài jìndài chuàngzào le xǔduō qíjì.</i><br></br>Wei Wuxian created many miracles in the not-very-distant past."
"尽量⠀";"jǐnliàng||jìnliàng";"/as much as possible/to the greatest extent//as much as possible; to the greatest extent||as much as possible; to the greatest extent";"尽 (exhaust)";"Other words using this character: 尽管 (despite); 尽快 (quickly); 尽力 (strive)";"量 (measure)";"Other words using this character: 商量 (consult); 数量 (quantity); 质量 (quality); 力量 (power); 重量 (weight)";"❈ 请尽量准时到达。";"<i>qǐng jìnliàng zhǔnshídàodá.</i><br></br>Please arrive as close to on time as possible.";"❈ 他尽量避免和她发生冲突。";"<i>tā jìnliàngbìmiǎn hé tā fāshēngchōngtū.</i><br></br>He tries to avoid conflicts with her as much as possible.";"❈ 我们应该尽量减少浪费。";"<i>wǒmen yīnggāi jìnliàngjiǎnshǎo làngfèi.</i><br></br>We should try to minimize waste as much as possible.";"🐇 魏无羡尽量避免与蓝忘机发生冲突。";"<i>wèiwúxiàn jìnliàngbìmiǎn yǔ lánwàngjī fāshēngchōngtū.</i><br></br>Wei Wuxian tries his best to avoid conflicts with Lan Wangji.";"♻🐇 金光瑶害怕注射，所以总是尽量避免生病。";"<i>jīnguāng yáo hàipà zhùshè, suǒyǐ zǒngshì jìnliàngbìmiǎn shēngbìng.</i><br></br>Jin Guangyao is afraid of injections, so he always tries to avoid getting sick."
"精神⠀";"jīngshén||jīngshen";"/vigor; vitality/spirited/good-looking//spirit; mind; consciousness; thought; mental; psychological; essence; gist; vitality; spirited; good-looking; CL:个[gè]||vigor";"精 (essence)";"Other words using this character: 精彩 (wonderful); 精力 (energy)";"神 (God)";"Other words using this character: 神秘 (mysterious); 神话 (myth)";"❈ 她看起来很精神。";"<i>tā kànqǐlai hěn jīngshén.</i><br></br>She looks very spirited.";"❈ 他精神抖擞地走进了会议室。";"<i>tā jīngshéndǒusǒu dì zǒujìn le huìyìshì.</i><br></br>He walked into the meeting room spiritedly.";"❈ 他的精神状态很好。";"<i>tā de jīngshénzhuàngtài hěn hǎo.</i><br></br>His mental state is very good.";"🐇 蓝忘机的精神是那么的高昂和坚定。";"<i>lánwàngjī de jīngshén shì nàme de gāoáng hé jiāndìng.</i><br></br>Lan Wangji's spirit is so high and firm.";"🦝 奥涤萨的精神状态非常好，他一直很活跃。";"<i>àodísà de jīngshénzhuàngtài fēicháng hǎo, tā yīzhí hěn huóyuè.</i><br></br>Odis is in very good spirits; he has always been very active."
"经典⠀";"jīngdiǎn";"/the classics/scriptures/classical/classic (example, case etc)/typical//the classics/scriptures/classical/classic (example, case etc)/typical";"经 (classics)";"Other words using this character: 已经 (already); 经常 (frequently); 经过 (pass); 经理 (manager); 经济 (economy); 经历 (experience); 经验 (experience); 曾经 (once); 经商 (trade); 经营 (engage in)";"典 (canon)";"Other words using this character: 词典 (dictionary); 古典 (classical)";"❈ 这个故事是经典的爱情故事。";"<i>zhège gùshi shì jīngdiǎn de àiqínggùshi.</i><br></br>This story is a classic love story.";"❈ 这部电影被誉为经典之作。";"<i>zhèbù diànyǐng bèiyùwéi jīngdiǎnzhīzuò.</i><br></br>This movie is acclaimed as a classic.";"❈ 这本书是中国文学的经典之作。";"<i>zhè běnshū shì zhōngguó wénxué de jīngdiǎnzhīzuò.</i><br></br>This book is a classic of Chinese literature.";"🐇 蓝忘机擅长演奏古琴经典曲目。";"<i>lánwàngjī shàncháng yǎnzòu gǔqín jīngdiǎn qǔmù.</i><br></br>Lan Wangji excels in playing classic tunes on the guqin.";"♻❈ 这本书被列为经典之作。";"<i>zhè běnshū bèi lièwéi jīngdiǎnzhīzuò.</i><br></br>This book is classified as a classic."
"救⠀";"jiù";"/to save/to assist/to rescue//to save; to assist; to rescue";"救 (save)";"Other words using this character: 救护车 (ambulance)";"❈ 这个组织致力于救助贫困地区的儿童。";"<i>zhège zǔzhī zhìlìyú jiùzhù pínkùndìqū de értóng.</i><br></br>This organization is dedicated to helping children in impoverished areas.";"❈ 他们成功救出了被困的人。";"<i>tāmen chénggōng jiùchū le bèikùn de rén.</i><br></br>They successfully rescued the trapped people.";"❈ 医生们正在全力救治伤者。";"<i>yīshēng men zhèngzài quánlì jiùzhì shāngzhě.</i><br></br>The doctors are doing their best to treat the injured.";"🐇 蓝忘机和魏无羡一起救了许多受伤的人。";"<i>lánwàngjī hé wèiwúxiàn yīqǐ jiù le xǔduō shòushāng de rén.</i><br></br>Lan Wangji and Wei Wuxian together saved many injured people.";"♻❈ 我们需要更多的英雄来拯救这个世界。";"<i>wǒmen xūyào gēng duō de yīngxióng lái zhěngjiù zhège shìjiè.</i><br></br>We need more heroes to save the world."
"舅舅⠀";"jiùjiu";"/mother's brother/maternal uncle (informal)/CL:個|个[ge4]//mother's brother/maternal uncle (informal)/CL:个[gè]";"舅 (maternal uncle)";"There are no other HSK words in this level (or before) using this character.";"舅 (maternal uncle)";"There are no other HSK words in this level (or before) using this character.";"❈ 舅舅家的小孩很可爱。";"<i>jiùjiùjiā de xiǎohái hěn kěài.</i><br></br>The children in my uncle's family are very cute.";"❈ 我舅舅是一位医生。";"<i>wǒ jiùjiu shì yīwèi yīshēng.</i><br></br>My uncle is a doctor.";"❈ 她的舅舅对她很好。";"<i>tā de jiùjiu duì tā hěn hǎo.</i><br></br>Her uncle is very good to her.";"🐇 江澄的舅舅是江嫣然的丈夫。";"<i>jiāngchéng de jiùjiu shì jiāng yānrán de zhàngfu.</i><br></br>Jiang Cheng's maternal uncle is Jiang Yanran's husband.";"♻🐇 金凌最喜欢的一件衣服是他舅舅送的生日礼物。";"<i>jīnlíng zuì xǐhuan de yījiàn yīfú shì tā jiùjiu sòng de shēngrilǐwù.</i><br></br>Jin Ling's favorite piece of clothing is the birthday gift from his uncle."
"桔子⠀";"júzi";"/tangerine/also written 橘子/CL:個|个[ge4],瓣[ban4]//tangerine/also written 橘子/CL:个[gè],瓣[bàn]";"桔 (Platycodon)";"There are no other HSK words in this level (or before) using this character.";"子 (son)";"Other words using this character: 儿子 (son); 杯子 (cup); 桌子 (table); 椅子 (chair); 妻子 (wife); 孩子 (child); 鼻子 (nose); 电子邮件 (email); 个子 (height); 句子 (sentence)";"❈ 这个超市有很甜的桔子。";"<i>zhège chāoshì yǒu hěntián de júzi.</i><br></br>This supermarket has very sweet tangerines.";"❈ 我喜欢吃桔子。";"<i>wǒ xǐhuan chī júzi.</i><br></br>I like to eat tangerines.";"❈ 桔子的颜色很漂亮。";"<i>júzi de yánsè hěnpiāoliàng.</i><br></br>The color of the tangerine is very beautiful.";"🐇 蓝曦臣送了一篮桔子给蓝忘机，希望他能多吃一些水果。";"<i>lánxīchén sòng le yīlán júzi gěi lánwàngjī, xīwàng tā néng duō chī yīxiē shuǐguǒ.</i><br></br>Lan Xichen gave a basket of tangerines to Lan Wangji, hoping he would eat more fruit."
"具备⠀";"jùbèi";"/to possess/to have/equipped with/able to fulfill (conditions or requirements)//to possess/to have/equipped with/able to fulfill (conditions or requirements)";"具 (tool)";"Other words using this character: 家具 (furniture); 工具 (tool); 玩具 (toy); 文具 (stationery); 具体 (concrete)";"备 (prepare)";"Other words using this character: 准备 (preparation); 责备 (blame); 设备 (equipment)";"❈ 他具备领导能力。";"<i>tā jùbèi lǐngdǎo nénglì.</i><br></br>He possesses leadership skills.";"❈ 这个团队具备胜利的条件。";"<i>zhège tuánduì jùbèi shènglì de tiáojiàn.</i><br></br>This team has the conditions for victory.";"❈ 这个产品具备高性能。";"<i>zhège chǎnpǐn jùbèi gāoxìngnéng.</i><br></br>This product is equipped with high performance.";"🐇 魏无羡具备聪明智慧和机智过人的头脑。";"<i>wèiwúxiàn jùbèi cōngmíngzhìhuì hé jīzhì guòrén de tóunǎo.</i><br></br>Wei Wuxian possesses intelligence and a remarkably quick wit.";"♻❈ 政府干部需要具备很多技能。";"<i>zhèngfǔ gànbù xūyào jùbèi hěnduō jìnéng.</i><br></br>Government officers need to have many skills."
"巨大⠀";"jùdà";"/huge/immense/very large/tremendous/gigantic/enormous//huge/immense/very large/tremendous/gigantic/enormous";"巨 (huge)";"Other words using this character: 艰巨 (arduous)";"大 (big)";"Other words using this character: 大 (big); 大家 (everyone); 大概 (roughly); 大使馆 (embassy); 大约 (approximately); 大夫 (doctor); 大厦 (grand building); 大象 (elephant); 广大 (widespread); 扩大 (expand)";"❈ 这个城市有着巨大的发展潜力。";"<i>zhège chéngshì yǒuzhe jùdà de fāzhǎnqiánlì.</i><br></br>This city has enormous potential for development.";"❈ 他们在巨大的压力下完成了任务。";"<i>tāmen zài jùdà de yālì xià wánchéng le rènwu.</i><br></br>They completed the task under enormous pressure.";"❈ 这个项目取得了巨大的成功。";"<i>zhège xiàngmù qǔdé le jùdà de chénggōng.</i><br></br>This project has achieved tremendous success.";"🐇 魏无羡的魔道势力已经发展到了一个巨大的规模。";"<i>wèiwúxiàn de mó dào shìli yǐjīng fāzhǎn dào le yīgè jùdà de guīmó.</i><br></br>Wei Wuxian's demonic cultivation power has developed into a huge scale.";"♻❈ 掠夺行为给这个地区带来了巨大的破坏。";"<i>lüèduó xíngwéi gěi zhège dìqū dàilái le jùdà de pòhuài.</i><br></br>The act of plundering caused tremendous damage to this area."
"决赛⠀";"juésài";"/finals (of a competition)//finals (of a competition)";"决 (decide)";"Other words using this character: 解决 (solve); 决定 (decide); 坚决 (resolute); 决心 (determination)";"赛 (compete)";"Other words using this character: 比赛 (competition)";"❈ 这是一场激烈的决赛。";"<i>zhèshì yīcháng jīliè de juésài.</i><br></br>This is an intense final match.";"❈ 他们成功晋级到了决赛。";"<i>tāmen chénggōng jìnjí dào le juésài.</i><br></br>They successfully advanced to the finals.";"❈ 足球决赛将在下个月举行。";"<i>zúqiú juésài jiàng zài xiàgèyuè jǔxíng.</i><br></br>The soccer finals will be held next month.";"🐇 江澄在决赛中遭遇到强大的对手，最终失利。";"<i>jiāngchéng zài juésài zhōng zāoyù dào qiángdà de duìshǒu, zuìzhōng shīlì.</i><br></br>Jiang Cheng encountered a formidable opponent in the finals and ended up losing.";"♻🐇 江澄在半决赛中失利，心情有些沮丧。";"<i>jiāngchéng zài bànjuésài zhōng shīlì, xīnqíng yǒuxiē jǔsàng.</i><br></br>Jiang Cheng lost in the semifinals and felt a bit disheartened."
