"爱情⠀";"àiqíng";"/romance; love (romantic)/CL:份[fen4]//romance; love (romantic)/CL:份[fèn]";"爱 (love)";"Other words using this character: 爱 (love); 爱好 (hobby); 可爱 (adorable)";"情 (feelings)";"Other words using this character: 事情 (affair); 热情 (enthusiastic); 感情 (emotion); 情况 (circumstances); 同情 (sympathize); 心情 (mood)";"❈ 他们之间的爱情很美丽。";"<i>tāmen zhījiān de àiqíng hěn měilì.</i><br></br>Their romance is very beautiful.";"❈ 她对爱情有着很多幻想。";"<i>tā duì àiqíng yǒuzhe hěnduō huànxiǎng.</i><br></br>She has a lot of fantasies about love.";"❈ 爱情是一门艺术。";"<i>àiqíng shì yīmén yìshù.</i><br></br>Love is an art.";"❈ 他们的爱情故事感人至深。";"<i>tāmen de àiqínggùshi gǎnrénzhìshēn.</i><br></br>Their love story is deeply moving.";"❈ 她对爱情充满了向往。";"<i>tā duì àiqíng chōngmǎn le xiàngwǎng.</i><br></br>She is full of yearning for romance.";"❈ 爱情是人生中最美好的事情之一。";"<i>àiqíng shì rénshēng zhōng zuì měihǎo de shìqing zhīyī.</i><br></br>Love is one of the best things in life."
"要是⠀";"yàoshi";"/(coll.) if//(coll.) if";"要 (demand)";"Other words using this character: 要 (demand); 需要 (need); 要求 (requirement); 重要 (important); 主要 (main); 只要 (if only)";"是 (to be)";"Other words using this character: 是 (to be); 还是 (still); 总是 (always); 可是 (but); 是否 (whether); 于是 (thereupon)";"❈ 要是我有时间，我就会去参加。";"<i>yàoshi wǒ yǒu shíjiān, wǒ jiù huì qù cānjiā.</i><br></br>If I have time, I will attend.";"❈ 要是天气好，我们就去爬山。";"<i>yàoshi tiānqì hǎo, wǒmen jiù qù páshān.</i><br></br>If the weather is good, we will go hiking.";"❈ 要是你不快点，我们会迟到的。";"<i>yàoshi nǐ bù kuàidiǎn, wǒmen huì chídào de.</i><br></br>If you don't hurry, we will be late.";"🐇 要是金凌知道真相，他一定会更加理解魏无羡。";"<i>yàoshi jīnlíng zhīdào zhēnxiàng, tā yīdìng huì gèngjiā lǐjiě wèiwúxiàn.</i><br></br>If Jin Ling knew the truth, he would definitely understand Wei Wuxian even more.";"🐇 要是蓝曦臣不出面，魏无羡可能会被追杀。";"<i>yàoshi lánxīchén bù chūmiàn, wèiwúxiàn kěnéng huì bèi zhuīshā.</i><br></br>If Lan Xichen didn't step in, Wei Wuxian might have been hunted down.";"♻🐇 蓝曦臣从不问价格，只要是他需要的东西就会买下来。";"<i>lánxīchén cóngbù wèn jiàgé, zhǐyào shì tā xūyào de dōngxi jiù huì mǎixiàlái.</i><br></br>Lan Xichen never asks about the price; as long as it's something he needs, he will buy it."
"钥匙⠀";"yàoshi";"/key/CL:把[ba3]//key/CL:把[bǎ]";"钥 (key)";"There are no other HSK words in this level (or before) using this character.";"匙 (spoon)";"There are no other HSK words in this level (or before) using this character.";"❈ 她把钥匙放在了桌子上。";"<i>tā bǎ yàoshi fàngzài le zhuōzi shàng.</i><br></br>She put the key on the table.";"❈ 钥匙是打开幸福之门的工具。";"<i>yàoshi shì dǎkāi xìngfú zhīmén de gōngjù.</i><br></br>The key is the tool to open the door of happiness.";"❈ 他找不到家里的钥匙。";"<i>tā zhǎo bùdào jiālǐ de yàoshi.</i><br></br>He can't find the key to the house.";"🐇 魏无羡把钥匙遗失在了蓝忘机的书房里。";"<i>wèiwúxiàn bǎ yàoshi yíshīzài le lánwàngjī de shūfáng lǐ.</i><br></br>Wei Wuxian left the key in Lan Wangji's study.";"🐇 蓝湛把钥匙挂在了腰间。";"<i>lánzhàn bǎ yàoshi guà zài le yāojiān.</i><br></br>Lan Zhan hung the key at his waist.";"♻❈ 她在柜子里找到了丢失的钥匙。";"<i>tā zài guìzi lǐ zhǎodào le diūshī de yàoshi.</i><br></br>She found the lost keys in the cabinet."
"也许⠀";"yěxǔ";"/perhaps/maybe//perhaps/maybe";"也 (also)";"Other words using this character: 也 (also)";"许 (allow)";"Other words using this character: 许多 (many); 允许 (permit)";"❈ 也许我们可以一起去旅行。";"<i>yěxǔ wǒmen kěyǐ yīqǐ qù lǚxíng.</i><br></br>Maybe we can travel together.";"❈ 也许这是一个好主意。";"<i>yěxǔ zhèshì yīgè hǎo zhǔyi.</i><br></br>Maybe this is a good idea.";"❈ 也许他已经离开了。";"<i>yěxǔ tā yǐjīng líkāi le.</i><br></br>Perhaps he has already left.";"🐇 魏无羡也许会来参加宴会。";"<i>wèiwúxiàn yěxǔ huì lái cānjiā yànhuì.</i><br></br>Perhaps Wei Wuxian will come to the banquet.";"🐇 蓝曦臣也许会带着礼物来。";"<i>lánxīchén yěxǔ huìdài zhe lǐwù lái.</i><br></br>Maybe Lan Xichen will come with a gift.";"♻🐇 假如魏无羡还在，一切也许会不同。";"<i>jiǎrú wèiwúxiàn hái zài, yīqiè yěxǔ huì bùtóng.</i><br></br>If Wei Wuxian were still here, everything might be different."
"页⠀";"xié||yè";"/page/leaf//head||page; leaf";"页 (page)";"There are no other HSK words in this level (or before) using this character.";"❈ 这本书有多少页？";"<i>zhè běnshū yǒu duōshǎo yè?</i><br></br>How many pages does this book have?";"❈ 请翻到最后一页。";"<i>qǐng fāndào zuìhòu yīyè.</i><br></br>Please turn to the last page.";"❈ 这个笔记本有一百页。";"<i>zhège bǐjìběn yǒu yībǎi yè.</i><br></br>This notebook has one hundred pages.";"🐇 魏无羡翻开书的一页，开始认真阅读。";"<i>wèiwúxiàn fānkāishū de yīyè, kāishǐ rènzhēn yuèdú.</i><br></br>Wei Wuxian turned to a page in the book and began to read carefully.";"🐇 魏无羡把一页纸撕下来，写下了他的忠告。";"<i>wèiwúxiàn bǎ yīyè zhǐ sīxiàlái, xiěxià le tā de zhōnggào.</i><br></br>Wei Wuxian tore out a page and wrote down his advice.";"♻❈ 开头的几页很吸引人。";"<i>kāitóu de jǐyè hěn xīyǐn rén.</i><br></br>The first few pages are very attractive."
"叶子⠀";"yèzi";"/leaf (CL:片[pian4])/(slang) marijuana//leaf (CL:片[piàn])/(slang) marijuana";"叶 (leaf)";"There are no other HSK words in this level (or before) using this character.";"子 (son)";"Other words using this character: 儿子 (son); 杯子 (cup); 桌子 (table); 椅子 (chair); 妻子 (wife); 孩子 (child); 鼻子 (nose); 电子邮件 (email); 个子 (height); 句子 (sentence)";"❈ 他们在树林里发现了一片奇怪的叶子。";"<i>tāmen zài shùlín lǐ fāxiàn le yīpiàn qíguài de yèzi.</i><br></br>They found a strange leaf in the woods.";"❈ 树叶子在风中摇曳。";"<i>shùyèzi zài fēngzhōng yáoyè.</i><br></br>The leaves of the tree sway in the wind.";"❈ 她在花园里捡了一片叶子。";"<i>tā zài huāyuánlǐ jiǎn le yīpiàn yèzi.</i><br></br>She picked up a leaf in the garden.";"♻❈ 他用放大镜仔细观察了叶子。";"<i>tā yòng fàngdàjìng zǐxìguānchá le yèzi.</i><br></br>He carefully observed the leaves with a magnifying glass.";"♻❈ 植物通过叶子吸收阳光。";"<i>zhíwù tōngguò yèzi xīshōu yángguāng.</i><br></br>Plants absorb sunlight through their leaves."
"一切⠀";"yīqiè";"/everything/every/all//everything/every/all";"一 (one)";"Other words using this character: 一 (one); 一点儿 (a little); 第一 (first); 一起 (together); 一下 (give it a go); 一定 (certainly); 一共 (altogether); 一会儿 (moment); 一样 (same); 一般 (ordinary)";"切 (cut)";"There are no other HSK words in this level (or before) using this character.";"❈ 一切都在计划之中。";"<i>yīqièdūzài jìhuà zhīzhōng.</i><br></br>Everything is going according to plan.";"❈ 他把一切都安排好了。";"<i>tā bǎ yīqiè dōu ānpái hǎo le.</i><br></br>He has arranged everything.";"❈ 一切都会好起来的。";"<i>yīqiè dōu huì hǎo qǐlai de.</i><br></br>Everything will be fine.";"❈ 我会为你做一切。";"<i>wǒhuì wéi nǐ zuò yīqiè.</i><br></br>I will do everything for you.";"❈ 他已经准备好一切。";"<i>tā yǐjīng zhǔnbèi hǎo yīqiè.</i><br></br>He has everything ready."
"以⠀";"yǐ";"/to use/by means of/according to/in order to/because of/at (a certain date or place)//abbr. for Israel 以色列[Yǐ sè liè]; to use; by means of; according to; in order to; because of; at (a certain date or place)";"以 (to use)";"Other words using this character: 可以 (can); 以前 (before); 以为 (think)";"❈ 以中文为母语的人越来越多。";"<i>yǐ zhōngwén wéi mǔyǔ de rén yuèláiyuè duō.</i><br></br>There are more and more people whose mother tongue is Chinese.";"❈ 他以自己的方式解决了这个问题。";"<i>tā yǐ zìjǐ de fāngshì jiějué le zhège wèntí.</i><br></br>He solved the problem in his own way.";"❈ 以我的观察，这个问题并不难解决。";"<i>yǐ wǒ de guānchá, zhège wèntí bìng bùnán jiějué.</i><br></br>According to my observation, this problem is not difficult to solve.";"🐇 魏无羡以忘机剑为武器。";"<i>wèiwúxiànyǐ wàng jījiàn wéi wǔqì.</i><br></br>Wei Wuxian uses Suibian as his weapon.";"🐇 江澄以紫电为自己的武器。";"<i>jiāngchéngyǐ zǐdiànwéi zìjǐ de wǔqì.</i><br></br>Jiang Cheng uses Zidian as his weapon.";"♻🦝 假如你不想去，我们可以取消这次旅行。";"<i>jiǎrú nǐ bùxiǎng qù, wǒmen kěyǐ qǔxiāo zhècì lǚxíng.</i><br></br>If you don't want to go, we can cancel this trip."
"以为⠀";"yǐwéi";"/to think (i.e. to take it to be true that ...) (Usually there is an implication that the notion is mistaken – except when expressing one's own current opinion.)//to think (i.e. to take it to be true that ...) (Usually there is an implication that the notion is mistaken – except when expressing one's own current opinion.)";"以 (to use)";"Other words using this character: 可以 (can); 以前 (before); 以 (to use)";"为 (as)";"Other words using this character: 为什么 (why); 认为 (believe); 为 (as); 为了 (for); 成为 (become)";"❈ 他以为这个问题很简单。";"<i>tā yǐwéi zhège wèntí hěn jiǎndān.</i><br></br>He thought this problem was very simple.";"❈ 我以为他会来参加聚会。";"<i>wǒ yǐwéi tāhuìlái cānjiā jùhuì.</i><br></br>I thought he would come to the party.";"❈ 我以为今天会下雨。";"<i>wǒ yǐwéi jīntiān huì xiàyǔ.</i><br></br>I thought it would rain today.";"🐇 魏无羡以为蓝忘机不在意他。";"<i>wèiwúxiàn yǐwéi lánwàngjī bùzàiyì tā.</i><br></br>Wei Wuxian thought Lan Wangji didn't care about him.";"🐇 蓝曦臣以为蓝湛不喜欢他。";"<i>lánxīchén yǐwéi lánzhàn bù xǐhuan tā.</i><br></br>Lan Xichen thought Lan Zhan didn't like him.";"♻❈ 她吓了一跳，以为有人在后面。";"<i>tā xiàleyītiào, yǐwéi yǒurén zài hòumiàn.</i><br></br>She got a fright, thinking someone was behind her."
"意见⠀";"yìjiàn";"/idea/opinion/suggestion/objection/complaint/CL:點|点[dian3],條|条[tiao2]//idea/opinion/suggestion/objection/complaint/CL:点[diǎn],条[tiáo]";"意 (idea)";"Other words using this character: 意思 (idea); 满意 (satisfied); 同意 (agree); 愿意 (willing); 注意 (pay attention); 得意 (proud); 故意 (deliberately); 生意 (business); 主意 (plan)";"见 (to see)";"Other words using this character: 再见 (goodbye); 看见 (see); 见面 (meet)";"❈ 他对这个提案提出了一些意见。";"<i>tā duì zhège tíàn tíchū le yīxiē yìjiàn.</i><br></br>He raised some objections to this proposal.";"❈ 我想听听你的意见。";"<i>wǒ xiǎng tīngtīng nǐ de yìjiàn.</i><br></br>I would like to hear your opinion.";"❈ 如果你有任何意见，请告诉我。";"<i>rúguǒ nǐ yǒu rènhé yìjiàn, qǐng gàosu wǒ.</i><br></br>If you have any suggestions, please let me know.";"🐇 魏无羡对蓝忘机的意见总是很重视。";"<i>wèiwúxiàn duì lánwàngjī de yìjiàn zǒngshì hěn zhòngshì.</i><br></br>Wei Wuxian always values Lan Wangji's opinions.";"🐇 蓝曦臣听取众人意见后做出了决策。";"<i>lánxīchén tīngqǔ zhòngrén yìjiàn hòu zuòchū le juécè.</i><br></br>Lan Xichen made a decision after listening to everyone's opinions.";"♻🐇 蓝忘机从不擅自做主，而是尊重大家的意见。";"<i>lánwàngjī cóngbù shànzì zuòzhǔ, érshì zūnzhòng dàjiā de yìjiàn.</i><br></br>Lan Wangji never makes decisions on his own but respects everyone's opinions."
"艺术⠀";"yìshù";"/art//art";"艺 (art)";"There are no other HSK words in this level (or before) using this character.";"术 (technique)";"Other words using this character: 技术 (technology)";"❈ 她对艺术很有天赋。";"<i>tā duì yìshù hěn yǒu tiānfù.</i><br></br>She is very talented in art.";"❈ 这幅画是一件艺术品。";"<i>zhèfú huà shì yījiàn yìshùpǐn.</i><br></br>This painting is a work of art.";"❈ 他的艺术作品很有创意。";"<i>tā de yìshùzuòpǐn hěn yǒu chuàngyì.</i><br></br>His art pieces are very creative.";"❈ 她对艺术很感兴趣。";"<i>tā duì yìshù hěngǎnxīngqù.</i><br></br>She is very interested in art.";"❈ 他在学校学习艺术。";"<i>tā zài xuéxiào xuéxí yìshù.</i><br></br>He studies art at school."
"因此⠀";"yīncǐ";"/thus; consequently; as a result//thus; consequently; as a result";"因 (cause)";"Other words using this character: 原因 (cause)";"此 (this)";"There are no other HSK words in this level (or before) using this character.";"❈ 她很聪明，因此成绩很好。";"<i>tā hěn cōngming, yīncǐ chéngjì hěn hǎo.</i><br></br>She is very smart, so her grades are very good.";"❈ 我们需要更加努力，因此才能取得成功。";"<i>wǒmen xūyào gèngjiā nǔlì, yīncǐ cáinéng qǔdéchénggōng.</i><br></br>We need to work harder, thus we can achieve success.";"❈ 他很努力，因此成功了。";"<i>tā hěn nǔlì, yīncǐ chénggōng le.</i><br></br>He worked very hard, thus he succeeded.";"🐇 蓝湛和魏无羡一直合作默契，因此成为了出色的搭档。";"<i>lánzhàn hé wèiwúxiàn yīzhí hézuò mòqì, yīncǐ chéngwéi le chūsè de dādàng.</i><br></br>Lan Zhan and Wei Wuxian have been cooperating seamlessly, thus becoming outstanding partners.";"🐇 魏无羡受伤了，因此蓝忘机非常担心。";"<i>wèiwúxiàn shòushāng le, yīncǐ lánwàngjī fēicháng dānxīn.</i><br></br>Wei Wuxian is injured, thus Lan Wangji is very worried.";"♻🐇 金子轩是名人，但他并不因此而骄傲自满。";"<i>jīnzi xuānshì míngrén, dàn tā bìng bù yīncǐ ér jiāoàozìmǎn.</i><br></br>Jin Zixuan is a celebrity, but he is not proud because of it."
"引起⠀";"yǐnqǐ";"/to give rise to; to lead to; to cause; to arouse//to give rise to; to lead to; to cause; to arouse";"引 (to draw)";"Other words using this character: 吸引 (attract)";"起 (rise)";"Other words using this character: 对不起 (sorry); 一起 (together); 起床 (get up); 起来 (beginning); 起飞 (take off)";"❈ 他的言论引起了轩然大波。";"<i>tā de yánlùn yǐnqǐ le xuānrándàbō.</i><br></br>His remarks caused a great sensation.";"❈ 这个问题引起了很多争议。";"<i>zhège wèntí yǐnqǐ le hěnduō zhēngyì.</i><br></br>This issue has caused a lot of controversy.";"❈ 这个事件引起了社会的广泛关注。";"<i>zhège shìjiàn yǐnqǐ le shèhuì de guǎngfàn guānzhù.</i><br></br>This event has aroused widespread attention in society.";"🐇 蓝忘机的出现引起了一阵骚动，大家都惊讶地看着他。";"<i>lánwàngjī de chūxiàn yǐnqǐ le yīzhèn sāodòng, dàjiā dōu jīngyà dì kànzhe tā.</i><br></br>Lan Wangji's appearance caused a stir, and everyone looked at him in surprise.";"🐇 金凌的话引起了众人的共鸣，大家都对他表示认同。";"<i>jīnlíng dehuà yǐnqǐ le zhòngrén de gòngmíng, dàjiā dōu duì tā biǎoshì rèntóng.</i><br></br>Jin Ling's words aroused a resonance among the crowd, and everyone expressed their agreement with him.";"♻🐇 魏无羡擅自进入云深不知处，引起了轩辕剑的震动。";"<i>wèiwúxiàn shànzì jìnrù yúnshēn bùzhī chù, yǐnqǐ le xuānyuánjiàn de zhèndòng.</i><br></br>Wei Wuxian entered the Burial Mounds without permission, causing the Xuanwu of Slaughter to react."
"印象⠀";"yìnxiàng";"/impression (sth that stays in one's mind)/a memory//impression (sth that stays in one's mind)/a memory";"印 (print)";"Other words using this character: 打印 (print); 复印 (photocopy)";"象 (elephant)";"There are no other HSK words in this level (or before) using this character.";"❈ 她留下了美好的印象。";"<i>tā liúxià le měihǎo de yìnxiàng.</i><br></br>She left a good impression.";"❈ 这个城市给我的印象很深。";"<i>zhège chéngshì gěi wǒ de yìnxiàng hěnshēn.</i><br></br>This city left a deep impression on me.";"❈ 他的演讲给人留下了深刻的印象。";"<i>tā de yǎnjiǎng gěi rén liúxià le shēnkè de yìnxiàng.</i><br></br>His speech left a deep impression on people.";"🐇 金凌对蓝曦臣的印象是温和亲切，总是给他温暖的关怀。";"<i>jīnlíngduì lánxīchén de yìnxiàng shì wēnhé qīnqiè, zǒngshì gěi tā wēnnuǎn de guānhuái.</i><br></br>Jin Ling's impression of Lan Xichen is gentle and kind, always giving him warm care.";"🐇 蓝忘机留给人的印象总是冷峻高贵。";"<i>lánwàngjī liúgěi rén de yìnxiàng zǒngshì lěngjùn gāoguì.</i><br></br>The impression Lan Wangji leaves on people is always cold and noble.";"♻🐇 蓝曦臣的仪态优雅，姿势端庄，给人留下了深刻的印象。";"<i>lánxīchén de yítài yōuyǎ, zīshì duānzhuāng, gěi rén liúxià le shēnkè de yìnxiàng.</i><br></br>Lan Xichen's elegant demeanor and dignified posture left a deep impression on people."
"应聘⠀";"yìngpìn";"/to accept a job offer/to apply for an advertised position//to accept a job offer/to apply for an advertised position";"应 (respond)";"Other words using this character: 应该 (should); 适应 (adapt)";"聘 (engage)";"Other words using this character: 招聘 (recruit)";"❈ 我决定应聘这个职位，因为我对这个行业很感兴趣。";"<i>wǒ juédìng yìngpìn zhège zhíwèi, yīnwèi wǒ duì zhège hángyè hěngǎnxīngqù.</i><br></br>I decided to apply for this position because I am very interested in this industry.";"❈ 他应聘了这家知名公司的销售经理职位。";"<i>tā yìngpìn le zhèjiā zhīmíng gōngsī de xiāoshòu jīnglǐ zhíwèi.</i><br></br>He applied for the position of sales manager at this well-known company.";"❈ 她应聘了一家跨国公司的市场营销岗位。";"<i>tā yìngpìn le yījiā kuàguógōngsī de shìchǎngyíngxiāo gǎngwèi.</i><br></br>She applied for a marketing position at a multinational company.";"🐇 温情应聘为温氏的主治医师。";"<i>wēnqíng yìngpìn wéi wēnshì de zhǔzhìyīshī.</i><br></br>Wen Qing applied for the position of chief physician at the Wen sect.";"🐇 蓝曦臣应聘云深不知处的音乐教师。";"<i>lánxīchén yìngpìn yúnshēn bùzhī chù de yīnyuè jiàoshī.</i><br></br>Lan Xichen applied for the position of music teacher at Cloud Recesses."
"赢⠀";"yíng";"/to beat/to win/to profit//to beat/to win/to profit";"赢 (win)";"There are no other HSK words in this level (or before) using this character.";"❈ 他们的团队赢得了这次比赛。";"<i>tāmen de tuánduì yíngdé le zhècì bǐsài.</i><br></br>Their team won the game.";"❈ 他很努力，最终赢得了比赛。";"<i>tā hěn nǔlì, zuìzhōng yíngdé le bǐsài.</i><br></br>He worked very hard and finally won the game.";"❈ 不要害怕失败，只要努力就有可能赢。";"<i>bùyào hàipà shībài, zhǐyào nǔlì jiù yǒu kěnéng yíng.</i><br></br>Don't be afraid of failure, as long as you work hard, you may win.";"♻❈ 这个产品的优质赢得了很多客户的信赖。";"<i>zhège chǎnpǐn de yōuzhì yíngdé le hěnduō kèhù de xìnlài.</i><br></br>The excellent quality of this product has won the trust of many customers.";"♻❈ 这个产品的优质赢得了客户的信赖。";"<i>zhège chǎnpǐn de yōuzhì yíngdé le kèhù de xìnlài.</i><br></br>The excellent quality of this product has won the trust of customers.";"♻❈ 这个国家赢得了这场战役。";"<i>zhège guójiā yíngdé le zhèchǎng zhànyì.</i><br></br>The country won this military campaign."
"勇敢⠀";"yǒnggǎn";"/brave; courageous//brave; courageous";"勇 (brave)";"There are no other HSK words in this level (or before) using this character.";"敢 (dare)";"Other words using this character: 敢 (dare)";"❈ 他是一个勇敢的战士。";"<i>tā shì yīgè yǒnggǎn de zhànshì.</i><br></br>He is a brave soldier.";"❈ 勇敢的人会得到别人的尊重。";"<i>yǒnggǎnderén huì dédào biéren de zūnzhòng.</i><br></br>Brave people will earn the respect of others.";"❈ 她勇敢地面对了困难。";"<i>tā yǒnggǎn dìmiàn duì le kùnnán.</i><br></br>She bravely faced the difficulties.";"❈ 他是一个勇敢的人。";"<i>tā shì yīgè yǒnggǎnderén.</i><br></br>He is a brave person.";"❈ 勇敢的人不会轻易放弃。";"<i>yǒnggǎnderén bùhuì qīngyì fàngqì.</i><br></br>Brave people don't give up easily."
"永远⠀";"yǒngyuǎn";"/forever/eternal//forever/eternal";"永 (forever)";"There are no other HSK words in this level (or before) using this character.";"远 (far)";"Other words using this character: 远 (far)";"❈ 他们永远在一起。";"<i>tāmen yǒngyuǎn zài yīqǐ.</i><br></br>They are together forever.";"❈ 永远不要放弃希望。";"<i>yǒngyuǎn bùyào fàngqì xīwàng.</i><br></br>Never give up hope.";"❈ 这个爱情故事是永远的经典。";"<i>zhège àiqínggùshi shì yǒngyuǎn de jīngdiǎn.</i><br></br>This love story is an eternal classic.";"🐇 蓝曦臣的友情永远如初。";"<i>lánxīchén de yǒuqíng yǒngyuǎn rúchū.</i><br></br>Lan Xichen's friendship remains as pure as ever.";"🐇 蓝湛的誓言永远如山。";"<i>lánzhàn de shìyán yǒngyuǎn rú shān.</i><br></br>Lan Zhan's vow is as unchanging as a mountain.";"♻❈ 英雄的事迹将永远被人们传颂。";"<i>yīngxióng de shìjì jiàng yǒngyuǎn bèi rénmen chuánsòng.</i><br></br>The deeds of heroes will be forever sung by people."
"优点⠀";"yōudiǎn";"/merit/benefit/strong point/advantage/CL:個|个[ge4],項|项[xiang4]//merit/benefit/strong point/advantage/CL:个[gè],项[xiàng]";"优 (excellent)";"Other words using this character: 优秀 (outstanding)";"点 (point)";"Other words using this character: 一点儿 (a little); 点 (point); 地点 (place); 缺点 (shortcoming); 特点 (characteristic); 重点 (focus)";"❈ 她的优点是善良。";"<i>tā de yōudiǎn shì shànliáng.</i><br></br>Her strong point is kindness.";"❈ 这个产品的优点是价格便宜。";"<i>zhège chǎnpǐn de yōudiǎn shì jiàgébiànyí.</i><br></br>The benefit of this product is its low price.";"❈ 他的优点是耐心。";"<i>tā de yōudiǎn shì nàixīn.</i><br></br>His advantage is patience.";"🐇 温情的优点是善良和体贴。";"<i>wēnqíng de yōudiǎn shì shànliáng hé tǐtiē.</i><br></br>Wen Qing's benefit is her kindness and thoughtfulness.";"🐇 金凌的优点是聪明和勤奋。";"<i>jīnlíng de yōudiǎn shì cōngming hé qínfèn.</i><br></br>Jin Ling's strong points are his intelligence and diligence.";"🦝 他的优点是善于沟通和团队合作。";"<i>tā de yōudiǎn shì shànyú gōutōng hé tuánduì hézuò.</i><br></br>His advantage is good communication and teamwork."
"优秀⠀";"yōuxiù";"/outstanding; excellent//outstanding; excellent";"优 (excellent)";"Other words using this character: 优点 (merit)";"秀 (refined)";"There are no other HSK words in this level (or before) using this character.";"❈ 他是一位优秀的学生。";"<i>tā shì yīwèi yōuxiù de xuésheng.</i><br></br>He is an outstanding student.";"❈ 她的表现非常优秀。";"<i>tā de biǎoxiàn fēicháng yōuxiù.</i><br></br>Her performance is very excellent.";"❈ 这个团队取得了优秀的成绩。";"<i>zhège tuánduì qǔdé le yōuxiù de chéngjì.</i><br></br>This team has achieved excellent results.";"❈ 这个团队表现得非常优秀。";"<i>zhège tuánduì biǎoxiàn dé fēicháng yōuxiù.</i><br></br>This team performed exceptionally well.";"❈ 他是一个优秀的学生。";"<i>tā shì yīgè yōuxiù de xuésheng.</i><br></br>He is an outstanding student.";"❈ 她的演讲非常优秀。";"<i>tā de yǎnjiǎng fēicháng yōuxiù.</i><br></br>Her speech is excellent."
"幽默⠀";"yōumò";"/(loanword) humor/humorous//(loanword) humor/humorous";"幽 (remote)";"There are no other HSK words in this level (or before) using this character.";"默 (silent)";"There are no other HSK words in this level (or before) using this character.";"❈ 幽默是生活中的调味剂。";"<i>yōumò shì shēnghuó zhōng de tiáowèijì.</i><br></br>Humor is the seasoning of life.";"❈ 他的幽默感很好。";"<i>tā de yōumògǎn hěn hǎo.</i><br></br>His sense of humor is very good.";"❈ 她总是能够用幽默化解尴尬。";"<i>tā zǒngshì nénggòu yòng yōumò huàjiě gāngà.</i><br></br>She always manages to defuse embarrassment with humor.";"🐇 蓝曦臣的幽默总能化解尴尬的气氛。";"<i>lánxīchén de yōumò zǒngnéng huàjiě gāngà de qìfēn.</i><br></br>Lan Xichen's humor always dispels awkward atmospheres.";"🐇 蓝忘机的幽默感让人大跌眼镜。";"<i>lánwàngjī de yōumògǎn ràng rén dàdiēyǎnjìng.</i><br></br>Lan Wangji's sense of humor is quite surprising.";"♻🐇 魏无羡的幽默总是恰当地出现在适当的时候，让人忍俊不禁。";"<i>wèiwúxiàn de yōumò zǒngshì qiàdàng dì chūxiàn zài shìdàng de shíhou, ràng rén rěnjùnbùjīn.</i><br></br>Wei Wuxian's humor always appears appropriately at the right time, making people can't help but laugh."
"由⠀";"yóu";"/to follow/from/because of; due to/by; via; through/(before a noun and a verb) it is for ... to ...//to follow/from/because of; due to/by; via; through/(before a noun and a verb) it is for ... to ...";"由 (from)";"Other words using this character: 由于 (due to)";"❈ 这封信是由他亲自送来的。";"<i>zhè fēngxìn shì yóu tā qīnzì sònglái de.</i><br></br>This letter was personally delivered by him.";"❈ 由于天气原因，比赛被取消了。";"<i>yóuyú tiānqì yuányīn, bǐsài bèi qǔxiāo le.</i><br></br>The match was canceled due to the weather.";"❈ 这个项目由我们团队负责完成。";"<i>zhège xiàngmù yóu wǒmen tuánduì fùzé wánchéng.</i><br></br>This project is to be completed by our team.";"🐇 魏无羡的离开由于他的责任感。";"<i>wèiwúxiàn de líkāi yóuyú tā de zérèngǎn.</i><br></br>Wei Wuxian's departure is due to his sense of responsibility.";"🐇 这场战争由金光瑶挑起。";"<i>zhèchǎng zhànzhēng yóu jīnguāng yáo tiǎoqǐ.</i><br></br>This war was started by Jin Guangyao.";"♻❈ 我们将由此开始我们的旅程。";"<i>wǒmen jiàng yóucǐ kāishǐ wǒmen de lǚchéng.</i><br></br>We will start our journey from here."
"由于⠀";"yóuyú";"/due to/as a result of/thanks to/owing to/since/because//due to/as a result of/thanks to/owing to/since/because";"由 (from)";"Other words using this character: 由 (from)";"于 (to)";"Other words using this character: 关于 (pertaining to); 终于 (finally); 对于 (regarding); 于是 (thereupon)";"❈ 由于天气原因，比赛取消了。";"<i>yóuyú tiānqì yuányīn, bǐsài qǔxiāo le.</i><br></br>The match was canceled due to the weather.";"❈ 由于他的努力，他取得了成功。";"<i>yóuyú tā de nǔlì, tā qǔdé le chénggōng.</i><br></br>Thanks to his efforts, he succeeded.";"❈ 由于工作繁忙，他很少休息。";"<i>yóuyú gōngzuò fánmáng, tā hěnshǎo xiūxi.</i><br></br>Since he is busy with work, he rarely rests.";"🐇 魏无羡由于机智，所以能够化险为夷。";"<i>wèiwúxiàn yóuyú jīzhì, suǒyǐ nénggòu huàxiǎnwéiyí.</i><br></br>Wei Wuxian, thanks to his quick wit, is able to turn the tables.";"🐇 魏无羡由于过于调皮，所以经常惹祸。";"<i>wèiwúxiàn yóuyú guòyú tiáopí, suǒyǐ jīngcháng rěhuò.</i><br></br>Wei Wuxian, because of being too mischievous, often gets into trouble.";"♻❈ 由于天气原因，比赛被取消了。";"<i>yóuyú tiānqì yuányīn, bǐsài bèi qǔxiāo le.</i><br></br>The match was canceled due to the weather."
