我	wǒ	/I; me; my/
风气	fēngqì	/general mood/atmosphere/common practice/
风趣	fēngqù	/charm/humor/wit/humorous/witty/
风土人情	fēngtǔrénqíng	/local conditions and customs (idiom)/
风味	fēngwèi	/distinctive flavor/distinctive style/
封闭	fēngbì	/to close; to seal off/to close down (an illegal venue)/closed (i.e. isolated from outside input)/
封建	fēngjiàn	/system of enfeoffment/feudalism/feudal/feudalistic/
封锁	fēngsuǒ	/to blockade/to seal off/to lock down/
丰满	fēngmǎn	/ample/well developed/fully rounded/
丰盛	fēngshèng	/rich/sumptuous/
丰收	fēngshōu	/bumper harvest/
锋利	fēnglì	/sharp (e.g. knife blade)/incisive/to the point/
逢	féng	/to meet by chance/to come across/(of a calendar event) to come along/(of an event) to fall on (a particular day)/to fawn upon/
奉献	fèngxiàn	/to offer respectfully/to consecrate/to dedicate/to devote/
否决	fǒujué	/to veto/to overrule/
夫妇	fūfù	/a (married) couple/husband and wife/CL:對|对[dui4]/
夫人	fūrén	/lady/madam/Mrs./CL:位[wei4]/
敷衍	fūyǎn	/to elaborate (on a theme)/to expound (the classics)/perfunctory/to skimp/to botch/to do sth half-heartedly or just for show/barely enough to get by/
幅度	fúdù	/width/extent/range/scope/
服从	fúcóng	/to obey (an order)/to comply/to defer/
服气	fúqì	/to be convinced/to accept/
符号	fúhào	/symbol; mark; sign/
福利	fúlì	/material benefit/benefit in kind/(social) welfare/
福气	fúqi	/good fortune/a blessing/
俘虏	fúlǔ	/captive/
辐射	fúshè	/radiation/
腐败	fǔbài	/corruption/to corrupt/to rot/rotten/
腐烂	fǔlàn	/to rot/to putrefy/(fig.) corrupt/
腐蚀	fǔshí	/corrosion/to corrode (degrade chemically)/to rot/corruption/
腐朽	fǔxiǔ	/rotten/decayed/decadent/degenerate/
辅助	fǔzhù	/to assist; to aid/supplementary; auxiliary/
抚养	fǔyǎng	/to foster/to bring up/to raise/
抚摸	fǔmō	/to gently caress and stroke/to pet/to fondle/
俯视	fǔshì	/to overlook/to look down at/
富裕	fùyù	/prosperous; well-to-do; well-off/
副	fù	/secondary/auxiliary/deputy/assistant/vice-/abbr. for 副詞|副词 adverb/classifier for pairs, sets of things & facial expressions/
负担	fùdān	/to bear (an expense, a responsibility etc)/burden/
覆盖	fùgài	/to cover/
附和	fùhè	/to agree/to go along with/to echo (what sb says)/
附件	fùjiàn	/appendix (in a document)/enclosure (accompanying a document)/(email) attachment/accessory (for a car, computer etc)/(anatomy) adnexa/
附属	fùshǔ	/subsidiary/auxiliary/attached/affiliated/subordinate/subordinating/
复活	fùhuó	/to revive/(lit. and fig.) to come back to life/(religion) resurrection/
复兴	fùxīng	/to revive/to rejuvenate/
腹泻	fùxiè	/diarrhea/to have the runs/
赋予	fùyǔ	/to assign/to entrust (a task)/to give/to bestow/
改良	gǎiliáng	/to improve (sth)/to reform (a system)/
盖章	gàizhāng	/to affix a seal/to stamp (a document)/to sign off on sth/
钙	gài	/calcium (chemistry)/
干旱	gānhàn	/drought/arid/dry/
干扰	gānrǎo	/to disturb/to interfere/perturbation/interference (physics)/
干涉	gānshè	/to interfere/to meddle/interference/
干预	gānyù	/to meddle/to intervene/intervention/
尴尬	gāngà	/awkward; embarrassed/
感慨	gǎnkǎi	/to sigh with sorrow, regret etc/rueful/deeply moved/
感染	gǎnrǎn	/to infect; infection/(fig.) to influence/
干劲	gànjìn	/enthusiasm for doing sth/
纲领	gānglǐng	/program (i.e. plan of action)/guiding principle/
港口	gǎngkǒu	/port/harbor/
港湾	gǎngwān	/bay serving as a harbor/
岗位	gǎngwèi	/a post; a job/
杠杆	gànggǎn	/lever/pry bar/crowbar/financial leverage/
高超	gāochāo	/excellent/superlative/
高潮	gāocháo	/high tide; high water/upsurge; peak of activity/climax (of a story, a competition etc)/to have an orgasm/
高峰	gāofēng	/peak/summit/height/
高明	gāomíng	/brilliant; superior; wise/
高尚	gāoshàng	/noble/lofty/refined/exquisite/
高涨	gāozhǎng	/to surge up/to rise/(of tensions etc) to run high/
稿件	gǎojiàn	/piece of writing submitted for publication; manuscript; article/
告辞	gàocí	/to say goodbye/to take one's leave/
告诫	gàojiè	/to warn/to admonish/
割	gē	/to cut/to cut apart/
搁	gē	/to bear/to stand/to endure/
疙瘩	gēda	/swelling or lump on skin; pimple/knot; lump/preoccupation; problem/
歌颂	gēsòng	/to sing the praises of/to extol/to eulogize/
鸽子	gēzi	/pigeon/dove/various birds of the family Columbidae/
隔阂	géhé	/misunderstanding/estrangement/(language etc) barrier/
隔离	gélí	/to separate/to isolate/
格局	géjú	/structure/pattern/layout/
格式	géshi	/form/specification/format/
革命	gémìng	/to withdraw the mandate of heaven (and transition to a new dynasty) (original meaning)/revolution/revolutionary/to revolt (against sb or sth)/to revolutionize (sth)/(separable verb sometimes used in the pattern 革noun的命)/CL:次[ci4]/
个体	gètǐ	/individual/
各抒己见	gèshūjǐjiàn	/everyone gives their own view/
根深蒂固	gēnshēndìgù	/deep-rooted (problem etc)/
根源	gēnyuán	/origin/root (cause)/
跟前	gēnqián	/(of children, parents etc) at one's side; living with one/
跟随	gēnsuí	/to follow/
跟踪	gēnzōng	/to follow sb's tracks/to tail/to shadow/tracking/
耕地	gēngdì	/arable land/to plow land/
更新	gēngxīn	/to replace the old with new/to renew/to renovate/to upgrade/to update/to regenerate/
更正	gēngzhèng	/to correct/to make a correction/
公安局	gōng’ānjú	/public security bureau (government office similar in function to a police station)/
公道	gōngdao	/fair/equitable/
公告	gōnggào	/post/announcement/
公关	gōngguān	/public relations/
公民	gōngmín	/citizen/
公然	gōngrán	/openly/publicly/undisguised/
公认	gōngrèn	/publicly known (to be)/accepted (as)/
公式	gōngshì	/formula/
公务	gōngwù	/official business/
公正	gōngzhèng	/just; fair; equitable/
公证	gōngzhèng	/notarization/notarized/acknowledgement/
供不应求	gōngbúyìngqiú	/supply does not meet demand/
供给	gōngjǐ	/to furnish/to provide/supply (as in supply and demand)/
工艺品	gōngyìpǐn	/handicraft article/handiwork/CL:個|个[ge4]/
宫殿	gōngdiàn	/palace/CL:座[zuo4]/
功劳	gōngláo	/contribution/meritorious service/credit/
功效	gōngxiào	/efficacy/
攻击	gōngjī	/to attack/to accuse/to charge/an attack (terrorist or military)/
攻克	gōngkè	/to capture/to take/to overcome/to solve/
恭敬	gōngjìng	/deferential/respectful/
巩固	gǒnggù	/to consolidate/consolidation/to strengthen/
共和国	gònghéguó	/republic/
共计	gòngjì	/to sum up to/to total/
共鸣	gòngmíng	/(physics) to resonate; resonance/sympathetic response/
勾结	gōujié	/to collude with/to collaborate with/to gang up with/
钩子	gōuzi	/hook/
构思	gòusī	/to design/to plot/to plan out/to compose/to draw a mental sketch/conception/plan/idea/composition/
孤独	gūdú	/lonely/solitary/
孤立	gūlì	/to isolate/isolated/unrelated; irrelevant/
辜负	gūfù	/to fail to live up (to expectations)/unworthy (of trust)/to let down/to betray (hopes)/to disappoint/
姑且	gūqiě	/for the time being; tentatively/
古董	gǔdǒng	/curio/antique/
古怪	gǔguài	/strange/weird/eccentric/bizarre/
股东	gǔdōng	/shareholder/stockholder/
股份	gǔfèn	/a share (in a company)/stock/
鼓动	gǔdòng	/to urge (an activity that may be beneficial, harmful or neutral); to encourage; to agitate; to instigate; to incite/to beat; to flap (wings, a fan etc)/
骨干	gǔgàn	/diaphysis (long segment of a bone)/fig. backbone/
固然	gùrán	/admittedly (it's true that...)/
固体	gùtǐ	/solid/
固有	gùyǒu	/intrinsic to sth/inherent/native/
固执	gùzhi	/obstinate/stubborn/to fixate on/to cling to/
顾虑	gùlǜ	/misgivings; apprehensions/to worry about; to be concerned about/
顾问	gùwèn	/adviser/consultant/
故乡	gùxiāng	/home/homeland/native place/CL:個|个[ge4]/
故障	gùzhàng	/malfunction/breakdown/defect/shortcoming/fault/failure/impediment/error/bug (in software)/
雇佣	gùyōng	/to employ/to hire/
拐杖	guǎizhàng	/crutches/crutch/walking stick/
关怀	guānhuái	/care/solicitude/to show care for/concerned about/attentive to/
关照	guānzhào	/to take care/to keep an eye on/to look after/to tell/to remind/
官方	guānfāng	/government/official (approved or issued by an authority)/
观光	guānguāng	/to tour/sightseeing/tourism/
管辖	guǎnxiá	/to administer/to have jurisdiction (over)/
罐	guàn	/variant of 罐[guan4]/
贯彻	guànchè	/to implement/to put into practice/to carry out/
灌溉	guàngài	/to irrigate/
惯例	guànlì	/convention/usual practice/
光彩	guāngcǎi	/luster/splendor/radiance/brilliance/
光辉	guānghuī	/radiance/glory/brilliant/magnificent/
光芒	guāngmáng	/rays of light/brilliant rays/radiance/
光荣	guāngróng	/honor and glory/glorious/
广阔	guǎngkuò	/wide/vast/
规范	guīfàn	/norm/standard/specification/regulation/rule/within the rules/to fix rules/to regulate/to specify/
规格	guīgé	/standard/norm/specification/
规划	guīhuà	/to draw up a plan; to map out a program/a plan; a program/
规章	guīzhāng	/rule; regulation/
归根到底	guīgēndàodǐ	/after all/in the final analysis/ultimately/
归还	guīhuán	/to return sth/to revert/
轨道	guǐdào	/track (for trains etc)/orbit (of a satellite)/(fig.) a person's established path in life/desired trajectory (of a business or other endeavor)/(audio engineering) track/(quantum mechanics) orbital/
跪	guì	/to kneel/
贵族	guìzú	/lord/nobility/nobleman/noblewoman/aristocrat/aristocracy/
棍棒	gùnbàng	/club; staff; stick/
国防	guófáng	/national defense/
国务院	guówùyuàn	/State Council (PRC)/State Department (USA)/
果断	guǒduàn	/firm/decisive/
过度	guòdù	/excessive/over-/excess/going too far/extravagant/intemperate/overdue/
过渡	guòdù	/to cross over (by ferry)/transition/interim/caretaker (administration)/
过奖	guòjiǎng	/to overpraise/to flatter/
过滤	guòlǜ	/to filter/filter/
过失	guòshī	/error/fault/(law) negligence/delinquency/
过问	guòwèn	/to show an interest in/to get involved with/
过瘾	guòyǐn	/to satisfy a craving/to get a kick out of sth/gratifying/immensely enjoyable/satisfying/fulfilling/
过于	guòyú	/excessively; too/
嗨	hāi	/oh alas/hey!/hi! (loanword)/a high (natural or drug-induced) (loanword)/
海拔	hǎibá	/height above sea level/elevation/
海滨	hǎibīn	/shore/seaside/
含糊	hánhu	/ambiguous/vague/careless/perfunctory/
含义	hányì	/meaning (implicit in a phrase)/implied meaning/hidden meaning/hint/connotation/
寒暄	hánxuān	/to exchange conventional greetings; to exchange pleasantries/
罕见	hǎnjiàn	/rare/rarely seen/
捍卫	hànwèi	/to defend/to uphold/to safeguard/
航空	hángkōng	/aviation/
航天	hángtiān	/space flight/
航行	hángxíng	/to sail/to fly/to navigate/
行列	hángliè	/formation/array/(fig.) ranks (as in "join the ranks of ...")/
豪迈	háomài	/bold/open-minded/heroic/
毫米	háomǐ	/millimeter/
毫无	háowú	/not in the least/to completely lack/
号召	hàozhào	/to call/to appeal/
耗费	hàofèi	/to waste/to spend/to consume/to squander/
呵	hē	/expel breath/my goodness/
和蔼	hé’ǎi	/kindly/nice/amiable/
和解	héjiě	/to settle (a dispute out of court)/to reconcile/settlement/conciliation/to become reconciled/
和睦	hémù	/peaceful relations/harmonious/
和气	héqi	/friendly/polite/amiable/
和谐	héxié	/harmonious/harmony/(euphemism) to censor/
合并	hébìng	/to merge/to annex/
合成	héchéng	/to compose/to constitute/compound/synthesis/mixture/synthetic/
合伙	héhuǒ	/to act jointly/to form a partnership/
合算	hésuàn	/worthwhile/to be a good deal/to be a bargain/to reckon up/to calculate/
嘿	hēi	/hey/
痕迹	hénjì	/vestige/mark/trace/
狠心	hěnxīn	/callous; heartless/to resolve (to do sth)/firm resolve (as in 下狠心[xia4 hen3 xin1])/
恨不得	hènbude	/wishing one could do sth; to hate to be unable; itching to do sth/
哼	hēng	/to groan/to snort/to hum/to croon/humph!/
横	héng	/harsh and unreasonable/unexpected/
哄	hōng	/tumult/uproar/commotion/disturbance/
烘	hōng	/to bake/to heat by fire/to set off by contrast/
轰动	hōngdòng	/to cause a sensation/to create a stir in (a place)/commotion/controversy/
宏观	hóngguān	/macro-/macroscopic/holistic/
宏伟	hóngwěi	/grand/imposing/magnificent/
洪水	hóngshuǐ	/deluge; flood/
喉咙	hóulóng	/the throat/
吼	hǒu	/to roar/to howl/to shriek/roar or howl of an animal/bellow of rage/
后代	hòudài	/descendant; progeny/posterity; later ages; later generations/
后顾之忧	hòugùzhīyōu	/fears of trouble in the rear (idiom); family worries (obstructing freedom of action)/worries about the future consequences/often in negative expressions, meaning "no worries about anything"/
后勤	hòuqín	/logistics/
候选	hòuxuǎn	/candidate (attributive)/
忽略	hūlüè	/to neglect; to overlook; to ignore/
呼唤	hūhuàn	/to call out (a name etc)/to shout/
呼啸	hūxiào	/to whistle; to scream; to whiz/
呼吁	hūyù	/to call on (sb to do sth)/to appeal (to)/an appeal/
胡乱	húluàn	/careless/reckless/casually/absent-mindedly/at will/at random/any old how/
胡须	húxū	/beard/CL:根[gen1],綹|绺[liu3]/
湖泊	húpō	/lake/
花瓣	huābàn	/petal/CL:片[pian4]/
花蕾	huālěi	/bud/flower bud/
华丽	huálì	/gorgeous/
华侨	huáqiáo	/overseas Chinese/(in a restricted sense) Chinese emigrant who still retains Chinese nationality/CL:個|个[ge4],位[wei4],名[ming2]/
画蛇添足	huàshétiānzú	/lit. draw legs on a snake (idiom); fig. to ruin the effect by adding sth superfluous/to overdo it/
化肥	huàféi	/fertilizer/
化石	huàshí	/fossil/
化验	huàyàn	/chemical examination/to do a lab test/
化妆	huàzhuāng	/to put on makeup/
划分	huàfēn	/to divide up/to partition/to differentiate/
话筒	huàtǒng	/microphone/(telephone) receiver; handset/megaphone/(fig.) mouthpiece; spokesperson/
欢乐	huānlè	/gaiety/gladness/glee/merriment/pleasure/happy/joyous/gay/
还原	huányuán	/to restore to the original state/to reconstruct (an event)/reduction (chemistry)/
环节	huánjié	/(zoology) segment (of the body of a worm, centipede etc)/(fig.) a part of an integrated whole: aspect (of a project), element (of a policy), sector (of the economy), stage (of a process) etc/
缓和	huǎnhé	/to ease (tension)/to alleviate/to moderate/to allay/to make more mild/
患者	huànzhě	/patient; sufferer/
荒凉	huāngliáng	/desolate/
荒谬	huāngmiù	/absurd/ridiculous/
荒唐	huāngtáng	/beyond belief/preposterous/absurd/intemperate/dissipated/
黄昏	huánghūn	/dusk/evening/nightfall/
皇帝	huángdì	/emperor/CL:個|个[ge4]/
皇后	huánghòu	/empress/imperial consort/
晃	huǎng	/to sway/to shake/to wander about/
恍然大悟	huǎngrándàwù	/to suddenly realize; to suddenly see the light/
挥霍	huīhuò	/to squander money/extravagant/prodigal/free and easy/agile/
辉煌	huīhuáng	/splendid/glorious/
回报	huíbào	/(in) return/reciprocation/payback/retaliation/to report back/to reciprocate/
回避	huíbì	/to shun/to avoid (sb)/to skirt/to evade (an issue)/to step back/to withdraw/to recuse (a judge etc)/
回顾	huígù	/to look back/to review/
回收	huíshōu	/to recycle/to reclaim/to retrieve/to recover/to recall (a defective product)/
悔恨	huǐhèn	/remorse/repentance/
毁灭	huǐmiè	/to perish/to ruin/to destroy/
会晤	huìwù	/to meet/meeting/conference/
汇报	huìbào	/to report/to give an account of/report/
贿赂	huìlù	/to bribe/a bribe/
昏迷	hūnmí	/to lose consciousness/to be in a coma/stupor/coma/stunned/disoriented/
荤	hūn	/strong-smelling vegetable (garlic etc)/non-vegetarian food (meat, fish etc)/vulgar/obscene/
浑身	húnshēn	/all over/from head to foot/
混合	hùnhé	/to mix; to blend/hybrid; composite/
混乱	hùnluàn	/confusion/chaos/disorder/
混淆	hùnxiáo	/to obscure/to confuse/to mix up/to blur/to mislead/
混浊	hùnzhuó	/turbid/muddy/dirty/
活该	huógāi	/(coll.) serve sb right/deservedly/ought/should/
活力	huólì	/energy/vitality/vigor/vital force/
火箭	huǒjiàn	/rocket/CL:枚[mei2]/
火焰	huǒyàn	/blaze/flame/
火药	huǒyào	/gunpowder/
货币	huòbì	/currency/monetary/money/
基地	jīdì	/base (of operations)/industrial or military base/al-Qaeda/
基金	jījīn	/fund/
基因	jīyīn	/gene (loanword)/
机动	jīdòng	/locomotive/motorized/power-driven/adaptable/flexible (use, treatment, timing etc)/
机构	jīgòu	/mechanism/structure/organization/agency/institution/CL:所[suo3]/
机灵	jīling	/clever/quick-witted/
机密	jīmì	/secret/classified (information)/
机械	jīxiè	/machine/machinery/mechanical/(old) cunning/scheming/
机遇	jīyù	/opportunity/favorable circumstance/stroke of luck/
机智	jīzhì	/quick-witted/resourceful/
激发	jīfā	/to arouse/to stimulate/(physics) to excite/
激励	jīlì	/to encourage/to urge/motivation/incentive/
激情	jīqíng	/passion/fervor/enthusiasm/strong emotion/
饥饿	jī’è	/hunger/starvation/famine/
讥笑	jīxiào	/to sneer/
极端	jíduān	/extreme/
极限	jíxiàn	/limit/extreme boundary/
即便	jíbiàn	/even if/even though/right away/immediately/
即将	jíjiāng	/on the eve of/to be about to/to be on the verge of/
级别	jíbié	/(military) rank/level/grade/
疾病	jíbìng	/disease; sickness; ailment/
嫉妒	jídù	/to be jealous of; to envy/
及早	jízǎo	/at the earliest possible time; as soon as possible/
急功近利	jígōngjìnlì	/seeking instant benefit (idiom); shortsighted vision, looking only for fast return/
急剧	jíjù	/rapid; sudden/
急切	jíqiè	/eager/impatient/
急于求成	jíyúqiúchéng	/anxious for quick results (idiom); to demand instant success/impatient for result/impetuous/
急躁	jízào	/irritable; irascible/impetuous/
籍贯	jíguàn	/one's native place/place of ancestry/registered birthplace/
集团	jítuán	/group/bloc/corporation/conglomerate/
吉祥	jíxiáng	/lucky/auspicious/propitious/
给予	jǐyǔ	/(literary) to give; to accord; to render/
寄托	jìtuō	/to entrust (to sb)/to place (one's hope, energy etc) in/a thing in which one invests (one's hope, energy etc)/
继承	jìchéng	/to inherit/to succeed to (the throne etc)/to carry on (a tradition etc)/
记性	jìxing	/memory (ability to retain information)/
记载	jìzǎi	/to write down/to record/written account/
季度	jìdù	/quarter of a year/season (sports)/
季军	jìjūn	/third in a race/bronze medalist/
计较	jìjiào	/to bother about/to haggle/to bicker/to argue/plan/stratagem/
忌讳	jìhuì	/taboo/to avoid as taboo/to abstain from/
寂静	jìjìng	/quiet/
纪要	jìyào	/minutes/written summary of a meeting/
技巧	jìqiǎo	/skill/technique/
迹象	jìxiàng	/sign; indication; mark; indicator/
家常	jiācháng	/the daily life of a family/
家伙	jiāhuo	/household dish, implement or furniture/domestic animal/(coll.) guy/chap/weapon/
家属	jiāshǔ	/family member/(family) dependent/
家喻户晓	jiāyùhùxiǎo	/understood by everyone (idiom); well known/a household name/
加工	jiāgōng	/to process/processing/working (of machinery)/
加剧	jiājù	/to intensify/
佳肴	jiāyáo	/fine food/delicacies/delicious food/
夹杂	jiāzá	/to mix together (disparate substances)/to mingle/a mix/to be tangled up with/
煎	jiān	/to pan fry/to sauté/
坚定	jiāndìng	/firm/steady/staunch/resolute/
坚固	jiāngù	/firm/firmly/hard/stable/
坚韧	jiānrèn	/tough and durable/tenacious/
坚实	jiānshí	/firm and substantial/solid/
坚硬	jiānyìng	/hard/solid/
监督	jiāndū	/to control/to supervise/to inspect/
监视	jiānshì	/to monitor/to keep a close watch over/surveillance/
监狱	jiānyù	/prison/
尖端	jiānduān	/sharp pointed end/the tip/the cusp/tip-top/most advanced and sophisticated/highest peak/the best/
尖锐	jiānruì	/sharp/intense/penetrating/pointed/acute (illness)/
艰难	jiānnán	/difficult/hard/challenging/
拣	jiǎn	/to choose/to pick/to sort out/to pick up/
剪彩	jiǎncǎi	/to cut the ribbon (at a launching or opening ceremony)/
检讨	jiǎntǎo	/to examine or inspect/self-criticism/review/
检验	jiǎnyàn	/to inspect/to examine/to test/
简化	jiǎnhuà	/to simplify/
简陋	jiǎnlòu	/simple and crude/
简体字	jiǎntǐzì	/simplified Chinese character, as opposed to traditional Chinese character 繁體字|繁体字[fan2 ti3 zi4]/
简要	jiǎnyào	/concise/brief/
溅	jiàn	/to splash/
鉴别	jiànbié	/to differentiate; to distinguish/
鉴定	jiàndìng	/to appraise/to identify/to evaluate/
鉴于	jiànyú	/in view of/seeing that/considering/whereas/
间谍	jiàndié	/spy/
间隔	jiàngé	/gap/interval/compartment/to divide/to separate/to leave a gap of (two weeks, three meters etc)/
间接	jiànjiē	/indirect/
见多识广	jiànduōshíguǎng	/experienced and knowledgeable (idiom)/
见解	jiànjiě	/opinion/view/understanding/
见闻	jiànwén	/what one has seen and heard/knowledge/one's experience/
见义勇为	jiànyìyǒngwéi	/to see what is right and act courageously (idiom, from Analects); to stand up bravely for the truth/acting heroically in a just cause/
健全	jiànquán	/robust/sound/
践踏	jiàntà	/to trample/
舰艇	jiàntǐng	/warship/naval vessel/
剑	jiàn	/variant of 劍|剑[jian4]/
将近	jiāngjìn	/almost/nearly/close to/
将军	jiāngjūn	/general/high-ranking military officer/to check or checkmate/fig. to embarrass/to challenge/to put sb on the spot/
将就	jiāng jiù	/to accept (a bit reluctantly)/to put up with/
僵硬	jiāngyìng	/stiff; rigid/
桨	jiǎng	/oar; paddle/CL:隻|只[zhi1]/
奖励	jiǎnglì	/to reward/reward (as encouragement)/
奖赏	jiǎngshǎng	/reward; prize; award/
降临	jiànglín	/to descend/to arrive/to come/
交叉	jiāochā	/to cross/to intersect/to overlap/
交代	jiāodài	/to transfer (duties to sb else)/to give instructions; to tell (sb to do sth)/to explain; to give an account; to brief/to confess; to account for oneself/(jocular) to come to a bad end/
交涉	jiāoshè	/to negotiate (with)/to have dealings (with)/
交易	jiāoyì	/to deal; to trade; to transact/transaction; deal/CL:筆|笔[bi3]/
焦点	jiāodiǎn	/focal point; focus (lit. and fig.)/
焦急	jiāojí	/anxiety/anxious/
娇气	jiāoqì	/delicate/squeamish/finicky/
角落	jiǎoluò	/nook; corner/
搅拌	jiǎobàn	/to stir/to agitate/
缴纳	jiǎonà	/to pay (taxes etc)/
侥幸	jiǎoxìng	/luckily/by a fluke/
教养	jiàoyǎng	/to educate; to bring up; to nurture/upbringing; breeding; culture/
较量	jiàoliàng	/to pit oneself against sb/to compete with sb/contest/battle/to haggle/to quibble/
皆	jiē	/all/each and every/in all cases/
接连	jiēlián	/on end/in a row/in succession/
阶层	jiēcéng	/social class/
揭露	jiēlù	/to expose/to unmask/to ferret out/to disclose/disclosure/
节奏	jiézòu	/rhythm/tempo/musical pulse/cadence/beat/
节制	jiézhì	/to control/to restrict/to moderate/to temper/moderation/sobriety/to administer/
杰出	jiéchū	/outstanding/distinguished/remarkable/prominent/illustrious/
结晶	jiéjīng	/to crystallize/crystallization/crystal/crystalline/(fig.) the fruit (of labor etc)/
结局	jiéjú	/conclusion/ending/
结算	jiésuàn	/to settle a bill; to close an account/
竭尽全力	jiéjìnquánlì	/to spare no effort (idiom); to do one's utmost/
截至	jiézhì	/up to (a time)/by (a time)/
截止	jiézhǐ	/to close/to stop/to put a stop to sth/cut-off point/stopping point/deadline/
解除	jiěchú	/to remove/to sack/to get rid of/to relieve (sb of their duties)/to free/to lift (an embargo)/to rescind (an agreement)/
解放	jiěfàng	/to liberate/to emancipate/liberation/refers to the Communists' victory over the Nationalists in 1949/CL:次[ci4]/
解雇	jiěgù	/to fire/to sack/to dismiss/to terminate employment/
解剖	jiěpōu	/to dissect (an animal)/to analyze/anatomy/
解散	jiěsàn	/to dissolve/to disband/
解体	jiětǐ	/to break up into components/to disintegrate/to collapse/to crumble/
借鉴	jièjiàn	/to draw on (others' experience)/to learn from (how others do things)/lesson to be learned (by observing others)/
借助	jièzhù	/to draw support from/with the help of/
戒备	jièbèi	/to take precautions/to guard against (emergency)/
界限	jièxiàn	/boundary/
津津有味	jīnjīnyǒuwèi	/with keen interest (idiom)/with great pleasure/with gusto/eagerly/
金融	jīnróng	/banking/finance/financial/
紧迫	jǐnpò	/pressing/urgent/
锦上添花	jǐnshàngtiānhuā	/lit. add flowers to brocade (idiom)/fig. to give sth additional splendor/to provide the crowning touch/(derog.) to benefit sb who is already well off/
进而	jìn’ér	/and then (what follows next)/
进攻	jìngōng	/to attack/to assault/to go on the offensive/attack/assault/offense (sports)/
进化	jìnhuà	/evolution/CL:個|个[ge4]/
进展	jìnzhǎn	/to make headway; to make progress/
近来	jìnlái	/recently/lately/
浸泡	jìnpào	/to steep/to soak/to immerse/
晋升	jìnshēng	/to promote to a higher position/
茎	jīng	/stalk/stem/CL:條|条[tiao2]/
精打细算	jīngdǎxìsuàn	/meticulous planning and careful accounting (idiom)/
精华	jīnghuá	/best feature/most important part of an object/quintessence/essence/soul/
精简	jīngjiǎn	/to simplify/to reduce/
精密	jīngmì	/accuracy/exact/precise/refined/
精确	jīngquè	/accurate; precise/
精通	jīngtōng	/to be proficient in/to master (a subject)/
精心	jīngxīn	/with utmost care/fine/meticulous/detailed/
精益求精	jīngyìqiújīng	/(idiom) to constantly seek to improve; to keep perfecting/
精致	jīngzhì	/delicate; fine; exquisite; refined/
经费	jīngfèi	/funds/expenditure/CL:筆|笔[bi3]/
经纬	jīngwěi	/warp and woof/longitude and latitude/main points/
惊动	jīngdòng	/to alarm/to startle/to disturb/
惊奇	jīngqí	/to be amazed/to be surprised/to wonder/
惊讶	jīngyà	/amazed/astonished/to surprise/amazing/astonishment/awe/
兢兢业业	jīngjīngyèyè	/(idiom) conscientious/assiduous/
井	jǐng	/a well/CL:口[kou3]/neat/orderly/
警告	jǐnggào	/to warn/to admonish/
警惕	jǐngtì	/to be on the alert/vigilant/alert/on guard/to warn/
颈椎	jǐngzhuī	/cervical vertebra/the seven cervical vertebrae in the neck of humans and most mammals/
敬礼	jìnglǐ	/to salute/salute/
敬业	jìngyè	/dedicated to one's work/
境界	jìngjiè	/boundary/state/realm/
竞赛	jìngsài	/to compete; to race/contest; competition; match; race/
竞选	jìngxuǎn	/to take part in an election/to run for office/
镜头	jìngtóu	/camera lens/camera shot (in a movie etc)/scene/
纠纷	jiūfēn	/dispute/
纠正	jiūzhèng	/to correct/to make right/
酒精	jiǔjīng	/alcohol/ethanol CH3CH2OH/ethyl alcohol/also written 乙醇/grain alcohol/
救济	jiùjì	/emergency relief/to help the needy with cash or goods/
就近	jiùjìn	/nearby/in a close neighborhood/
就业	jiùyè	/to get a job/employment/
就职	jiùzhí	/to take office; to assume a post/
鞠躬	jūgōng	/to bow/(literary) to bend down/
拘留	jūliú	/to detain (a prisoner)/to keep sb in custody/
拘束	jūshù	/to restrict/to restrain/constrained/awkward/ill at ease/uncomfortable/reticent/
居民	jūmín	/resident; inhabitant/
居住	jūzhù	/to reside/to dwell/to live in a place/resident in/
局部	júbù	/part/local/
局面	júmiàn	/aspect/phase/situation/
局势	júshì	/situation/state (of affairs)/
局限	júxiàn	/to limit/to confine/to restrict sth within set boundaries/
举动	jǔdòng	/act/action/activity/move/movement/
举世瞩目	jǔshìzhǔmù	/to receive worldwide attention/
举足轻重	jǔzúqīngzhòng	/to play a critical role (idiom)/influential/
咀嚼	jǔjué	/to chew/to think over/
沮丧	jǔsàng	/dispirited/dejected/dismayed/
剧本	jùběn	/script for play, opera, movie etc/screenplay/scenario/
剧烈	jùliè	/violent; acute; severe; fierce/
聚精会神	jùjīnghuìshén	/to concentrate one's attention (idiom)/
据悉	jùxī	/according to reports/it is reported (that)/
卷	juǎn	/to roll up/to sweep up; to carry along/a roll/classifier for rolls, spools etc/
决策	juécè	/strategic decision/decision-making/policy decision/to determine policy/
觉悟	juéwù	/to come to understand/to realize/consciousness/awareness/Buddhist enlightenment (Sanskrit: cittotpāda)/
觉醒	juéxǐng	/to awaken/to come to realize/awakened to the truth/the truth dawns upon one/scales fall from the eyes/to become aware/
绝望	juéwàng	/to despair/to give up all hope/desperate/desperation/
倔强	juéjiàng	/stubborn; obstinate; unbending/
军队	jūnduì	/armed forces; troops/CL:支[zhi1],個|个[ge4]/
君子	jūnzǐ	/nobleman/person of noble character/
卡通	kǎtōng	/cartoon (loanword)/
