唉	āi	/alas/oh dear/
肌肉	jīròu	/muscle/flesh/
极其	jíqí	/extremely/
集体	jítǐ	/collective (decision)/joint (effort)/a group/a team/en masse/as a group/
急忙	jímáng	/hastily/
记录	jìlù	/to record/record (written account)/note-taker/record (in sports etc)/CL:個|个[ge4]/
计算	jìsuàn	/to count/to calculate/to compute/CL:個|个[ge4]/
系领带	jìlǐngdài	to tie a necktie; wear a tie
纪律	jìlǜ	/discipline/
寂寞	jìmò	/lonely/lonesome/(of a place) quiet/silent/
家庭	jiātíng	/family/household/CL:戶|户[hu4],個|个[ge4]/
家乡	jiāxiāng	/hometown/native place/CL:個|个[ge4]/
夹子	jiāzi	/clip/clamp/tongs/folder/wallet/
假设	jiǎshè	/to suppose/to presume/to assume/supposing that .../if/hypothesis/conjecture/
嫁	jià	/(of a woman) to marry/to marry off a daughter/to shift (blame etc)/
价值	jiàzhí	/value/worth/fig. values (ethical, cultural etc)/CL:個|个[ge4]/
肩膀	jiānbǎng	/shoulder/
坚决	jiānjué	/firm; resolute; determined/
艰巨	jiānjù	/arduous/terrible (task)/very difficult/formidable/
兼职	jiānzhí	/to hold concurrent posts/concurrent job/moonlighting/
简历	jiǎnlì	/curriculum vitae (CV)/résumé/biographical notes/
剪刀	jiǎndāo	/scissors/CL:把[ba3]/
建立	jiànlì	/to establish/to set up/to found/
讲究	jiǎngjiu	/to pay particular attention to/carefully selected for quality/tastefully chosen/
交际	jiāojì	/communication/social intercourse/
胶水	jiāoshuǐ	/glue/
狡猾	jiǎohuá	/crafty; cunning; sly/
教练	jiàoliàn	/instructor/sports coach/trainer/CL:個|个[ge4],位[wei4],名[ming2]/
接触	jiēchù	/to touch/to contact/access/in touch with/
接近	jiējìn	/to approach; to get close to/
阶段	jiēduàn	/stage/section/phase/period/CL:個|个[ge4]/
戒指	jièzhi	/(finger) ring/
金属	jīnshǔ	/metal/CL:種|种[zhong3]/
进口	jìnkǒu	/to import/imported/entrance/inlet (for the intake of air, water etc)/
尽力	jìnlì	/to strive one's hardest; to spare no effort/
精力	jīnglì	/energy/
经商	jīngshāng	/to trade/to carry out commercial activities/in business/
经营	jīngyíng	/to engage in (business etc); to run; to operate/
酒吧	jiǔbā	/bar/pub/saloon/CL:家[jia1]/
救护车	jiùhùchē	/ambulance/CL:輛|辆[liang4]/
居然	jūrán	/unexpectedly/to one's surprise/go so far as to/
具体	jùtǐ	/concrete; specific; detailed/
俱乐部	jùlèbù	/club (the organisation or its premises) (loanword)/CL:個|个[ge4]/
据说	jùshuō	/it is said that; reportedly/
捐	juān	/to relinquish; to abandon/to contribute; to donate/(bound form) tax; levy/
决心	juéxīn	/determination/resolution/determined/firm and resolute/to make up one's mind/CL:個|个[ge4]/
角色	juésè	/role; part (in a play or movie etc)/
均匀	jūnyún	/even/well-distributed/homogeneous/well-proportioned (figure, body etc)/
卡车	kǎchē	/truck/CL:輛|辆[liang4]/
开发	kāifā	/to exploit (a resource); to open up (for development); to develop/
开幕式	kāimùshì	/opening ceremony/
看望	kànwàng	/to pay a visit to; to see (sb)/
靠	kào	/to lean against or on/to stand by the side of/to come near to/to depend on/to trust/to fuck (vulgar)/traditional military costume drama where the performers wear armor (old)/
颗	kē	/classifier for small spheres, pearls, corn grains, teeth, hearts, satellites etc/
可靠	kěkào	/reliable/
课程	kèchéng	/course/academic program/CL:堂[tang2],節|节[jie2],門|门[men2]/
克服	kèfú	/(try to) overcome (hardships etc)/to conquer/to put up with/to endure/
刻苦	kèkǔ	/hardworking/assiduous/
空间	kōngjiān	/space; room/(fig.) scope; leeway/(astronomy) outer space/(physics, math.) space/
空闲	kòngxián	/leisure; spare time/(of a person) free; unoccupied/(of equipment, rooms etc) unoccupied; unused; idle; vacant; spare/
夸张	kuāzhāng	/to exaggerate/overstated; exaggerated/hyperbole/(coll.) excessive; ridiculous; outrageous/
会计	kuàijì	/accountant/accountancy/accounting/
宽	kuān	/wide/broad/loose/relaxed/lenient/
昆虫	kūnchóng	/insect/CL:隻|只[zhi1],群[qun2],堆[dui1]/
拦	lán	/to block sb's path/to obstruct/to flag down (a taxi)/
朗读	lǎngdú	/to read aloud/
劳驾	láojià	/excuse me/
老百姓	lǎobǎixìng	/ordinary people/the "person in the street"/CL:個|个[ge4]/
老实	lǎoshi	/honest; sincere/well-behaved/naive; gullible/
老婆	lǎopó	/(coll.) wife/
乐观	lèguān	/optimistic; hopeful/
雷	léi	/thunder/(bound form) (military) mine, as in 地雷[di4 lei2] land mine/(coll.) to shock; to stun; to astound/(Tw) (coll.) spoiler/(Tw) (coll.) to reveal plot details to (sb)/
类型	lèixíng	/type; kind; category/(computer programming) type/
冷淡	lěngdàn	/cold/indifferent/
梨	lí	/pear/CL:個|个[ge4]/
离婚	líhūn	/to divorce/
厘米	límǐ	/centimeter/
立即	lìjí	/immediately/
利润	lìrùn	/profits/
利益	lìyì	/benefit/(in sb's) interest/CL:個|个[ge4]/
连续	liánxù	/continuous/in a row/serial/consecutive/
恋爱	liàn’ài	/(romantic) love/CL:個|个[ge4],場|场[chang3]/in love/to have an affair/
良好	liánghǎo	/good/favorable/well/fine/
粮食	liángshi	/foodstuff/cereals/CL:種|种[zhong3]/
亮	liàng	/bright; light/to shine; to flash/loud and clear/to show (one's passport etc); to make public (one's views etc)/
铃	líng	/(small) bell/CL:隻|只[zhi1]/
零件	língjiàn	/part/component/
零食	língshí	/between-meal nibbles/snacks/
领导	lǐngdǎo	/lead/leading/to lead/leadership/leader/CL:位[wei4],個|个[ge4]/
流泪	liúlèi	/to shed tears/
陆续	lùxù	/in turn/successively/one after the other/bit by bit/
录音	lùyīn	/to record (sound)/sound recording/CL:個|个[ge4]/
轮流	lúnliú	/to alternate; to take turns/
逻辑	luóji	/logic (loanword)/
馒头	mántou	/steamed bun/
毛病	máobìng	/fault/defect/shortcomings/ailment/CL:個|个[ge4]/
矛盾	máodùn	/contradiction/CL:個|个[ge4]/conflicting views/contradictory/
贸易	màoyì	/(commercial) trade/CL:個|个[ge4]/
媒体	méitǐ	/media, esp. news media/
煤炭	méitàn	/coal/
魅力	mèilì	/charm/fascination/glamor/charisma/
梦想	mèngxiǎng	/(fig.) to dream of/dream/
蜜蜂	mìfēng	/bee/honeybee/CL:隻|只[zhi1],群[qun2]/
密切	mìqiè	/close/familiar/intimate/closely (related)/to foster close ties/to pay close attention/
秘书	mìshū	/secretary/
面积	miànjī	/area (of a floor, piece of land etc)/surface area/tract of land/
描写	miáoxiě	/to describe/to depict/to portray/description/
敏感	mǐngǎn	/sensitive/susceptible/
明星	míngxīng	/star; celebrity/
名片	míngpiàn	/(business) card/
命运	mìngyùn	/fate; destiny/CL:個|个[ge4]/
模仿	mófǎng	/to imitate/to copy/to emulate/to mimic/model/
模特	mótè	/(fashion) model (loanword)/
陌生	mòshēng	/strange/unfamiliar/
目前	mùqián	/at the present time/currently/
难怪	nánguài	/(it's) no wonder (that...)/(it's) not surprising (that)/
内部	nèibù	/interior/inside (part, section)/internal/
嗯	en	/interjection indicating approval, appreciation or agreement/
念	niàn	/to read/to study (a subject)/to attend (a school)/to read aloud/to give (sb) a tongue-lashing (CL:頓|顿[dun4])/to miss (sb)/idea/remembrance/twenty (banker's anti-fraud numeral corresponding to 廿[nian4])/
浓	nóng	/concentrated/dense/strong (smell etc)/
农民	nóngmín	/peasant; farmer/
欧洲	Ōuzhōu	/Europe (abbr. for 歐羅巴洲|欧罗巴洲[Ou1 luo2 ba1 Zhou1])/
偶然	ǒurán	/incidentally/occasional/occasionally/by chance/randomly/
拍	pāi	/to pat/to clap/to slap/to swat/to take (a photo)/to shoot (a film)/racket (sports)/beat (music)/
盼望	pànwàng	/to hope for; to look forward to/
培训	péixùn	/to cultivate/to train/to groom/training/
佩服	pèifu	/to admire/
盆	pén	/basin/flower pot/unit of volume equal to 12 斗[dou3] and 8 升[sheng1], approx 128 liters/CL:個|个[ge4]/
碰	pèng	/old variant of 碰[peng4]/
批	pī	/to ascertain/to act on/to criticize/to pass on/classifier for batches, lots, military flights/tier (for the ranking of universities and colleges)/
批准	pīzhǔn	/to approve; to ratify/
疲劳	píláo	/fatigue/wearily/weariness/weary/
匹	pǐ	/variant of 匹[pi3]/classifier for cloth: bolt/
片	piàn	/thin piece/flake/a slice/film/TV play/to slice/to carve thin/partial/incomplete/one-sided/classifier for slices, tablets, tract of land, area of water/classifier for CDs, movies, DVDs etc/used with numeral 一[yi1]: classifier for scenario, scene, feeling, atmosphere, sound etc/Kangxi radical 91/
飘	piāo	/to float (in the air); to flutter; to waft/complacent; frivolous/weak; shaky; wobbly/
频道	píndào	/frequency/(television) channel/
凭	píng	/to lean against/to rely on/on the basis of/no matter (how, what etc)/proof/
平安	píng’ān	/safe and sound/well/without mishap/quiet and safe/at peace/
平等	píngděng	/equal/equality/
平衡	pínghéng	/balance/equilibrium/
平均	píngjūn	/average; on average/evenly; in equal proportions/
破产	pòchǎn	/to go bankrupt/to become impoverished/bankruptcy/
迫切	pòqiè	/urgent; pressing/
期间	qījiān	/period of time/time/time period/period/CL:個|个[ge4]/
其余	qíyú	/the rest/the others/remaining/remainder/apart from them/
企业	qǐyè	/company; firm; enterprise; corporation/CL:家[jia1]/
前途	qiántú	/prospects/future outlook/journey/
欠	qiàn	/to owe/to lack/(literary) to be deficient in/(bound form) yawn/to raise slightly (a part of one's body)/
墙	qiáng	/wall (CL:面[mian4],堵[du3])/(slang) to block (a website) (usu. in the passive: 被牆|被墙[bei4 qiang2])/
强烈	qiángliè	/strong; intense/
切	qiē	/definitely; absolutely (not)/(scoffing or dismissive interjection) Yeah, right.; Tut!/to grind/(bound form) close to/(bound form) eager/to correspond to/(used to indicate that the fanqie 反切[fan3 qie4] system should be applied to the previous two characters)/
亲自	qīnzì	/personally/in person/oneself/
青	qīng	/green/blue/black/youth/young (of people)/
青少年	qīngshàonián	/adolescent/youth/teenager/
轻易	qīngyì	/easy; simple/rashly; offhandedly/
清淡	qīngdàn	/light (of food, not greasy or strongly flavored)/insipid/slack (sales)/
情景	qíngjǐng	/scene; spectacle/circumstances; situation/
情绪	qíngxù	/mood/state of mind/moodiness/CL:種|种[zhong3]/
庆祝	qìngzhù	/to celebrate/
娶	qǔ	/to take a wife/to marry (a woman)/
取消	qǔxiāo	/to cancel/cancellation/
圈	quān	/circle; ring; loop (CL:個|个[ge4])/classifier for loops, orbits, laps of race etc/to surround; to circle/
全面	quánmiàn	/all-around/comprehensive/total/overall/
权利	quánlì	/right (i.e. an entitlement to sth)/(classical) power and wealth/
确定	quèdìng	/definite/certain/fixed/to fix (on sth)/to determine/to be sure/to ensure/to make certain/to ascertain/to clinch/to recognize/to confirm/OK (on computer dialog box)/
热烈	rèliè	/enthusiastic/ardent/warm/
人口	rénkǒu	/population/people/
人民币	rénmínbì	/Renminbi (RMB)/Chinese Yuan (CNY)/
人事	rénshì	/personnel/human resources/human affairs/ways of the world/(euphemism) sexuality/the facts of life/
人员	rényuán	/staff/crew/personnel/CL:個|个[ge4]/
日常	rìcháng	/day-to-day; daily; everyday/
日期	rìqī	/date/CL:個|个[ge4]/
日子	rìzi	/day/a (calendar) date/days of one's life/
如今	rújīn	/nowadays; now/
软	ruǎn	/variant of 軟|软[ruan3]/
弱	ruò	/weak; feeble/young/inferior; not as good as/(following a decimal or fraction) slightly less than/
色彩	sècǎi	/tint; coloring; coloration/(fig.) flavor; character/
杀	shā	/to kill; to slay; to murder; to attack/to weaken; to reduce/(dialect) to smart/(used after a verb) extremely/
沙漠	shāmò	/desert/CL:個|个[ge4]/
傻	shǎ	/foolish/
删除	shānchú	/to delete/to cancel/
善良	shànliáng	/good and honest/kindhearted/
扇子	shànzi	/fan/CL:把[ba3]/
商业	shāngyè	/business/trade/commerce/
上当	shàngdàng	/taken in (by sb's deceit)/to be fooled/to be duped/
蛇	shé	/snake/serpent/CL:條|条[tiao2]/
设备	shèbèi	/equipment; facilities; installations/CL:個|个[ge4]/
设施	shèshī	/facilities/installation/
射击	shèjī	/to shoot; to fire (a gun)/
身材	shēncái	/stature/build (height and weight)/figure/
神话	shénhuà	/legend/fairy tale/myth/mythology/
升	shēng	/variant of 升[sheng1]/
生产	shēngchǎn	/to produce; to manufacture/to give birth to a child/
声调	shēngdiào	/tone/note/a tone (on a Chinese syllable)/CL:個|个[ge4]/
绳子	shéngzi	/cord; string; rope/CL:條|条[tiao2]/
省略	shěnglüè	/to leave out/an omission/
胜利	shènglì	/victory/CL:個|个[ge4]/
失去	shīqù	/to lose/
失业	shīyè	/unemployment/to lose one's job/
湿润	shīrùn	/moist/
时差	shíchā	/time difference/time lag/jet lag/
时刻	shíkè	/time/juncture/moment/period of time/CL:個|个[ge4],段[duan4]/constantly/always/
时期	shíqī	/period/phase/CL:個|个[ge4]/
实话	shíhuà	/truth/
实践	shíjiàn	/practice/to put into practice/to live up to (a promise)/to carry out (a project)/
实现	shíxiàn	/to achieve; to implement; to realize; to bring about/
实用	shíyòng	/practical/functional/pragmatic/applied (science)/
食物	shíwù	/food/CL:種|种[zhong3]/
士兵	shìbīng	/soldier/CL:個|个[ge4]/
似的	shìde	/seems as if/rather like/Taiwan pr. [si4 de5]/
事实	shìshí	/fact/CL:個|个[ge4]/
事先	shìxiān	/in advance/before the event/beforehand/prior/
收获	shōuhuò	/to harvest/to reap/to gain/crop/harvest/profit/gain/bonus/reward/
手套	shǒutào	/glove/mitten/CL:雙|双[shuang1],隻|只[zhi1]/
手指	shǒuzhǐ	/finger/CL:個|个[ge4],隻|只[zhi1]/
蔬菜	shūcài	/vegetables/CL:種|种[zhong3]/
舒适	shūshì	/cozy/snug/
梳子	shūzi	/comb/CL:把[ba3]/
属于	shǔyú	/to be classified as/to belong to/to be part of/
数	shǔ	/(literary) frequently; repeatedly/
甩	shuǎi	/to throw/to fling/to swing/to leave behind/to throw off/to dump (sb)/
说不定	shuōbudìng	/can't say for sure/maybe/
撕	sī	/to tear/
丝毫	sīháo	/the slightest amount or degree/a bit/
思考	sīkǎo	/to reflect on/to ponder over/
私人	sīrén	/private/personal/interpersonal/sb with whom one has a close personal relationship/a member of one's clique/
搜索	sōusuǒ	/to search (a place)/to search (a database)/to search for (sth)/
宿舍	sùshè	/dormitory/dorm room/living quarters/hostel/CL:間|间[jian1]/
随时	suíshí	/at any time; at all times/at the right time; whenever necessary/
随手	suíshǒu	/conveniently/without extra trouble/while doing it/in passing/
缩短	suōduǎn	/to curtail/to cut down/
所	suǒ	/actually/place/classifier for houses, small buildings, institutions etc/that which/particle introducing a relative clause or passive/CL:個|个[ge4]/
太太	tàitai	/married woman/Mrs./Madam/wife/CL:個|个[ge4],位[wei4]/
谈判	tánpàn	/to negotiate/negotiation/talks/conference/CL:個|个[ge4]/
坦率	tǎnshuài	/frank (discussion)/blunt/open/
烫	tàng	/to scald/to burn (by scalding)/to blanch (cooking)/to heat (sth) up in hot water/to perm/to iron/scalding hot/
桃	táo	/peach/
逃避	táobì	/to escape/to evade/to avoid/to shirk/
特殊	tèshū	/special/particular/unusual/extraordinary/
特征	tèzhēng	/characteristic/diagnostic property/distinctive feature/trait/
疼爱	téng’ài	/to love dearly/
提纲	tígāng	/outline/synopsis/notes/
提问	tíwèn	/to question; to quiz; to grill/
体会	tǐhuì	/to know from experience/to learn through experience/to realize/understanding/experience/
体现	tǐxiàn	/to embody/to reflect/to incarnate/
调皮	tiáopí	/naughty/mischievous/unruly/
挑战	tiǎozhàn	/to challenge/challenge/
痛苦	tòngkǔ	/pain/suffering/painful/CL:個|个[ge4]/
投入	tóurù	/to throw into/to put into/to throw oneself into/to participate in/to invest in/absorbed/engrossed/
透明	tòumíng	/transparent/(fig.) transparent; open to scrutiny/
土地	tǔdì	/local god/genius loci/
吐	tù	/to vomit/to throw up/
团	tuán	/dumpling/
推广	tuīguǎng	/to extend/to spread/to popularize/generalization/promotion (of a product etc)/
退步	tuìbù	/to do less well than before/to make a concession/setback/backward step/leeway/room to maneuver/fallback/
歪	wāi	/to sprain (one's ankle) (Tw)/
外交	wàijiāo	/diplomacy/diplomatic/foreign affairs/CL:個|个[ge4]/
完美	wánměi	/perfect/
完善	wánshàn	/(of systems, facilities etc) comprehensive/well-developed/excellent/to refine/to improve/
王子	wángzǐ	/prince/son of a king/
往返	wǎngfǎn	/to go back and forth; to go to and fro; to do a round trip/
网络	wǎngluò	/network (computing, telecommunications, transport etc)/
危害	wēihài	/to jeopardize/to harm/to endanger/harmful effect/damage/CL:個|个[ge4]/
微笑	wēixiào	/smile/CL:個|个[ge4],絲|丝[si1]/to smile/
违反	wéifǎn	/to violate (a law)/
围巾	wéijīn	/scarf/shawl/CL:條|条[tiao2]/
唯一	wéiyī	/only; sole/
伟大	wěidà	/huge; great; grand; worthy of the greatest admiration; important (contribution etc)/
胃口	wèikǒu	/appetite/liking/
位置	wèizhì	/position/place/seat/CL:個|个[ge4]/
未来	wèilái	/future/tomorrow/CL:個|个[ge4]/approaching/coming/pending/
温暖	wēnnuǎn	/warm/
闻	wén	/to hear/news/well-known/famous/reputation/fame/to smell/to sniff at/
文件	wénjiàn	/document/file/CL:份[fen4]/
文明	wénmíng	/civilized/civilization/culture/CL:個|个[ge4]/
文字	wénzì	/character/script/writing/written language/writing style/phraseology/CL:個|个[ge4]/
吻	wěn	/variant of 吻[wen3]/
握手	wòshǒu	/to shake hands/
屋子	wūzi	/house/room/CL:間|间[jian1]/
无奈	wúnài	/to have no alternative/frustrated/exasperated/helpless/(conjunction) but unfortunately/
无所谓	wúsuǒwèi	/to be indifferent/not to matter/cannot be said to be/
武术	wǔshù	/military skill or technique (in former times)/all kinds of martial art sports (some claiming spiritual development)/self-defense/tradition of choreographed fights from opera and film (recent usage)/also called kungfu 功夫/CL:種|种[zhong3]/
雾	wù	/fog/mist/CL:場|场[chang2],陣|阵[zhen4]/
物理	wùlǐ	/physics/
吸收	xīshōu	/to absorb/to assimilate/to ingest/to recruit/
系	xì	/to connect/to arrest/to worry/
细节	xìjié	/details; particulars/
瞎	xiā	/blind/groundlessly/foolishly/to no purpose/
鲜艳	xiānyàn	/bright-colored; gaily-colored/
显得	xiǎnde	/to seem/to look/to appear/
显示	xiǎnshì	/to show/to illustrate/to display/to demonstrate/
现代	xiàndài	/modern times/modern age/modern era/
现实	xiànshí	/reality; actuality/real; actual/realistic; pragmatic; materialistic; self-interested/
限制	xiànzhì	/to restrict/to limit/to confine/restriction/limit/CL:個|个[ge4]/
相处	xiāngchǔ	/to be in contact (with sb)/to associate/to interact/to get along (well, poorly)/
相对	xiāngduì	/relatively/opposite/to resist/to oppose/relative/vis-a-vis/counterpart/
相关	xiāngguān	/related/relevant/pertinent/to be interrelated/(statistics) correlation/
想象	xiǎngxiàng	/to imagine; to envision/imagination/
项	xiàng	/back of neck/item/thing/term (in a mathematical formula)/sum (of money)/classifier for principles, items, clauses, tasks, research projects etc/
项目	xiàngmù	/item/project/(sports) event/CL:個|个[ge4]/
象棋	xiàngqí	/Chinese chess/CL:副[fu4]/
消费	xiāofèi	/to consume (goods and services, resources etc)/
消化	xiāohuà	/to digest (food)/(fig.) to absorb (information etc); to assimilate; to process/
销售	xiāoshòu	/to sell/to market/sales (representative, agreement etc)/
小麦	xiǎomài	/wheat/CL:粒[li4]/
效率	xiàolǜ	/efficiency/
歇	xiē	/to rest/to take a break/to stop/to halt/(dialect) to sleep/a moment/a short while/
欣赏	xīnshǎng	/to appreciate; to enjoy; to admire/
信号	xìnhào	/signal/
行动	xíngdòng	/operation/action/CL:個|个[ge4]/to move about/mobile/
行人	xíngrén	/pedestrian/traveler on foot/passer-by/official responsible for arranging audiences with the emperor/
形成	xíngchéng	/to form; to take shape/
形式	xíngshì	/outer appearance/form/shape/formality/CL:個|个[ge4]/
形象	xíngxiàng	/image/form/figure/CL:個|个[ge4]/visualization/vivid/
性质	xìngzhì	/nature/characteristic/CL:個|个[ge4]/
幸亏	xìngkuī	/fortunately/luckily/
胸	xiōng	/chest/bosom/heart/mind/thorax/
修改	xiūgǎi	/to amend/to alter/to modify/
休闲	xiūxián	/leisure/relaxation/not working/idle/to enjoy leisure/to lie fallow/
叙述	xùshù	/to relate (a story or information)/to tell or talk about/to recount/narration/telling/narrative/account/
宣传	xuānchuán	/to disseminate/to give publicity to/propaganda/CL:個|个[ge4]/
学历	xuélì	/educational background/academic qualifications/
学问	xuéwen	/learning/knowledge/CL:個|个[ge4]/
血	xuè	/blood/colloquial pr. [xie3]/CL:滴[di1],片[pian4]/
寻找	xúnzhǎo	/to seek; to look for/
迅速	xùnsù	/rapid/speedy/fast/
延长	yáncháng	/to prolong/to extend/to delay/
严肃	yánsù	/solemn/grave/serious/earnest/severe/
演讲	yǎnjiǎng	/to give a lecture; to make a speech/
阳台	yángtái	/balcony/porch/
摇	yáo	/to shake/to rock/to row/to crank/
要不	yàobù	/otherwise/or else/how about...?/either... (or...)/
业务	yèwù	/business/professional work/service/CL:項|项[xiang4]/
一辈子	yíbèizi	/(for) a lifetime/
一律	yílǜ	/same/uniformly/all/without exception/
移动	yídòng	/to move/movement/migration/mobile/portable/
遗憾	yíhàn	/regret/to regret/to be sorry that/
乙	yǐ	/turning stroke (in Chinese characters), aka 折[zhe2]/
以及	yǐjí	/as well as/too/and/
亿	yì	/100 million/
意义	yìyì	/sense/meaning/significance/importance/CL:個|个[ge4]/
因而	yīn’ér	/therefore/as a result/thus/and as a result, .../
银	yín	/silver/silver-colored/relating to money or currency/
印刷	yìnshuā	/to print/printing/
英雄	yīngxióng	/hero/CL:個|个[ge4]/
迎接	yíngjiē	/to welcome; to greet/
营业	yíngyè	/to do business/to trade/
影子	yǐngzi	/shadow/reflection/(fig.) hint/indication/influence/CL:個|个[ge4]/
硬件	yìngjiàn	/hardware/
拥抱	yōngbào	/to embrace/to hug/
用途	yòngtú	/use; application/
优美	yōuměi	/graceful/fine/elegant/
游览	yóulǎn	/to go sightseeing/to tour/to visit/CL:次[ci4]/
犹豫	yóuyù	/to hesitate/
幼儿园	yòu’éryuán	/kindergarten/nursery school/
与其	yǔqí	/rather than... (used in expressions of the form 與其|与其[yu3qi2] + {verb1} + 不如[bu4ru2] + {verb2} "rather than {verb1}, better to {verb2}")/
语气	yǔqì	/tone/manner of speaking/mood/CL:個|个[ge4]/
预订	yùdìng	/to place an order/to book ahead/
玉米	yùmǐ	/corn/maize/CL:粒[li4]/
原料	yuánliào	/raw material/
原则	yuánzé	/principle/doctrine/CL:個|个[ge4]/
乐器	yuèqì	/musical instrument/CL:件[jian4]/
运输	yùnshū	/to transport/to carry/transportation/
在于	zàiyú	/to rest with; to lie in; to be due to (a certain attribute)/(of a matter) to be determined by; to be up to (sb)/
赞美	zànměi	/to admire/to praise/to eulogize/
则	zé	/(literary) (conjunction used to express contrast with a previous clause) but; then/(bound form) standard; norm/(bound form) principle/(literary) to imitate; to follow/classifier for written items/
摘	zhāi	/to take; to pick (flowers, fruit etc); to pluck; to remove; to take off (glasses, hat etc)/to select; to pick out/to borrow money at a time of urgent need/
粘贴	zhāntiē	/to stick/to affix/to adhere/to paste (as in "copy and paste")/Taiwan pr. [nian2 tie1]/also written 黏貼|黏贴[nian2 tie1]/
展览	zhǎnlǎn	/to put on display/to exhibit/exhibition/show/CL:個|个[ge4],次[ci4]/
占	zhàn	/to take possession of/to occupy/to take up/
战争	zhànzhēng	/war; conflict/CL:場|场[chang2],次[ci4]/
长辈	zhǎngbèi	/one's elders/older generation/
涨	zhǎng	/to swell/to distend/
招待	zhāodài	/to hold a reception; to offer hospitality; to entertain (guests); to serve (customers)/
着火	zháohuǒ	/to catch fire/
着凉	zháoliáng	/to catch cold/Taiwan pr. [zhao1 liang2]/
召开	zhàokāi	/to convene (a conference or meeting)/to convoke/to call together/
照常	zhàocháng	/as usual/
哲学	zhéxué	/philosophy/CL:個|个[ge4]/
真实	zhēnshí	/true; real/
针对	zhēnduì	/to target; to focus on; to be aimed at or against; in response to/
诊断	zhěnduàn	/to diagnose/
振动	zhèndòng	/to vibrate/to shake/vibration/
争论	zhēnglùn	/to argue/to debate/to contend/argument/contention/controversy/debate/CL:次[ci4],場|场[chang3]/
征求	zhēngqiú	/to solicit/to seek/to request (opinions, feedback etc)/to petition/
整体	zhěngtǐ	/whole entity/entire body/synthesis/as a whole (situation, construction, team etc)/global/macrocosm/integral/holistic/whole/
政治	zhèngzhì	/politics/political/
证据	zhèngjù	/evidence/proof/testimony/
挣	zhèng	/to struggle to get free/to strive to acquire/to make (money)/
直	zhí	/straight/to straighten/fair and reasonable/frank/straightforward/(indicates continuing motion or action)/vertical/vertical downward stroke in Chinese characters/
执照	zhízhào	/license; permit/
指挥	zhǐhuī	/to conduct/to command/to direct/conductor (of an orchestra)/CL:個|个[ge4]/
制度	zhìdù	/system (e.g. political, adminstrative etc)/institution/CL:個|个[ge4]/
制作	zhìzuò	/to make; to manufacture/
至今	zhìjīn	/so far/to this day/until now/
至于	zhìyú	/as for/as to/to go so far as to/
治疗	zhìliáo	/to treat (an illness)/medical treatment/therapy/
志愿者	zhìyuànzhě	/volunteer/
中心	zhōngxīn	/center; heart; core/
种类	zhǒnglèi	/kind/genus/type/category/variety/species/sort/class/
重大	zhòngdà	/great/important/major/significant/
重量	zhòngliàng	/weight/CL:個|个[ge4]/
猪	zhū	/hog/pig/swine/CL:口[kou3],頭|头[tou2]/
逐渐	zhújiàn	/gradually/
煮	zhǔ	/to cook/to boil/
主动	zhǔdòng	/to take the initiative/to do sth of one's own accord/spontaneous/active/opposite: passive 被動|被动[bei4 dong4]/drive (of gears and shafts etc)/
主人	zhǔrén	/master/host/owner/CL:個|个[ge4]/
主席	zhǔxí	/chairperson/premier/chairman/CL:個|个[ge4],位[wei4]/
主张	zhǔzhāng	/to advocate/to stand for/view/position/stand/proposition/viewpoint/assertion/CL:個|个[ge4]/
祝福	zhùfú	/blessings/to wish sb well/
注册	zhùcè	/to register/to enroll/
抓紧	zhuājǐn	/to keep a firm grip on/to pay close attention to/to lose no time in (doing sth)/
转变	zhuǎnbiàn	/to change/to transform/shift/transformation/CL:個|个[ge4]/
装饰	zhuāngshì	/to decorate/decoration/decorative/ornamental/
撞	zhuàng	/to knock against/to bump into/to run into/to meet by accident/
状态	zhuàngtài	/condition; state; state of affairs/CL:個|个[ge4]/
追求	zhuīqiú	/to pursue (a goal etc) stubbornly/to seek after/to woo/
资金	zījīn	/funds; capital/
资源	zīyuán	/natural resource (such as water or minerals)/resource (such as manpower or tourism)/
咨询	zīxún	/to consult/to seek advice/consultation/(sales) inquiry (formal)/
字母	zìmǔ	/letter (of the alphabet)/CL:個|个[ge4]/
自从	zìcóng	/since (a time)/ever since/
自豪	zìháo	/proud (of one's achievements etc)/
自觉	zìjué	/conscious/aware/on one's own initiative/conscientious/
自私	zìsī	/selfish/selfishness/
自愿	zìyuàn	/voluntary/
总裁	zǒngcái	/chairman/director-general (of a company etc)/
总统	zǒngtǒng	/president (of a country)/CL:個|个[ge4],位[wei4],名[ming2],屆|届[jie4]/
组	zǔ	/to form/to organize/group/team/classifier for sets, series, groups of people, batteries/
组合	zǔhé	/to assemble; to combine; to compose/combination; association; set; compilation/(math.) combinatorial/
阻止	zǔzhǐ	/to prevent/to block/
醉	zuì	/intoxicated/
最初	zuìchū	/first/primary/initial/original/at first/initially/originally/
尊敬	zūnjìng	/to respect; to revere; to esteem/honorable; distinguished (used on formal occasions before a term of address)/
遵守	zūnshǒu	/to comply with; to abide by; to respect (an agreement)/
作品	zuòpǐn	/work (of art)/opus/CL:部[bu4],篇[pian1]/
作为	zuòwéi	/one's conduct/deed/activity/accomplishment/achievement/to act as/as (in the capacity of)/qua/to view as/to look upon (sth as)/to take sth to be/
